Project,BASE,ID,COSMIC_FP,Effort,HH_CFP
1,COMPANY,1,374.2,5040,13.47
31,AMMS,8,806.2,22743,28.21
2,COMPANY,2,193.1,2440,12.64
32,AMMS,9,10.4,394,37.88
3,COMPANY,3,195,6928,35.53
33,AMMS,10,26.9,1193.8,44.38
4,COMPANY,4,352.3,4368,12.40
34,AMMS,11,10.8,260,24.07
5,COMPANY,5,718,13048,18.17
35,AMMS,12,50.8,1034,20.35
6,COMPANY,6,277,3400,12.27
36,AMMS,13,8.1,148,18.27
7,COMPANY,7,84.6,1848,21.84
37,AMMS,14,7.7,16,2.08
8,COMPANY,8,224.5,3360,14.97
38,AMMS,15,28.4,40,1.41
9,ISBSG,1,46,20,0.43
39,AMMS,16,7.7,48,6.23
10,ISBSG,2,114,429,3.76
40,AMMS,17,665.3,4414,6.63
11,ISBSG,3,97,20,0.21
41,AMMS,18,2085.5,8400,4.03
12,ISBSG,4,177,694,3.92
42,AMMS,19,9.5,79,8.32
13,ISBSG,5,80,355,4.44
43,AMMS,20,1479.9,11354,7.67
14,ISBSG,6,118,489,4.14
44,AMMS,21,636.8,6182,9.71
15,ISBSG,7,57,20,0.35
45,AMMS,22,1010.6,6882,6.81
16,ISBSG,8,155,491,3.17
46,AMMS,23,84,1192,14.19
17,ISBSG,9,135,600,4.44
47,AMMS,24,684.6,3416,4.99
18,ISBSG,10,209,606,2.90
48,AMMS,25,345.9,3733,10.79
19,ISBSG,11,223,509,2.28
49,AMMS,26,183.6,2682,14.61
20,ISBSG,12,157,899,5.73
50,AMMS,27,8.8,96,10.91
21,ISBSG,13,2003,47493,23.71
51,AMMS,28,2.9,408,140.69
22,ISBSG,14,142,669,4.71
52,AMMS,29,14.6,184,12.60
23,ISBSG,15,160,784,4.90
53,AMMS,30,11.8,120,10.17
24,AMMS,1,464.8,9656.4,20.78
54,AMMS,31,611.9,5568,9.10
25,AMMS,2,1154.1,10563,9.15
55,AMMS,32,484,3919.1,8.10
26,AMMS,3,1864.1,23358,12.53
56,AMMS,33,353.7,2865,8.10
27,AMMS,4,507.5,12111,23.86
57,AMMS,34,262,3776,14.41
28,AMMS,5,463.2,12264,26.48
29,AMMS,6,513.2,7373,14.37
30,AMMS,7,815.7,16566,20.31
