Dataset,Baseline,Proposed,Valid_Pairs,Baseline_MMRE,FAABE_MMRE,FAABE_MMRE_Improvement_%,Wilcoxon_Statistic,Wilcoxon_p,Cliffs_Delta,Cliffs_Effect,Wilcoxon_p_Holm,Significant_Holm_0.05
Albrecht,ABE,FAABE,24,0.7810754777286365,0.864931934596027,-10.73602478357721,131.0,0.6033114194869995,-0.017361111111111112,Negligible,1.0,False
Albrecht,GA-ABE,FAABE,24,0.8070615760957612,0.864931934596027,-7.170501014336386,141.0,0.8115357160568237,0.10416666666666667,Negligible,1.0,False
Albrecht,PSO-ABE,FAABE,24,0.7273026087249522,0.864931934596027,-18.923254807562884,126.0,0.5087660551071167,0.13194444444444445,Negligible,1.0,False
Albrecht,DE-ABE,FAABE,24,0.7065245835655084,0.864931934596027,-22.420642496416576,145.0,0.899570107460022,0.052083333333333336,Negligible,1.0,False
Albrecht,GWO-ABE,FAABE,24,0.6851536789239739,0.864931934596027,-26.23911411442653,135.0,0.6839864253997803,0.027777777777777776,Negligible,1.0,False
Albrecht,WOA-ABE,FAABE,24,0.7957256613823279,0.864931934596027,-8.697252906670691,136.0,0.704756498336792,0.1527777777777778,Small,1.0,False
China,ABE,FAABE,499,1.3254451842196198,1.3293209308977887,-0.2924109366658449,62328.0,0.9883638281768998,-0.0001485937807478685,Negligible,1.0,False
China,GA-ABE,FAABE,499,1.3160430324263441,1.3293209308977887,-1.0089258591312587,61464.0,0.7774167116948809,-0.02155413030469757,Negligible,1.0,False
China,PSO-ABE,FAABE,499,1.460174183492402,1.3293209308977887,8.961482409012488,59549.0,0.3805303290153458,0.010349356026682624,Negligible,1.0,False
China,DE-ABE,FAABE,499,1.408598731363401,1.3293209308977887,5.6281323204713,62354.0,0.9948007118830651,-0.01200396785555078,Negligible,1.0,False
China,GWO-ABE,FAABE,499,1.4556307335265375,1.3293209308977887,8.677324524657411,58280.0,0.20383698052157406,0.0013694724117573826,Negligible,1.0,False
China,WOA-ABE,FAABE,499,1.3818897450487349,1.3293209308977887,3.804125064195496,61607.0,0.8116378762169789,-0.02467861574853113,Negligible,1.0,False
COCOMO81,ABE,FAABE,64,2.7508646175535842,2.3702411610864247,13.836502677680224,749.0,0.05164706811231748,0.02587890625,Negligible,0.26743129917933656,False
COCOMO81,GA-ABE,FAABE,64,1.4810016421702428,2.3702411610864247,-60.04311498352565,690.0,0.04457188319655609,-0.14404296875,Negligible,0.26743129917933656,False
COCOMO81,PSO-ABE,FAABE,64,1.8230000086074738,2.3702411610864247,-30.018713653049804,798.0,0.2107606649661431,-0.07080078125,Negligible,0.6732751957450387,False
COCOMO81,DE-ABE,FAABE,64,2.2491583372342596,2.3702411610864247,-5.3834726460858215,955.0,0.8801823396256103,-0.03076171875,Negligible,0.8801823396256103,False
COCOMO81,GWO-ABE,FAABE,64,1.6450458583073808,2.3702411610864247,-44.08359190212553,834.0,0.16831879893625967,-0.119140625,Negligible,0.6732751957450387,False
