MMRE_Rank,Dataset,Method,N_Projects,MMRE,MAE,MSE,RMSE
1,Albrecht,GWO-ABE,24,0.6851536789239739,8.248571167389551,197.9865099910693,14.070767924710767
2,Albrecht,DE-ABE,24,0.7065245835655084,8.34869163433711,167.51311422977517,12.94268574252559
3,Albrecht,PSO-ABE,24,0.7273026087249522,9.03842305938403,205.85253049592814,14.347561831054367
4,Albrecht,ABE,24,0.7810754777286365,8.277840344111127,190.88865514439703,13.816246058332814
5,Albrecht,WOA-ABE,24,0.7957256613823279,10.459007277091345,290.3508524445984,17.03968463454058
6,Albrecht,GA-ABE,24,0.8070615760957612,7.783826110760373,141.04688353159216,11.876316075769967
7,Albrecht,FAABE,24,0.864931934596027,8.240048221747081,182.75543777362716,13.51870695642254
1,China,GA-ABE,499,1.3160430324263441,2643.258168711691,27527300.02500816,5246.646550417529
2,China,ABE,499,1.3254451842196198,2667.6301701302996,27391741.850183975,5233.7120526624285
3,China,FAABE,499,1.3293209308977887,2656.0258065569615,28749355.87361177,5361.842581949956
4,China,WOA-ABE,499,1.3818897450487349,2637.714616764046,28888941.80465102,5374.843421407829
5,China,DE-ABE,499,1.408598731363401,2679.1857971619506,29550930.91110009,5436.076794076781
6,China,GWO-ABE,499,1.4556307335265375,2766.266320391026,29585486.297347005,5439.2542041484885
7,China,PSO-ABE,499,1.460174183492402,2755.5502571610505,30359443.205570813,5509.940399457222
1,COCOMO81,GA-ABE,64,1.4810016421702428,626.3847473168507,2707428.943363853,1645.4266751708667
2,COCOMO81,GWO-ABE,64,1.6450458583073808,589.8501518627867,2560337.429419533,1600.1054432191438
3,COCOMO81,WOA-ABE,64,1.81157353089471,699.8953755551711,3391073.1361488597,1841.48666466767
4,COCOMO81,PSO-ABE,64,1.8230000086074738,725.9738597980007,3555744.6916552987,1885.6682347791987
5,COCOMO81,DE-ABE,64,2.2491583372342596,615.0526640692487,2801840.408574673,1673.8698899779138
6,COCOMO81,FAABE,64,2.3702411610864247,691.6902199083701,3272137.35258327,1808.9050148040583
7,COCOMO81,ABE,64,2.7508646175535842,697.6344315984979,3062621.8349595056,1750.034809642227
1,Desharnais,GA-ABE,81,0.625171827945574,2052.453943323206,10022968.853070326,3165.907271710643
2,Desharnais,FAABE,81,0.6386713072320257,2149.5391318238812,11154292.093775375,3339.8041999158236
3,Desharnais,WOA-ABE,81,0.6396889995491378,2198.538486810378,10634373.488053672,3261.038713056573
4,Desharnais,PSO-ABE,81,0.6547276723201082,2092.3494119526426,10566796.246848457,3250.6608938565796
5,Desharnais,ABE,81,0.6558106603996695,2153.5172541112074,12178493.771464618,3489.7698737115343
6,Desharnais,DE-ABE,81,0.6974464093167073,2203.9380681544176,10880567.301198542,3298.57049359242
7,Desharnais,GWO-ABE,81,0.7372883110645316,2151.9155785831404,10263722.311334502,3203.704466915527
