Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP
Albrecht,1,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,1,GA-ABE,0.5960819125175476,1000,0.10177036374807358,0.09791790693998337,0.3820086121559143,0.19561481475830078,0.11359719932079315,0.10387842357158661,0.005212724674493074
Albrecht,1,PSO-ABE,0.695163905620575,1000,0.33673059940338135,0.04321178048849106,0.15260231494903564,0.18068167567253113,0.0,0.0,0.2867736220359802
Albrecht,1,DE-ABE,0.7902147173881531,1000,0.14546805620193481,0.14221493899822235,0.2234652191400528,0.03266756609082222,0.03871815651655197,0.01871475763618946,0.3987513482570648
Albrecht,1,GWO-ABE,0.5637792348861694,1000,0.025990601629018784,0.11754690110683441,0.6509338021278381,0.08790815621614456,0.10136139392852783,0.011706763878464699,0.00455239275470376
Albrecht,1,WOA-ABE,0.628974974155426,1000,0.19054833054542542,0.09695867449045181,0.7124930024147034,0.0,0.0,0.0,0.0
Albrecht,1,FAABE,0.5937909483909607,1000,0.029802372679114342,0.09615416079759598,0.5944845676422119,0.1283331960439682,0.09891808032989502,0.052307672798633575,0.0
Albrecht,2,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204
Albrecht,2,GA-ABE,0.7792222499847412,1000,0.3351970911026001,0.1449674516916275,0.1983880251646042,0.07659748196601868,,0.2306213229894638,0.014228646643459797
Albrecht,2,PSO-ABE,0.767583966255188,1000,0.25327613949775696,0.526011049747467,0.17873091995716095,0.041981857270002365,,0.0,0.0
Albrecht,2,DE-ABE,0.7520917654037476,1000,0.27084648609161377,0.16380611062049866,0.3479229807853699,0.08942359685897827,,0.05131766200065613,0.07668312638998032
Albrecht,2,GWO-ABE,0.8037551641464233,1000,0.3183629810810089,0.028884917497634888,0.01066545769572258,0.05113133415579796,,0.09695315361022949,0.49400216341018677
Albrecht,2,WOA-ABE,0.7872416973114014,1000,0.34992045164108276,0.30883339047431946,0.0,0.14669038355350494,,0.0,0.19455578923225403
Albrecht,2,FAABE,0.7878426313400269,1000,0.27377113699913025,0.08216123282909393,0.0,0.024816356599330902,,0.4466707110404968,0.17258061468601227
Albrecht,3,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,3,GA-ABE,0.6062548756599426,1000,0.0,0.2744392156600952,0.4122369587421417,0.20516042411327362,0.09754795581102371,0.0,0.010615495964884758
Albrecht,3,PSO-ABE,0.5883113145828247,1000,0.03629431873559952,0.13872170448303223,0.4908854067325592,0.138652503490448,0.09406084567308426,0.0,0.10138527303934097
Albrecht,3,DE-ABE,0.676857590675354,1000,0.07063636183738708,0.2520783245563507,0.23397193849086761,0.1887204498052597,0.03714433312416077,0.015042942017316818,0.2024056315422058
Albrecht,3,GWO-ABE,0.6282236576080322,1000,0.0025235924404114485,0.12261336296796799,0.7069771885871887,0.014203262515366077,0.01740647852420807,0.00032038622885011137,0.1359557807445526
Albrecht,3,WOA-ABE,0.6295109391212463,1000,0.0,0.12490355223417282,0.6977088451385498,0.0003354893415234983,0.016337648034095764,0.007573827635496855,0.1531406193971634
Albrecht,3,FAABE,0.5790587663650513,1000,0.0015677716583013535,0.2010149359703064,0.5531602501869202,0.09926515072584152,0.09404774755239487,0.0,0.050944164395332336
Albrecht,4,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204
Albrecht,4,GA-ABE,0.6646226644515991,1000,0.19301627576351166,0.21157296001911163,0.3432512581348419,0.11127246171236038,,0.11018756777048111,0.03069950081408024
Albrecht,4,PSO-ABE,0.6625375151634216,1000,0.25212210416793823,0.3307628631591797,0.2182166874408722,0.11781623959541321,,0.0,0.08108212798833847
Albrecht,4,DE-ABE,0.7007510662078857,1000,0.0,0.3335539400577545,0.3264566957950592,0.3005973994731903,,2.2135763799724373e-07,0.03939177468419075
Albrecht,4,GWO-ABE,0.6846460700035095,1000,0.0004971505841240287,0.25835129618644714,0.5171457529067993,0.19285321235656738,,0.014350911602377892,0.016801655292510986
Albrecht,4,WOA-ABE,0.6738543510437012,1000,0.1879895180463791,0.17402099072933197,0.30068689584732056,0.15484964847564697,,0.17440754175186157,0.00804542563855648
Albrecht,4,FAABE,0.6610618233680725,1000,0.31556931138038635,0.2525671422481537,0.20741142332553864,0.10920669138431549,,0.015883278101682663,0.09936212748289108
Albrecht,5,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,5,GA-ABE,0.5642383694648743,1000,0.12000031024217606,0.11594077199697495,0.33495032787323,0.16722330451011658,0.07853736728429794,0.06146566569805145,0.12188220024108887
Albrecht,5,PSO-ABE,0.5613480806350708,1000,0.14673253893852234,0.10347533226013184,0.3640972673892975,0.14043234288692474,0.07692641764879227,0.00011210121738258749,0.1682240515947342
Albrecht,5,DE-ABE,0.703919529914856,1000,0.21197588741779327,0.11072362214326859,0.1777862161397934,0.046673599630594254,0.24984405934810638,0.021055568009614944,0.18194107711315155
Albrecht,5,GWO-ABE,0.5857383012771606,1000,0.0003759654937312007,0.20874932408332825,0.6140322089195251,0.10073427855968475,0.06084991246461868,0.014908937737345695,0.0003493938420433551
