Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,data,modp,loc,pcap,turn
COCOMO81,1,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,
COCOMO81,1,GA-ABE,1.4657857418060303,1000,0.9777144193649292,0.0014283994678407907,0.020857203751802444,,
COCOMO81,1,PSO-ABE,1.4486089944839478,1000,0.9912123680114746,0.0005576188559643924,0.008230019360780716,,
COCOMO81,1,DE-ABE,1.6612873077392578,1000,0.0055883838795125484,0.8593040108680725,0.1351076364517212,,
COCOMO81,1,GWO-ABE,1.4607049226760864,1000,0.9851515293121338,0.0002566189505159855,0.01459184568375349,,
COCOMO81,1,WOA-ABE,1.434277892112732,1000,0.9997668862342834,1.5904102838248946e-05,0.00021721287339460105,,
COCOMO81,1,FAABE,1.6881554126739502,1000,0.018824370577931404,0.5268622040748596,0.4543134272098541,,
COCOMO81,2,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,
COCOMO81,2,GA-ABE,1.663063406944275,1000,0.8965058922767639,0.001720436499454081,0.1017736867070198,,
COCOMO81,2,PSO-ABE,1.5752619504928589,1000,0.9999926686286926,1.8162188553105807e-07,7.123923296603607e-06,,
COCOMO81,2,DE-ABE,2.009429931640625,1000,0.004947579000145197,0.5662345290184021,0.42881786823272705,,
COCOMO81,2,GWO-ABE,1.6018799543380737,1000,0.9980517625808716,4.756417911266908e-05,0.0019007028313353658,,
COCOMO81,2,WOA-ABE,1.7789905071258545,1000,0.39975351095199585,0.0,0.6002464890480042,,
COCOMO81,2,FAABE,1.6823962926864624,1000,0.6279924511909485,0.006203344091773033,0.3658042252063751,,
COCOMO81,3,ABE,,0,0.3333333432674408,,0.3333333432674408,0.3333333432674408,
COCOMO81,3,GA-ABE,1.3725463151931763,1000,0.17655567824840546,,0.6353574395179749,0.18808691203594208,
COCOMO81,3,PSO-ABE,1.3740818500518799,1000,0.13401131331920624,,0.582741379737854,0.2832472622394562,
COCOMO81,3,DE-ABE,1.3740841150283813,1000,0.13402655720710754,,0.5828195810317993,0.28315386176109314,
COCOMO81,3,GWO-ABE,1.3794413805007935,1000,0.11903706938028336,,0.6113649606704712,0.26959794759750366,
COCOMO81,3,WOA-ABE,1.3741055727005005,1000,0.13418041169643402,,0.5834859609603882,0.2823336124420166,
COCOMO81,3,FAABE,1.3743001222610474,1000,0.13570009171962738,,0.5881024599075317,0.27619749307632446,
COCOMO81,4,ABE,,0,0.5,,0.5,,
COCOMO81,4,GA-ABE,1.460273265838623,1000,0.4243882894515991,,0.5756117105484009,,
COCOMO81,4,PSO-ABE,1.4601980447769165,1000,0.4237630367279053,,0.5762370228767395,,
COCOMO81,4,DE-ABE,1.4601980447769165,1000,0.4237630069255829,,0.5762370228767395,,
COCOMO81,4,GWO-ABE,1.4614757299423218,1000,0.43435683846473694,,0.5656431913375854,,
COCOMO81,4,WOA-ABE,1.4601980447769165,1000,0.42376309633255005,,0.57623690366745,,
