Dataset,Fold,Method,Iteration,Best_Training_MMRE,Fitness_Evaluations
COCOMO81,1,GA-ABE,0,1.5649183988571167,10
COCOMO81,1,GA-ABE,1,1.5632965564727783,20
COCOMO81,1,GA-ABE,2,1.5622702836990356,30
COCOMO81,1,GA-ABE,3,1.5449035167694092,40
COCOMO81,1,GA-ABE,4,1.5203700065612793,50
COCOMO81,1,GA-ABE,5,1.5203700065612793,60
COCOMO81,1,GA-ABE,6,1.5203700065612793,70
COCOMO81,1,GA-ABE,7,1.5203700065612793,80
COCOMO81,1,GA-ABE,8,1.518257975578308,90
COCOMO81,1,GA-ABE,9,1.517481803894043,100
COCOMO81,1,GA-ABE,10,1.517481803894043,110
COCOMO81,1,GA-ABE,11,1.517481803894043,120
COCOMO81,1,GA-ABE,12,1.517481803894043,130
COCOMO81,1,GA-ABE,13,1.5169752836227417,140
COCOMO81,1,GA-ABE,14,1.5169752836227417,150
COCOMO81,1,GA-ABE,15,1.5159647464752197,160
COCOMO81,1,GA-ABE,16,1.5159411430358887,170
COCOMO81,1,GA-ABE,17,1.514040470123291,180
COCOMO81,1,GA-ABE,18,1.514040470123291,190
COCOMO81,1,GA-ABE,19,1.5140403509140015,200
COCOMO81,1,GA-ABE,20,1.5140403509140015,210
COCOMO81,1,GA-ABE,21,1.5140403509140015,220
COCOMO81,1,GA-ABE,22,1.511980414390564,230
COCOMO81,1,GA-ABE,23,1.511980414390564,240
COCOMO81,1,GA-ABE,24,1.5112180709838867,250
COCOMO81,1,GA-ABE,25,1.5112180709838867,260
COCOMO81,1,GA-ABE,26,1.5082165002822876,270
COCOMO81,1,GA-ABE,27,1.4875755310058594,280
COCOMO81,1,GA-ABE,28,1.4864280223846436,290
COCOMO81,1,GA-ABE,29,1.4864280223846436,300
COCOMO81,1,GA-ABE,30,1.483508825302124,310
COCOMO81,1,GA-ABE,31,1.483508825302124,320
COCOMO81,1,GA-ABE,32,1.4833301305770874,330
COCOMO81,1,GA-ABE,33,1.4832749366760254,340
COCOMO81,1,GA-ABE,34,1.4832749366760254,350
COCOMO81,1,GA-ABE,35,1.4821547269821167,360
COCOMO81,1,GA-ABE,36,1.4810633659362793,370
COCOMO81,1,GA-ABE,37,1.4810633659362793,380
COCOMO81,1,GA-ABE,38,1.480018973350525,390
COCOMO81,1,GA-ABE,39,1.480018973350525,400
COCOMO81,1,GA-ABE,40,1.480018973350525,410
COCOMO81,1,GA-ABE,41,1.480018973350525,420
COCOMO81,1,GA-ABE,42,1.480018973350525,430
COCOMO81,1,GA-ABE,43,1.480018973350525,440
COCOMO81,1,GA-ABE,44,1.480018973350525,450
COCOMO81,1,GA-ABE,45,1.4790188074111938,460
COCOMO81,1,GA-ABE,46,1.4790188074111938,470
COCOMO81,1,GA-ABE,47,1.4780595302581787,480
COCOMO81,1,GA-ABE,48,1.4780595302581787,490
COCOMO81,1,GA-ABE,49,1.4780595302581787,500
COCOMO81,1,GA-ABE,50,1.4780595302581787,510
COCOMO81,1,GA-ABE,51,1.4780595302581787,520
COCOMO81,1,GA-ABE,52,1.4771409034729004,530
COCOMO81,1,GA-ABE,53,1.4771409034729004,540
COCOMO81,1,GA-ABE,54,1.4762581586837769,550
COCOMO81,1,GA-ABE,55,1.4754058122634888,560
COCOMO81,1,GA-ABE,56,1.4754058122634888,570
COCOMO81,1,GA-ABE,57,1.4754058122634888,580
COCOMO81,1,GA-ABE,58,1.4745908975601196,590
COCOMO81,1,GA-ABE,59,1.4745908975601196,600
COCOMO81,1,GA-ABE,60,1.4741199016571045,610
COCOMO81,1,GA-ABE,61,1.4741199016571045,620
COCOMO81,1,GA-ABE,62,1.4741199016571045,630
COCOMO81,1,GA-ABE,63,1.4741199016571045,640
COCOMO81,1,GA-ABE,64,1.4741199016571045,650
COCOMO81,1,GA-ABE,65,1.4733442068099976,660
COCOMO81,1,GA-ABE,66,1.4725959300994873,670
COCOMO81,1,GA-ABE,67,1.4725959300994873,680
COCOMO81,1,GA-ABE,68,1.4725959300994873,690
COCOMO81,1,GA-ABE,69,1.4722412824630737,700
COCOMO81,1,GA-ABE,70,1.47187340259552,710
COCOMO81,1,GA-ABE,71,1.4718732833862305,720
COCOMO81,1,GA-ABE,72,1.4718732833862305,730
COCOMO81,1,GA-ABE,73,1.471174955368042,740
COCOMO81,1,GA-ABE,74,1.4705017805099487,750
COCOMO81,1,GA-ABE,75,1.4705016613006592,760
COCOMO81,1,GA-ABE,76,1.4705016613006592,770
COCOMO81,1,GA-ABE,77,1.4698468446731567,780
COCOMO81,1,GA-ABE,78,1.4698468446731567,790
COCOMO81,1,GA-ABE,79,1.4692883491516113,800
COCOMO81,1,GA-ABE,80,1.4692883491516113,810
COCOMO81,1,GA-ABE,81,1.4692883491516113,820
COCOMO81,1,GA-ABE,82,1.4686777591705322,830
COCOMO81,1,GA-ABE,83,1.4686777591705322,840
COCOMO81,1,GA-ABE,84,1.468347430229187,850
COCOMO81,1,GA-ABE,85,1.468347430229187,860
COCOMO81,1,GA-ABE,86,1.468347430229187,870
COCOMO81,1,GA-ABE,87,1.468347430229187,880
COCOMO81,1,GA-ABE,88,1.4677616357803345,890
COCOMO81,1,GA-ABE,89,1.4677616357803345,900
COCOMO81,1,GA-ABE,90,1.4676114320755005,910
COCOMO81,1,GA-ABE,91,1.4672774076461792,920
COCOMO81,1,GA-ABE,92,1.4668614864349365,930
COCOMO81,1,GA-ABE,93,1.4665627479553223,940
COCOMO81,1,GA-ABE,94,1.4665627479553223,950
COCOMO81,1,GA-ABE,95,1.4663987159729004,960
COCOMO81,1,GA-ABE,96,1.4663987159729004,970
COCOMO81,1,GA-ABE,97,1.4662569761276245,980
COCOMO81,1,GA-ABE,98,1.4662569761276245,990
COCOMO81,1,GA-ABE,99,1.4657857418060303,1000
COCOMO81,1,PSO-ABE,0,1.6209640502929688,10
COCOMO81,1,PSO-ABE,1,1.5403035879135132,20
