Dataset,Fold,Feature,Pearson_r,Abs_Pearson_r,Selected
China,1,AFP,0.6864827357420881,0.6864827357420881,True
China,1,Input,0.5754401074401614,0.5754401074401614,True
China,1,Output,0.5643107030381862,0.5643107030381862,True
China,1,Enquiry,0.5255564309013274,0.5255564309013274,True
China,1,File,0.617252421109667,0.617252421109667,True
China,1,Interface,0.3336364088163893,0.3336364088163893,True
China,1,Added,0.6963547077136508,0.6963547077136508,True
China,1,Changed,0.11325598681602737,0.11325598681602737,False
China,1,Deleted,0.068124726140779,0.068124726140779,False
China,1,Resource,0.22828464387549793,0.22828464387549793,False
China,1,Duration,0.5505407443216462,0.5505407443216462,True
China,1,AdjFactor,0.32910005047430796,0.32910005047430796,True
China,2,AFP,0.6937163767394045,0.6937163767394045,True
China,2,Input,0.5858196201220861,0.5858196201220861,True
China,2,Output,0.5879090191571017,0.5879090191571017,True
China,2,Enquiry,0.5160457361987001,0.5160457361987001,True
China,2,File,0.6149179563204865,0.6149179563204865,True
China,2,Interface,0.29281559351679126,0.29281559351679126,True
China,2,Added,0.6942059899090082,0.6942059899090082,True
China,2,Changed,0.13217306832983614,0.13217306832983614,False
China,2,Deleted,0.07281662269485459,0.07281662269485459,False
China,2,Resource,0.1929680521481803,0.1929680521481803,False
China,2,Duration,0.44581307283411536,0.44581307283411536,True
China,2,AdjFactor,0.32674916946268057,0.32674916946268057,True
China,3,AFP,0.6822126941833158,0.6822126941833158,True
China,3,Input,0.578816519070791,0.578816519070791,True
China,3,Output,0.5589647647766534,0.5589647647766534,True
China,3,Enquiry,0.48322511933762097,0.48322511933762097,True
China,3,File,0.6112465970036933,0.6112465970036933,True
China,3,Interface,0.34850939210184273,0.34850939210184273,True
China,3,Added,0.6941200362573472,0.6941200362573472,True
China,3,Changed,0.10253795995294658,0.10253795995294658,False
China,3,Deleted,0.07055182685573946,0.07055182685573946,False
China,3,Resource,0.20802354875184442,0.20802354875184442,False
China,3,Duration,0.46880290985098305,0.46880290985098305,True
China,3,AdjFactor,0.311441633073292,0.311441633073292,True
China,4,AFP,0.6803380430892787,0.6803380430892787,True
China,4,Input,0.5633091778214417,0.5633091778214417,True
China,4,Output,0.5629901554267583,0.5629901554267583,True
China,4,Enquiry,0.5272276246702372,0.5272276246702372,True
China,4,File,0.6114851726082186,0.6114851726082186,True
China,4,Interface,0.3220509586265369,0.3220509586265369,True
China,4,Added,0.6941995993615107,0.6941995993615107,True
China,4,Changed,0.11811553043223304,0.11811553043223304,False
China,4,Deleted,0.07006881731429315,0.07006881731429315,False
China,4,Resource,0.23244251611410946,0.23244251611410946,False
China,4,Duration,0.4793754977082433,0.4793754977082433,True
China,4,AdjFactor,0.32145758346291,0.32145758346291,True
China,5,AFP,0.6713744185777748,0.6713744185777748,True
China,5,Input,0.5700278343000356,0.5700278343000356,True
China,5,Output,0.5228287220565255,0.5228287220565255,True
China,5,Enquiry,0.4804224260877843,0.4804224260877843,True
China,5,File,0.6334383493882823,0.6334383493882823,True
China,5,Interface,0.3379934617502867,0.3379934617502867,True
China,5,Added,0.6690547584723592,0.6690547584723592,True
China,5,Changed,0.1308308004776201,0.1308308004776201,False
China,5,Deleted,0.07595455378221579,0.07595455378221579,False
China,5,Resource,0.19099231872935357,0.19099231872935357,False
China,5,Duration,0.440052408127743,0.440052408127743,True
China,5,AdjFactor,0.32109817723908646,0.32109817723908646,True
China,6,AFP,0.6916582654594924,0.6916582654594924,True
China,6,Input,0.6032123054926267,0.6032123054926267,True
China,6,Output,0.571486405658629,0.571486405658629,True
China,6,Enquiry,0.5177986984013068,0.5177986984013068,True
China,6,File,0.6136208838896138,0.6136208838896138,True
China,6,Interface,0.2990541894919272,0.2990541894919272,True
China,6,Added,0.7073410457844698,0.7073410457844698,True
China,6,Changed,0.005473042189327562,0.005473042189327562,False
China,6,Deleted,0.04623863391798352,0.04623863391798352,False
China,6,Resource,0.25647872301365443,0.25647872301365443,True
China,6,Duration,0.508676968017508,0.508676968017508,True
China,6,AdjFactor,0.2930046455669345,0.2930046455669345,True
