Dataset,Fold,Train_N,Test_N,Selected_Feature_Count,Selected_Features,ABE_MMRE,ABE_MAE,ABE_MSE,ABE_RMSE,ABE_Training_MMRE,GA-ABE_MMRE,GA-ABE_MAE,GA-ABE_MSE,GA-ABE_RMSE,GA-ABE_Training_MMRE,PSO-ABE_MMRE,PSO-ABE_MAE,PSO-ABE_MSE,PSO-ABE_RMSE,PSO-ABE_Training_MMRE,DE-ABE_MMRE,DE-ABE_MAE,DE-ABE_MSE,DE-ABE_RMSE,DE-ABE_Training_MMRE,GWO-ABE_MMRE,GWO-ABE_MAE,GWO-ABE_MSE,GWO-ABE_RMSE,GWO-ABE_Training_MMRE,WOA-ABE_MMRE,WOA-ABE_MAE,WOA-ABE_MSE,WOA-ABE_RMSE,WOA-ABE_Training_MMRE,FAABE_MMRE,FAABE_MAE,FAABE_MSE,FAABE_RMSE,FAABE_Training_MMRE
China,1,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",2.16069561956837,2695.568454589844,30660218.06824164,5537.166971316798,,1.9144393984901553,2139.9073681640625,26714053.149731077,5168.563934956313,1.1784871816635132,2.1640827916909156,2629.7194946289064,32540232.120813765,5704.404624569839,1.1311750411987305,2.1869628846444256,2519.161929321289,31205752.05872071,5586.21088562907,1.1313302516937256,2.15800600234116,2405.280390625,29401769.398047775,5422.339845311042,1.1542820930480957,1.9055861889677026,2526.4683618164063,32677789.654812098,5716.449042439905,1.1320483684539795,1.966669620877931,2589.4303686523435,32009792.024828706,5657.719684186263,1.159712553024292
China,2,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",1.1013284278950508,2226.2948928833007,16010985.802488051,4001.372989673426,,0.9971476089972637,2145.0980227661134,17681116.928194545,4204.892023369273,1.1804670095443726,1.1777209113579192,2482.31758605957,20655496.458288055,4544.831840485196,1.2095154523849487,1.2684713564536665,2270.4762408447264,23280053.953016363,4824.94082378389,1.177114725112915,1.3178165625439302,2501.152803955078,19541375.01873914,4420.562749100972,1.2100814580917358,1.1018357744718117,2307.307757568359,23036530.278103158,4799.638557027306,1.214266300201416,1.1655805515634885,2451.829660644531,19516513.643568844,4417.749839405672,1.2518634796142578
China,3,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",1.1836537657561172,2489.563073120117,18782155.333836365,4333.838406520987,,1.2835481860993638,2744.4030834960936,22056573.98118956,4696.442694336806,1.2104384899139404,1.315899236248277,2676.5517919921876,26576702.803620715,5155.259722227457,1.2164130210876465,1.228793829485143,2462.6443286132812,18581503.394654587,4310.626798350164,1.2212270498275757,1.4143203870996957,3110.8947930908203,31085662.234914046,5575.451751644349,1.1966944932937622,1.3594691936089,2557.897380981445,18301001.7572152,4277.9670121700565,1.2162141799926758,1.1943699485902646,2519.647674560547,20580518.958104145,4536.575686363465,1.241773247718811
China,4,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",1.0759823916459261,2808.0902853393554,25392013.452553,5039.048863878282,,1.1774229069917024,2614.5508239746096,19188796.99510875,4380.50191132349,1.1039156913757324,1.2331640307230929,2587.4511755371095,19080470.3675946,4368.119774868198,1.1868003606796265,1.1844615829250336,2918.806169433594,25719660.564770307,5071.455468085104,1.173184871673584,1.2574317633253007,2578.0283340454102,19009762.920691893,4360.018683525553,1.0974152088165283,1.2616707366324043,2603.94607421875,19627832.072960377,4430.330921382778,1.0945091247558594,1.0754674580817392,2669.3666024780273,23668803.462517258,4865.059451077372,1.1401855945587158
China,5,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",1.4838580802965293,2186.0944964599607,24483612.146379482,4948.091768184931,,1.201431879670495,2615.980908203125,28633492.64528409,5351.0272514054805,1.2663497924804688,1.5995362123900239,2755.7188232421877,29095267.78981418,5394.002946774704,1.2587742805480957,1.2101499247406347,2367.4328839111326,24432977.03408447,4942.972489715522,1.2907800674438477,1.440563264282821,2413.3165258789063,20419202.216022663,4518.761137305519,1.2551391124725342,1.4251742779747345,2076.0207360839845,20363012.037876602,4512.539422307201,1.2906901836395264,1.3744810550075066,2168.1330688476564,20666779.467343315,4546.072972065375,1.3182612657546997
China,6,449,50,10,"AFP,Input,Output,Enquiry,File,Interface,Added,Resource,Duration,AdjFactor",2.007812791718326,4133.86899230957,59705858.79341248,7726.956632039064,,1.9725132257795592,3905.641028442383,55668836.13066049,7461.155147204787,1.116068720817566,2.3289562057479576,4036.813615112305,55968189.703061484,7481.1890567650735,1.0891848802566528,1.807557930420771,3767.324489135742,58566229.539354734,7652.8576061073245,1.114506721496582,2.3495977637757846,4072.3420025634764,58267326.517290495,7633.303774728902,1.0969511270523071,2.0794243168414126,3853.7561779785156,55769078.90922227,7467.869770504991,1.1117833852767944,1.9242875630500622,3527.104396972656,52814129.95249381,7267.333070149862,1.1347981691360474
China,7,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",1.528466307939448,3364.8344274902342,52257928.46369919,7228.9645498991895,,1.8712891678358614,3551.217365112305,57956204.17874386,7612.897226335311,1.1157262325286865,2.0645743799750416,3810.577176208496,69505452.83822927,8336.993033356168,1.0716856718063354,2.4546707439648956,3800.648399963379,65969361.002821505,8122.1524858144285,1.1277645826339722,1.956776628220326,3652.919910888672,65206544.00289169,8075.056904003321,1.1186619997024536,2.106925423633017,3679.558181152344,66765189.373743325,8170.99684088443,1.12666654586792,2.0565509605884684,3717.015545043945,65942707.24583637,8120.511513804803,1.1364624500274658
China,8,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",1.201874253969291,1941.9082037353517,9018524.990757704,3003.085911318173,,1.0967003595804774,1952.218438720703,8295841.230810875,2880.2502028141366,1.1840157508850098,1.2503454580993285,1755.5561059570311,6681889.935181057,2584.935189744814,1.2290363311767578,1.2128680166027817,1923.0969946289063,8360362.994687672,2891.429230447751,1.2605526447296143,1.1233941049425895,1907.8956359863282,8113574.25324072,2848.433649085181,1.1697158813476562,1.07692259087163,1856.6280657958985,8169144.135885039,2858.1714671945488,1.237683653831482,0.8988526619535756,1784.588871459961,6742583.069048297,2596.6484300051666,1.2445462942123413
China,9,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",0.6963303400495151,1615.4472900390624,7785586.71465244,2790.266423596937,,0.7806116658662716,1602.6599780273436,8485218.74765841,2912.939880543093,1.2315754890441895,0.698799512655501,1585.1372247314453,8302395.432531422,2881.3877615710494,1.2753520011901855,0.7135668311837067,1578.0632958984374,7762483.32509187,2786.123350659814,1.2932096719741821,0.6470273768706497,1540.3175787353516,8194277.300847617,2862.564811641409,1.2710076570510864,0.6523813840956852,1485.8024838256836,7197539.354628519,2682.8230196247605,1.3113459348678589,0.6950264534750111,1500.5889758300782,7209575.700325118,2685.0653065288966,1.280837893486023
China,10,450,49,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",0.8040213874216652,3225.7948795240754,29870101.937567074,5465.354694579948,,0.8561276166364931,3171.468884526467,30655428.83897941,5536.734492368169,1.2612746953964233,0.7545506248633855,3245.4577275490274,35286883.410675675,5940.276374940452,1.225379228591919,0.8064410597813109,3194.5097182916134,31673374.10773131,5627.9102789340295,1.2808489799499512,0.8798580277475385,3495.0917364626516,36758836.10697665,6062.906572509315,1.2344393730163574,0.8386426209072204,3445.925159065091,37147471.05711282,6094.872521809855,1.25202476978302,0.9340169562978399,3652.482025457888,38537926.62712206,6207.8922853994545,1.249142050743103
