Dataset,Fold,Method,Iteration,Best_Training_MMRE,Fitness_Evaluations
China,1,GA-ABE,0,1.2719833850860596,10
China,1,GA-ABE,1,1.2389347553253174,20
China,1,GA-ABE,2,1.2296727895736694,30
China,1,GA-ABE,3,1.2296727895736694,40
China,1,GA-ABE,4,1.2296727895736694,50
China,1,GA-ABE,5,1.2207999229431152,60
China,1,GA-ABE,6,1.2207999229431152,70
China,1,GA-ABE,7,1.2207999229431152,80
China,1,GA-ABE,8,1.2207999229431152,90
China,1,GA-ABE,9,1.2182316780090332,100
China,1,GA-ABE,10,1.2182316780090332,110
China,1,GA-ABE,11,1.2182316780090332,120
China,1,GA-ABE,12,1.2182316780090332,130
China,1,GA-ABE,13,1.2182316780090332,140
China,1,GA-ABE,14,1.2182316780090332,150
China,1,GA-ABE,15,1.2182316780090332,160
China,1,GA-ABE,16,1.2182316780090332,170
China,1,GA-ABE,17,1.2182316780090332,180
China,1,GA-ABE,18,1.2182316780090332,190
China,1,GA-ABE,19,1.2182316780090332,200
China,1,GA-ABE,20,1.2182316780090332,210
China,1,GA-ABE,21,1.2182316780090332,220
China,1,GA-ABE,22,1.2109880447387695,230
China,1,GA-ABE,23,1.2109880447387695,240
China,1,GA-ABE,24,1.2077703475952148,250
China,1,GA-ABE,25,1.2077703475952148,260
China,1,GA-ABE,26,1.2038190364837646,270
China,1,GA-ABE,27,1.1967856884002686,280
China,1,GA-ABE,28,1.1967856884002686,290
China,1,GA-ABE,29,1.1967856884002686,300
China,1,GA-ABE,30,1.1967856884002686,310
China,1,GA-ABE,31,1.1967856884002686,320
China,1,GA-ABE,32,1.1967856884002686,330
China,1,GA-ABE,33,1.1967856884002686,340
China,1,GA-ABE,34,1.1967856884002686,350
China,1,GA-ABE,35,1.1967856884002686,360
China,1,GA-ABE,36,1.1967856884002686,370
China,1,GA-ABE,37,1.1967856884002686,380
China,1,GA-ABE,38,1.1967856884002686,390
China,1,GA-ABE,39,1.1967856884002686,400
China,1,GA-ABE,40,1.1967856884002686,410
China,1,GA-ABE,41,1.1967856884002686,420
China,1,GA-ABE,42,1.1967856884002686,430
China,1,GA-ABE,43,1.1967856884002686,440
China,1,GA-ABE,44,1.1967856884002686,450
China,1,GA-ABE,45,1.1967856884002686,460
China,1,GA-ABE,46,1.1967856884002686,470
China,1,GA-ABE,47,1.1967856884002686,480
China,1,GA-ABE,48,1.1967856884002686,490
China,1,GA-ABE,49,1.1967856884002686,500
China,1,GA-ABE,50,1.1967856884002686,510
China,1,GA-ABE,51,1.1948360204696655,520
China,1,GA-ABE,52,1.1948360204696655,530
China,1,GA-ABE,53,1.1948360204696655,540
China,1,GA-ABE,54,1.1948360204696655,550
China,1,GA-ABE,55,1.1948360204696655,560
China,1,GA-ABE,56,1.1948360204696655,570
China,1,GA-ABE,57,1.1927531957626343,580
China,1,GA-ABE,58,1.1888588666915894,590
China,1,GA-ABE,59,1.1888588666915894,600
China,1,GA-ABE,60,1.1888588666915894,610
China,1,GA-ABE,61,1.1784871816635132,620
China,1,GA-ABE,62,1.1784871816635132,630
China,1,GA-ABE,63,1.1784871816635132,640
China,1,GA-ABE,64,1.1784871816635132,650
China,1,GA-ABE,65,1.1784871816635132,660
China,1,GA-ABE,66,1.1784871816635132,670
China,1,GA-ABE,67,1.1784871816635132,680
China,1,GA-ABE,68,1.1784871816635132,690
China,1,GA-ABE,69,1.1784871816635132,700
China,1,GA-ABE,70,1.1784871816635132,710
China,1,GA-ABE,71,1.1784871816635132,720
China,1,GA-ABE,72,1.1784871816635132,730
China,1,GA-ABE,73,1.1784871816635132,740
China,1,GA-ABE,74,1.1784871816635132,750
China,1,GA-ABE,75,1.1784871816635132,760
China,1,GA-ABE,76,1.1784871816635132,770
China,1,GA-ABE,77,1.1784871816635132,780
China,1,GA-ABE,78,1.1784871816635132,790
China,1,GA-ABE,79,1.1784871816635132,800
China,1,GA-ABE,80,1.1784871816635132,810
China,1,GA-ABE,81,1.1784871816635132,820
China,1,GA-ABE,82,1.1784871816635132,830
China,1,GA-ABE,83,1.1784871816635132,840
China,1,GA-ABE,84,1.1784871816635132,850
China,1,GA-ABE,85,1.1784871816635132,860
China,1,GA-ABE,86,1.1784871816635132,870
China,1,GA-ABE,87,1.1784871816635132,880
China,1,GA-ABE,88,1.1784871816635132,890
China,1,GA-ABE,89,1.1784871816635132,900
