Dataset,Fold,Train_N,Test_N,Selected_Feature_Count,Selected_Features,ABE_MMRE,ABE_MAE,ABE_MSE,ABE_RMSE,ABE_Training_MMRE,GA-ABE_MMRE,GA-ABE_MAE,GA-ABE_MSE,GA-ABE_RMSE,GA-ABE_Training_MMRE,PSO-ABE_MMRE,PSO-ABE_MAE,PSO-ABE_MSE,PSO-ABE_RMSE,PSO-ABE_Training_MMRE,DE-ABE_MMRE,DE-ABE_MAE,DE-ABE_MSE,DE-ABE_RMSE,DE-ABE_Training_MMRE,GWO-ABE_MMRE,GWO-ABE_MAE,GWO-ABE_MSE,GWO-ABE_RMSE,GWO-ABE_Training_MMRE,WOA-ABE_MMRE,WOA-ABE_MAE,WOA-ABE_MSE,WOA-ABE_RMSE,WOA-ABE_Training_MMRE,FAABE_MMRE,FAABE_MAE,FAABE_MSE,FAABE_RMSE,FAABE_Training_MMRE
Desharnais,1,72,9,6,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust",0.7094952439655245,1082.8649495442708,1919446.7792791012,1385.4410053405743,,0.9016576793647041,1314.444607204861,2624110.177369767,1619.9105461011627,0.5635353922843933,0.8472458961589014,994.1298285590278,1582163.617828038,1257.8408555250692,0.5534708499908447,0.7282962853086238,1004.0939398871528,1604852.1585701373,1266.8275962301016,0.57343989610672,0.900498368881951,1230.6997884114583,1975999.6291799876,1405.7025393659883,0.5758282542228699,0.7346951053908312,1059.6681043836807,1615116.7421335976,1270.872433461989,0.5631636381149292,0.8657013320694673,1081.8424207899307,1928496.8627909357,1388.7033026499705,0.5627190470695496
Desharnais,2,73,8,6,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust",0.6685175688320679,2666.157501220703,15102741.323864736,3886.224559114506,,0.5440234531111281,2157.9481658935547,13346016.547557482,3653.220024520489,0.5830287337303162,0.8893675995080085,2751.318145751953,15263129.830598183,3906.805578807088,0.5425233840942383,0.727641383740255,2939.654083251953,19079993.915273093,4368.0652370669895,0.5402929186820984,1.1308129347133813,2687.5570220947266,12162081.344602479,3487.417575313068,0.5461384654045105,0.8453657533007163,3105.7746047973633,18567729.317356944,4309.028813706976,0.5616328716278076,0.5894737604264466,2466.038528442383,17151679.591849208,4141.45863094746,0.5781897306442261
Desharnais,3,73,8,6,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust",0.7729108284553137,2351.225296020508,14312560.165576214,3783.1944393034064,,0.6638572912128342,2523.80078125,12319758.512986317,3509.9513547891684,0.5791515111923218,0.6847168897270718,2257.297622680664,10151905.642503103,3186.2055242094953,0.5549696683883667,1.238704426586055,2964.317352294922,16043629.11838407,4005.449927084855,0.5474291443824768,1.27356975314501,3005.042694091797,16152941.515427388,4019.0722207279864,0.5583569407463074,0.586172829038467,2511.9690704345703,18075055.63267996,4251.476876648861,0.5819388628005981,0.7803066507942227,2719.3314666748047,12330220.838494958,3511.4414189182994,0.5523300766944885
Desharnais,4,73,8,7,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language",0.32432980637568737,3176.8663024902344,38039975.57357333,6167.655597840506,,0.2973674736363554,2634.2213439941406,22366558.469079547,4729.329600385191,0.37645983695983887,0.3291447735817006,2735.760223388672,22119662.97758753,4703.154577258494,0.38489416241645813,0.31438066789528274,2508.8272399902344,17620535.920403905,4197.682208124372,0.387661337852478,0.35260127638704664,2810.6436462402344,22114647.362456806,4702.621328839566,0.33685019612312317,0.4171251956970595,2685.839324951172,16995973.870820604,4122.617356828136,0.3739757835865021,0.3313308464918268,2735.788818359375,21898913.574541062,4679.627503823468,0.3383626639842987
Desharnais,5,73,8,7,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language",0.6242539686135236,1628.3323669433594,3958151.068695344,1989.5102585046764,,0.5885408561664782,1464.2135620117188,2827934.4147891104,1681.6463405808936,0.3413282036781311,0.730463439146894,1933.8301086425781,6414406.560787775,2532.6678741571654,0.34756797552108765,0.725044122522112,1916.3048706054688,6273319.344429582,2504.6595266481995,0.35640302300453186,0.38202356725180353,1026.8897399902344,1635868.0717227682,1279.010583116015,0.3336714208126068,0.7095759276457092,1813.5700378417969,5459606.124115221,2336.580005930724,0.3635677695274353,0.4347726202051344,1238.3562927246094,2254254.4809136465,1501.417490544734,0.34025371074676514
Desharnais,6,73,8,6,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust",0.842637648930904,2110.7378692626953,5839815.316566633,2416.570983142567,,0.8878950776812469,2381.8406372070312,8245075.017936915,2871.4238659482016,0.5524933934211731,0.8636857456186776,2114.8711547851562,6660464.108578041,2580.787497756846,0.6019779443740845,0.8515021096715083,2294.632598876953,7367811.559334822,2714.3713009341263,0.5377117395401001,0.9355931505546764,2115.867919921875,7775153.84465076,2788.396285439134,0.5872962474822998,0.8597126519660631,2316.6917877197266,7292799.9674810935,2700.518462718056,0.5315304398536682,0.8558703572271963,2319.2779998779297,7806091.107512364,2793.938279116481,0.5452198386192322
Desharnais,7,73,8,7,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language",0.590906995586859,1754.8045654296875,6448206.157326654,2539.3318328502587,,0.3476320095118327,1314.3631591796875,3066094.2056057155,1751.0266147622415,0.3768661320209503,0.28513727605460004,1041.1905975341797,2655451.6030885,1629.555645901207,0.36629724502563477,0.28133446014094976,1046.3030395507812,2618375.436332479,1618.139498415535,0.37367045879364014,0.4813781578291632,1593.9340209960938,4094380.6257906407,2023.4575917944612,0.3240058422088623,0.3703357866654794,1289.3405151367188,3014698.81029734,1736.2888038276756,0.3388608694076538,0.5657558879567637,1562.6360168457031,5341006.427168466,2311.061753213978,0.33512112498283386
Desharnais,8,73,8,6,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust",1.0849891495710402,2949.0846557617188,21294682.273842916,4614.616156718012,,1.0213285115730093,2815.22265625,19930396.04973106,4464.347214289124,0.5816173553466797,1.0257070210340336,2950.4424743652344,22033472.588108815,4693.982593502964,0.5690369009971619,1.0947325977457742,3195.705032348633,18366243.097991526,4285.585502354553,0.5518478751182556,1.0608124567211317,3401.079055786133,20722543.67471224,4552.202068747853,0.5542523860931396,1.0063874324115607,3199.542839050293,18627289.268568885,4315.934344793591,0.5356152653694153,1.10713455061313,3762.678939819336,27420803.804240257,5236.487735518938,0.5726720094680786
Desharnais,9,73,8,7,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language",0.6781519236735583,2097.4952392578125,10032440.881146714,3167.402860569952,,0.6623542183723607,1943.967529296875,9343837.978350163,3056.769205934619,0.33395546674728394,0.6457455995698042,2500.9781341552734,13538515.049254747,3679.4721155696707,0.32235419750213623,0.6940014941651551,2247.071533203125,12484498.250495732,3533.340947388991,0.34797653555870056,0.6299662567579631,1844.9400329589844,9161267.557716899,3026.758589269534,0.33847343921661377,0.6369112059546098,2140.832244873047,9784104.486361332,3127.9553203908354,0.3241770565509796,0.6162280921704999,1892.2479553222656,9184107.227635168,3030.5291992711714,0.339917927980423
Desharnais,10,73,8,7,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language",0.25520289704648463,1851.4353332519531,6119299.048797734,2473.721699948831,,0.30250097739839926,2066.7681579589844,7084764.491759755,2661.7220913836504,0.3690888583660126,0.22199770482154135,1780.9532775878906,6371869.56877739,2524.256240712775,0.38711661100387573,0.3149703108923677,2072.4515075683594,8505878.603598632,2916.483945369601,0.37934765219688416,0.20522593117601307,1917.6538391113281,7878304.822354354,2806.831812267054,0.34710484743118286,0.21873234419067103,2004.51513671875,8038767.753961757,2835.2720775900425,0.3530394434928894,0.21176022126089003,1850.6549682617188,7380571.42648074,2716.7207119026316,0.3615035116672516
