Dataset,Fold,Method,Iteration,Best_Training_MMRE,Fitness_Evaluations
Desharnais,1,GA-ABE,0,0.6542456150054932,10
Desharnais,1,GA-ABE,1,0.6006790399551392,20
Desharnais,1,GA-ABE,2,0.5791657567024231,30
Desharnais,1,GA-ABE,3,0.5752026438713074,40
Desharnais,1,GA-ABE,4,0.5736811757087708,50
Desharnais,1,GA-ABE,5,0.5689738392829895,60
Desharnais,1,GA-ABE,6,0.5689738392829895,70
Desharnais,1,GA-ABE,7,0.5689738392829895,80
Desharnais,1,GA-ABE,8,0.5667862296104431,90
Desharnais,1,GA-ABE,9,0.5667862296104431,100
Desharnais,1,GA-ABE,10,0.5667862296104431,110
Desharnais,1,GA-ABE,11,0.5667862296104431,120
Desharnais,1,GA-ABE,12,0.5648583173751831,130
Desharnais,1,GA-ABE,13,0.5648583173751831,140
Desharnais,1,GA-ABE,14,0.5648583173751831,150
Desharnais,1,GA-ABE,15,0.5648583173751831,160
Desharnais,1,GA-ABE,16,0.5648583173751831,170
Desharnais,1,GA-ABE,17,0.5648583173751831,180
Desharnais,1,GA-ABE,18,0.5648583173751831,190
Desharnais,1,GA-ABE,19,0.5648582577705383,200
Desharnais,1,GA-ABE,20,0.5648582577705383,210
Desharnais,1,GA-ABE,21,0.5648582577705383,220
Desharnais,1,GA-ABE,22,0.5648582577705383,230
Desharnais,1,GA-ABE,23,0.5642886757850647,240
Desharnais,1,GA-ABE,24,0.5639233589172363,250
Desharnais,1,GA-ABE,25,0.5639119148254395,260
Desharnais,1,GA-ABE,26,0.5638764500617981,270
Desharnais,1,GA-ABE,27,0.5638507008552551,280
Desharnais,1,GA-ABE,28,0.5638507008552551,290
Desharnais,1,GA-ABE,29,0.5638507008552551,300
Desharnais,1,GA-ABE,30,0.5638507008552551,310
Desharnais,1,GA-ABE,31,0.5638507008552551,320
Desharnais,1,GA-ABE,32,0.5638507008552551,330
Desharnais,1,GA-ABE,33,0.5638507008552551,340
Desharnais,1,GA-ABE,34,0.5638507008552551,350
Desharnais,1,GA-ABE,35,0.5638507008552551,360
Desharnais,1,GA-ABE,36,0.5638507008552551,370
Desharnais,1,GA-ABE,37,0.5638459920883179,380
Desharnais,1,GA-ABE,38,0.5638131499290466,390
Desharnais,1,GA-ABE,39,0.5637957453727722,400
Desharnais,1,GA-ABE,40,0.5637957453727722,410
Desharnais,1,GA-ABE,41,0.5637835264205933,420
Desharnais,1,GA-ABE,42,0.5637835264205933,430
Desharnais,1,GA-ABE,43,0.5637835264205933,440
Desharnais,1,GA-ABE,44,0.5637835264205933,450
Desharnais,1,GA-ABE,45,0.5637835264205933,460
Desharnais,1,GA-ABE,46,0.5637835264205933,470
Desharnais,1,GA-ABE,47,0.5637835264205933,480
Desharnais,1,GA-ABE,48,0.5637835264205933,490
Desharnais,1,GA-ABE,49,0.5637727975845337,500
Desharnais,1,GA-ABE,50,0.5637727975845337,510
Desharnais,1,GA-ABE,51,0.5637408494949341,520
Desharnais,1,GA-ABE,52,0.5636711120605469,530
Desharnais,1,GA-ABE,53,0.5636711120605469,540
Desharnais,1,GA-ABE,54,0.5636711120605469,550
Desharnais,1,GA-ABE,55,0.5636711120605469,560
Desharnais,1,GA-ABE,56,0.5636711120605469,570
Desharnais,1,GA-ABE,57,0.5636711120605469,580
Desharnais,1,GA-ABE,58,0.5636711120605469,590
Desharnais,1,GA-ABE,59,0.5636711120605469,600
Desharnais,1,GA-ABE,60,0.5636675953865051,610
Desharnais,1,GA-ABE,61,0.5636623501777649,620
Desharnais,1,GA-ABE,62,0.5636623501777649,630
Desharnais,1,GA-ABE,63,0.5636609792709351,640
Desharnais,1,GA-ABE,64,0.5636584162712097,650
Desharnais,1,GA-ABE,65,0.5636569857597351,660
Desharnais,1,GA-ABE,66,0.5636569857597351,670
Desharnais,1,GA-ABE,67,0.5636569857597351,680
Desharnais,1,GA-ABE,68,0.5636569857597351,690
Desharnais,1,GA-ABE,69,0.5636569261550903,700
Desharnais,1,GA-ABE,70,0.5636569261550903,710
Desharnais,1,GA-ABE,71,0.5636569261550903,720
Desharnais,1,GA-ABE,72,0.5636569261550903,730
Desharnais,1,GA-ABE,73,0.5636569261550903,740
Desharnais,1,GA-ABE,74,0.5636569261550903,750
Desharnais,1,GA-ABE,75,0.5636569261550903,760
Desharnais,1,GA-ABE,76,0.5636569261550903,770
Desharnais,1,GA-ABE,77,0.5636569261550903,780
Desharnais,1,GA-ABE,78,0.5636569261550903,790
Desharnais,1,GA-ABE,79,0.5636569261550903,800
Desharnais,1,GA-ABE,80,0.5636569261550903,810
Desharnais,1,GA-ABE,81,0.5636569261550903,820
Desharnais,1,GA-ABE,82,0.5636569261550903,830
Desharnais,1,GA-ABE,83,0.5636569261550903,840
Desharnais,1,GA-ABE,84,0.5636569261550903,850
Desharnais,1,GA-ABE,85,0.5636569261550903,860
Desharnais,1,GA-ABE,86,0.5636569261550903,870
Desharnais,1,GA-ABE,87,0.5636569261550903,880
Desharnais,1,GA-ABE,88,0.5636569261550903,890
Desharnais,1,GA-ABE,89,0.5636569261550903,900
Desharnais,1,GA-ABE,90,0.5636569261550903,910
Desharnais,1,GA-ABE,91,0.5636569261550903,920
Desharnais,1,GA-ABE,92,0.5636569261550903,930
Desharnais,1,GA-ABE,93,0.5635353922843933,940
Desharnais,1,GA-ABE,94,0.5635353922843933,950
Desharnais,1,GA-ABE,95,0.5635353922843933,960
Desharnais,1,GA-ABE,96,0.5635353922843933,970
Desharnais,1,GA-ABE,97,0.5635353922843933,980
Desharnais,1,GA-ABE,98,0.5635353922843933,990
Desharnais,1,GA-ABE,99,0.5635353922843933,1000
Desharnais,1,PSO-ABE,0,0.6267025470733643,10
Desharnais,1,PSO-ABE,1,0.600304365158081,20
Desharnais,1,PSO-ABE,2,0.600304365158081,30
Desharnais,1,PSO-ABE,3,0.600304365158081,40
Desharnais,1,PSO-ABE,4,0.590103030204773,50
Desharnais,1,PSO-ABE,5,0.5819475650787354,60
Desharnais,1,PSO-ABE,6,0.5774479508399963,70
Desharnais,1,PSO-ABE,7,0.5774479508399963,80
Desharnais,1,PSO-ABE,8,0.5774479508399963,90
Desharnais,1,PSO-ABE,9,0.5745919346809387,100
Desharnais,1,PSO-ABE,10,0.5735197067260742,110
Desharnais,1,PSO-ABE,11,0.5735197067260742,120
Desharnais,1,PSO-ABE,12,0.5735197067260742,130
Desharnais,1,PSO-ABE,13,0.5735197067260742,140
Desharnais,1,PSO-ABE,14,0.5683389902114868,150
Desharnais,1,PSO-ABE,15,0.5683389902114868,160
Desharnais,1,PSO-ABE,16,0.5683389902114868,170
Desharnais,1,PSO-ABE,17,0.5683389902114868,180
Desharnais,1,PSO-ABE,18,0.5680698156356812,190
Desharnais,1,PSO-ABE,19,0.5680698156356812,200
Desharnais,1,PSO-ABE,20,0.5680698156356812,210
Desharnais,1,PSO-ABE,21,0.5680698156356812,220
Desharnais,1,PSO-ABE,22,0.5680698156356812,230
Desharnais,1,PSO-ABE,23,0.5680698156356812,240
Desharnais,1,PSO-ABE,24,0.5680698156356812,250
Desharnais,1,PSO-ABE,25,0.5680698156356812,260
Desharnais,1,PSO-ABE,26,0.5680698156356812,270
Desharnais,1,PSO-ABE,27,0.5659115314483643,280
Desharnais,1,PSO-ABE,28,0.5659115314483643,290
Desharnais,1,PSO-ABE,29,0.5659115314483643,300
Desharnais,1,PSO-ABE,30,0.5641993880271912,310
Desharnais,1,PSO-ABE,31,0.5606067180633545,320
