Dataset,Fold,Method,Runtime_Seconds,Fitness_Evaluations
Desharnais,1,ABE,0.0027416404336690903,0
Desharnais,1,GA-ABE,9.077937204390764,1000
Desharnais,1,PSO-ABE,2.646019473671913,1000
Desharnais,1,DE-ABE,5.328131582587957,1000
Desharnais,1,GWO-ABE,7.102010419592261,1000
Desharnais,1,WOA-ABE,4.313597619533539,1000
Desharnais,1,FAABE,10.806550959125161,1000
Desharnais,2,ABE,0.0022213589400053024,0
Desharnais,2,GA-ABE,6.90434811450541,1000
Desharnais,2,PSO-ABE,2.502403438091278,1000
Desharnais,2,DE-ABE,7.1119290217757225,1000
Desharnais,2,GWO-ABE,7.038971638306975,1000
Desharnais,2,WOA-ABE,2.785406304523349,1000
Desharnais,2,FAABE,13.16117724776268,1000
Desharnais,3,ABE,0.0016789492219686508,0
Desharnais,3,GA-ABE,4.42596972733736,1000
Desharnais,3,PSO-ABE,3.73387086763978,1000
Desharnais,3,DE-ABE,8.966891199350357,1000
Desharnais,3,GWO-ABE,4.344014139845967,1000
Desharnais,3,WOA-ABE,3.1172794327139854,1000
Desharnais,3,FAABE,14.684951096773148,1000
Desharnais,4,ABE,0.0006103813648223877,0
Desharnais,4,GA-ABE,3.4133819844573736,1000
Desharnais,4,PSO-ABE,6.921734208241105,1000
Desharnais,4,DE-ABE,7.490448519587517,1000
Desharnais,4,GWO-ABE,3.29151339456439,1000
Desharnais,4,WOA-ABE,5.885658787563443,1000
Desharnais,4,FAABE,10.622834339737892,1000
Desharnais,5,ABE,0.000594504177570343,0
Desharnais,5,GA-ABE,6.315919848158956,1000
Desharnais,5,PSO-ABE,7.099389599636197,1000
Desharnais,5,DE-ABE,3.7515958976000547,1000
Desharnais,5,GWO-ABE,4.6535709369927645,1000
Desharnais,5,WOA-ABE,7.169077938422561,1000
Desharnais,5,FAABE,7.6829329915344715,1000
Desharnais,6,ABE,0.0006011426448822021,0
Desharnais,6,GA-ABE,8.042596926912665,1000
Desharnais,6,PSO-ABE,6.205821089446545,1000
Desharnais,6,DE-ABE,3.389273537322879,1000
Desharnais,6,GWO-ABE,6.194279171526432,1000
Desharnais,6,WOA-ABE,7.352102588862181,1000
Desharnais,6,FAABE,7.0603320226073265,1000
Desharnais,7,ABE,0.0023616235703229904,0
Desharnais,7,GA-ABE,8.939795657992363,1000
Desharnais,7,PSO-ABE,2.9319001864641905,1000
Desharnais,7,DE-ABE,4.901883332058787,1000
Desharnais,7,GWO-ABE,7.216133764013648,1000
Desharnais,7,WOA-ABE,5.027971109375358,1000
Desharnais,7,FAABE,10.387162264436483,1000
Desharnais,8,ABE,0.0035927966237068176,0
Desharnais,8,GA-ABE,7.162218762561679,1000
Desharnais,8,PSO-ABE,3.0998607482761145,1000
Desharnais,8,DE-ABE,7.181688077747822,1000
Desharnais,8,GWO-ABE,6.885690798982978,1000
Desharnais,8,WOA-ABE,2.6390767320990562,1000
Desharnais,8,FAABE,15.060126820579171,1000
Desharnais,9,ABE,0.0005587320774793625,0
Desharnais,9,GA-ABE,3.3607284873723984,1000
Desharnais,9,PSO-ABE,4.910594817250967,1000
Desharnais,9,DE-ABE,8.735798545181751,1000
Desharnais,9,GWO-ABE,3.027228033170104,1000
Desharnais,9,WOA-ABE,4.811723597347736,1000
Desharnais,9,FAABE,12.637376071885228,1000
Desharnais,10,ABE,0.0006319191306829453,0
Desharnais,10,GA-ABE,5.886883018538356,1000
Desharnais,10,PSO-ABE,7.431669281795621,1000
Desharnais,10,DE-ABE,4.196930907666683,1000
Desharnais,10,GWO-ABE,4.388730943202972,1000
Desharnais,10,WOA-ABE,7.1729526445269585,1000
Desharnais,10,FAABE,7.936243457719684,1000
