Dataset,Fold,Method,Iteration,Best_Training_MMRE,Fitness_Evaluations
Kemerer,1,GA-ABE,0,0.5706716179847717,10
Kemerer,1,GA-ABE,1,0.569800078868866,20
Kemerer,1,GA-ABE,2,0.569800078868866,30
Kemerer,1,GA-ABE,3,0.5680007934570312,40
Kemerer,1,GA-ABE,4,0.5680007934570312,50
Kemerer,1,GA-ABE,5,0.5678337216377258,60
Kemerer,1,GA-ABE,6,0.5678337216377258,70
Kemerer,1,GA-ABE,7,0.5678337216377258,80
Kemerer,1,GA-ABE,8,0.5678337216377258,90
Kemerer,1,GA-ABE,9,0.5678337216377258,100
Kemerer,1,GA-ABE,10,0.5678337216377258,110
Kemerer,1,GA-ABE,11,0.5678337216377258,120
Kemerer,1,GA-ABE,12,0.5678337216377258,130
Kemerer,1,GA-ABE,13,0.5678337216377258,140
Kemerer,1,GA-ABE,14,0.5678337216377258,150
Kemerer,1,GA-ABE,15,0.5678337216377258,160
Kemerer,1,GA-ABE,16,0.5678337216377258,170
Kemerer,1,GA-ABE,17,0.5678337216377258,180
Kemerer,1,GA-ABE,18,0.5678337216377258,190
Kemerer,1,GA-ABE,19,0.5678337216377258,200
Kemerer,1,GA-ABE,20,0.5678337216377258,210
Kemerer,1,GA-ABE,21,0.5573099851608276,220
Kemerer,1,GA-ABE,22,0.5573099255561829,230
Kemerer,1,GA-ABE,23,0.557245135307312,240
Kemerer,1,GA-ABE,24,0.557245135307312,250
Kemerer,1,GA-ABE,25,0.557245135307312,260
Kemerer,1,GA-ABE,26,0.557245135307312,270
Kemerer,1,GA-ABE,27,0.5571925044059753,280
Kemerer,1,GA-ABE,28,0.5571925044059753,290
Kemerer,1,GA-ABE,29,0.554276704788208,300
Kemerer,1,GA-ABE,30,0.554276704788208,310
Kemerer,1,GA-ABE,31,0.554276704788208,320
Kemerer,1,GA-ABE,32,0.5542734265327454,330
Kemerer,1,GA-ABE,33,0.5542734265327454,340
Kemerer,1,GA-ABE,34,0.5542734265327454,350
Kemerer,1,GA-ABE,35,0.5542734265327454,360
Kemerer,1,GA-ABE,36,0.5542734265327454,370
Kemerer,1,GA-ABE,37,0.5542734265327454,380
Kemerer,1,GA-ABE,38,0.5537039637565613,390
Kemerer,1,GA-ABE,39,0.5537039041519165,400
Kemerer,1,GA-ABE,40,0.5537039041519165,410
Kemerer,1,GA-ABE,41,0.5537039041519165,420
Kemerer,1,GA-ABE,42,0.5537039041519165,430
Kemerer,1,GA-ABE,43,0.5537039041519165,440
Kemerer,1,GA-ABE,44,0.5537039041519165,450
Kemerer,1,GA-ABE,45,0.5536633729934692,460
Kemerer,1,GA-ABE,46,0.5536599159240723,470
Kemerer,1,GA-ABE,47,0.5536158680915833,480
Kemerer,1,GA-ABE,48,0.5536158680915833,490
Kemerer,1,GA-ABE,49,0.5536158680915833,500
Kemerer,1,GA-ABE,50,0.5536158680915833,510
Kemerer,1,GA-ABE,51,0.5536158680915833,520
Kemerer,1,GA-ABE,52,0.5536158680915833,530
Kemerer,1,GA-ABE,53,0.5536158680915833,540
Kemerer,1,GA-ABE,54,0.5536158680915833,550
Kemerer,1,GA-ABE,55,0.5536158680915833,560
Kemerer,1,GA-ABE,56,0.5536158680915833,570
Kemerer,1,GA-ABE,57,0.5536158680915833,580
Kemerer,1,GA-ABE,58,0.5536158680915833,590
Kemerer,1,GA-ABE,59,0.5536158680915833,600
Kemerer,1,GA-ABE,60,0.5536158680915833,610
Kemerer,1,GA-ABE,61,0.5536158680915833,620
Kemerer,1,GA-ABE,62,0.5534365773200989,630
Kemerer,1,GA-ABE,63,0.5534365773200989,640
Kemerer,1,GA-ABE,64,0.5531579256057739,650
Kemerer,1,GA-ABE,65,0.5531579256057739,660
Kemerer,1,GA-ABE,66,0.5531579256057739,670
Kemerer,1,GA-ABE,67,0.5531579256057739,680
Kemerer,1,GA-ABE,68,0.5531579256057739,690
Kemerer,1,GA-ABE,69,0.5531579256057739,700
Kemerer,1,GA-ABE,70,0.5531579256057739,710
Kemerer,1,GA-ABE,71,0.5531579256057739,720
Kemerer,1,GA-ABE,72,0.5531579256057739,730
Kemerer,1,GA-ABE,73,0.5531579256057739,740
Kemerer,1,GA-ABE,74,0.5531197786331177,750
Kemerer,1,GA-ABE,75,0.5531197786331177,760
Kemerer,1,GA-ABE,76,0.5531197786331177,770
Kemerer,1,GA-ABE,77,0.5531197786331177,780
Kemerer,1,GA-ABE,78,0.5531197786331177,790
Kemerer,1,GA-ABE,79,0.5531197786331177,800
Kemerer,1,GA-ABE,80,0.5531197786331177,810
Kemerer,1,GA-ABE,81,0.5531197786331177,820
Kemerer,1,GA-ABE,82,0.5531197786331177,830
Kemerer,1,GA-ABE,83,0.5531197786331177,840
Kemerer,1,GA-ABE,84,0.5531197786331177,850
Kemerer,1,GA-ABE,85,0.5531197786331177,860
