Dataset,Fold,Method,Runtime_Seconds,Fitness_Evaluations
Kemerer,1,ABE,0.0007698163390159607,0
Kemerer,1,GA-ABE,8.037392577156425,1000
Kemerer,1,PSO-ABE,6.232544116675854,1000
Kemerer,1,DE-ABE,3.2364875357598066,1000
Kemerer,1,GWO-ABE,5.493229037150741,1000
Kemerer,1,WOA-ABE,7.152222342789173,1000
Kemerer,1,FAABE,7.121549451723695,1000
Kemerer,2,ABE,0.002246623858809471,0
Kemerer,2,GA-ABE,8.85668827034533,1000
Kemerer,2,PSO-ABE,3.9185517001897097,1000
Kemerer,2,DE-ABE,4.095611145719886,1000
Kemerer,2,GWO-ABE,7.176535004749894,1000
Kemerer,2,WOA-ABE,5.933147927746177,1000
Kemerer,2,FAABE,9.110634287819266,1000
Kemerer,3,ABE,0.0028767045587301254,0
Kemerer,3,GA-ABE,8.232744814828038,1000
Kemerer,3,PSO-ABE,2.381757602095604,1000
Kemerer,3,DE-ABE,5.648065749555826,1000
Kemerer,3,GWO-ABE,7.013982143253088,1000
Kemerer,3,WOA-ABE,3.421623144298792,1000
Kemerer,3,FAABE,12.717873442918062,1000
Kemerer,4,ABE,0.0033974740654230118,0
Kemerer,4,GA-ABE,4.956510491669178,1000
Kemerer,4,PSO-ABE,2.942069286480546,1000
Kemerer,4,DE-ABE,9.042916698381305,1000
Kemerer,4,GWO-ABE,5.280561009421945,1000
Kemerer,4,WOA-ABE,3.0622169245034456,1000
Kemerer,4,FAABE,14.45800718665123,1000
Kemerer,5,ABE,0.0006245672702789307,0
Kemerer,5,GA-ABE,3.3415208607912064,1000
Kemerer,5,PSO-ABE,5.43075873143971,1000
Kemerer,5,DE-ABE,8.782942228019238,1000
Kemerer,5,GWO-ABE,2.0656774509698153,1000
Kemerer,5,WOA-ABE,4.43025285936892,1000
Kemerer,5,FAABE,12.320536836981773,1000
Kemerer,6,ABE,0.0006860047578811646,0
Kemerer,6,GA-ABE,5.447844676673412,1000
Kemerer,6,PSO-ABE,6.972941869869828,1000
Kemerer,6,DE-ABE,5.091699635609984,1000
Kemerer,6,GWO-ABE,4.258555775508285,1000
Kemerer,6,WOA-ABE,7.027937810868025,1000
Kemerer,6,FAABE,9.347410315647721,1000
Kemerer,7,ABE,0.0006340164691209793,0
Kemerer,7,GA-ABE,7.509245693683624,1000
Kemerer,7,PSO-ABE,6.7420768570154905,1000
Kemerer,7,DE-ABE,2.707569472491741,1000
Kemerer,7,GWO-ABE,5.520270027220249,1000
Kemerer,7,WOA-ABE,7.396116876974702,1000
Kemerer,7,FAABE,6.368685496971011,1000
Kemerer,8,ABE,0.002194434404373169,0
Kemerer,8,GA-ABE,8.963741397485137,1000
Kemerer,8,PSO-ABE,4.43766481988132,1000
Kemerer,8,DE-ABE,3.3443654887378216,1000
Kemerer,8,GWO-ABE,6.849251521751285,1000
Kemerer,8,WOA-ABE,7.002075891941786,1000
Kemerer,8,FAABE,7.724078755825758,1000
Kemerer,9,ABE,0.0033288318663835526,0
Kemerer,9,GA-ABE,8.861836947500706,1000
Kemerer,9,PSO-ABE,2.1851715855300426,1000
Kemerer,9,DE-ABE,5.006181301549077,1000
Kemerer,9,GWO-ABE,7.3472767155617476,1000
Kemerer,9,WOA-ABE,4.583034528419375,1000
Kemerer,9,FAABE,9.017043221741915,1000
Kemerer,10,ABE,0.0023714732378721237,0
Kemerer,10,GA-ABE,8.475696133449674,1000
Kemerer,10,PSO-ABE,2.03921358846128,1000
Kemerer,10,DE-ABE,5.05344495177269,1000
Kemerer,10,GWO-ABE,6.959618106484413,1000
Kemerer,10,WOA-ABE,4.733481599017978,1000
Kemerer,10,FAABE,9.933806039392948,1000
