Dataset,Fold,Method,Iteration,Best_Training_MMRE,Fitness_Evaluations
Kitchenham,1,GA-ABE,0,0.36774277687072754,10
Kitchenham,1,GA-ABE,1,0.3007272481918335,20
Kitchenham,1,GA-ABE,2,0.3007272481918335,30
Kitchenham,1,GA-ABE,3,0.3007272481918335,40
Kitchenham,1,GA-ABE,4,0.29978907108306885,50
Kitchenham,1,GA-ABE,5,0.29932481050491333,60
Kitchenham,1,GA-ABE,6,0.2887779772281647,70
Kitchenham,1,GA-ABE,7,0.2856373190879822,80
Kitchenham,1,GA-ABE,8,0.2856373190879822,90
Kitchenham,1,GA-ABE,9,0.27475273609161377,100
Kitchenham,1,GA-ABE,10,0.2697380781173706,110
Kitchenham,1,GA-ABE,11,0.2697380781173706,120
Kitchenham,1,GA-ABE,12,0.2697380781173706,130
Kitchenham,1,GA-ABE,13,0.2697380781173706,140
Kitchenham,1,GA-ABE,14,0.2696020305156708,150
Kitchenham,1,GA-ABE,15,0.2696020305156708,160
Kitchenham,1,GA-ABE,16,0.2689332365989685,170
Kitchenham,1,GA-ABE,17,0.26819103956222534,180
Kitchenham,1,GA-ABE,18,0.26819103956222534,190
Kitchenham,1,GA-ABE,19,0.26819103956222534,200
Kitchenham,1,GA-ABE,20,0.26819103956222534,210
Kitchenham,1,GA-ABE,21,0.26819103956222534,220
Kitchenham,1,GA-ABE,22,0.26819103956222534,230
Kitchenham,1,GA-ABE,23,0.26819103956222534,240
Kitchenham,1,GA-ABE,24,0.26819100975990295,250
Kitchenham,1,GA-ABE,25,0.26819100975990295,260
Kitchenham,1,GA-ABE,26,0.26819100975990295,270
Kitchenham,1,GA-ABE,27,0.26819100975990295,280
Kitchenham,1,GA-ABE,28,0.2680562138557434,290
Kitchenham,1,GA-ABE,29,0.2680562138557434,300
Kitchenham,1,GA-ABE,30,0.2680562138557434,310
Kitchenham,1,GA-ABE,31,0.2680540680885315,320
Kitchenham,1,GA-ABE,32,0.2680540680885315,330
Kitchenham,1,GA-ABE,33,0.26805368065834045,340
Kitchenham,1,GA-ABE,34,0.26805368065834045,350
Kitchenham,1,GA-ABE,35,0.26805368065834045,360
Kitchenham,1,GA-ABE,36,0.26805368065834045,370
Kitchenham,1,GA-ABE,37,0.26805368065834045,380
Kitchenham,1,GA-ABE,38,0.26805368065834045,390
Kitchenham,1,GA-ABE,39,0.26805368065834045,400
Kitchenham,1,GA-ABE,40,0.26805368065834045,410
Kitchenham,1,GA-ABE,41,0.26805368065834045,420
Kitchenham,1,GA-ABE,42,0.26805368065834045,430
Kitchenham,1,GA-ABE,43,0.26805368065834045,440
Kitchenham,1,GA-ABE,44,0.26805368065834045,450
Kitchenham,1,GA-ABE,45,0.26805368065834045,460
Kitchenham,1,GA-ABE,46,0.26805368065834045,470
Kitchenham,1,GA-ABE,47,0.26805368065834045,480
Kitchenham,1,GA-ABE,48,0.26805368065834045,490
Kitchenham,1,GA-ABE,49,0.26805368065834045,500
Kitchenham,1,GA-ABE,50,0.26805368065834045,510
Kitchenham,1,GA-ABE,51,0.26805368065834045,520
Kitchenham,1,GA-ABE,52,0.26805368065834045,530
Kitchenham,1,GA-ABE,53,0.26805368065834045,540
Kitchenham,1,GA-ABE,54,0.26805368065834045,550
Kitchenham,1,GA-ABE,55,0.26805368065834045,560
Kitchenham,1,GA-ABE,56,0.26805368065834045,570
Kitchenham,1,GA-ABE,57,0.26318156719207764,580
Kitchenham,1,GA-ABE,58,0.26318156719207764,590
Kitchenham,1,GA-ABE,59,0.26318156719207764,600
Kitchenham,1,GA-ABE,60,0.26318156719207764,610
Kitchenham,1,GA-ABE,61,0.2631796598434448,620
Kitchenham,1,GA-ABE,62,0.2631796598434448,630
Kitchenham,1,GA-ABE,63,0.2631796598434448,640
Kitchenham,1,GA-ABE,64,0.25944986939430237,650
Kitchenham,1,GA-ABE,65,0.25944986939430237,660
Kitchenham,1,GA-ABE,66,0.25944986939430237,670
Kitchenham,1,GA-ABE,67,0.2594431936740875,680
Kitchenham,1,GA-ABE,68,0.2594378590583801,690
Kitchenham,1,GA-ABE,69,0.2594378590583801,700
Kitchenham,1,GA-ABE,70,0.2594378590583801,710
Kitchenham,1,GA-ABE,71,0.2592087984085083,720
Kitchenham,1,GA-ABE,72,0.259206086397171,730
Kitchenham,1,GA-ABE,73,0.259206086397171,740
Kitchenham,1,GA-ABE,74,0.25892409682273865,750
Kitchenham,1,GA-ABE,75,0.25892409682273865,760
Kitchenham,1,GA-ABE,76,0.25892409682273865,770
Kitchenham,1,GA-ABE,77,0.25892409682273865,780
Kitchenham,1,GA-ABE,78,0.25892409682273865,790
Kitchenham,1,GA-ABE,79,0.25892409682273865,800
Kitchenham,1,GA-ABE,80,0.25892409682273865,810
Kitchenham,1,GA-ABE,81,0.25892409682273865,820
Kitchenham,1,GA-ABE,82,0.25892409682273865,830
Kitchenham,1,GA-ABE,83,0.25892409682273865,840
Kitchenham,1,GA-ABE,84,0.25892409682273865,850
Kitchenham,1,GA-ABE,85,0.25892409682273865,860
Kitchenham,1,GA-ABE,86,0.25892409682273865,870
Kitchenham,1,GA-ABE,87,0.25892409682273865,880
Kitchenham,1,GA-ABE,88,0.25892409682273865,890
Kitchenham,1,GA-ABE,89,0.25892409682273865,900
Kitchenham,1,GA-ABE,90,0.25892409682273865,910
Kitchenham,1,GA-ABE,91,0.25892409682273865,920
Kitchenham,1,GA-ABE,92,0.25892409682273865,930
Kitchenham,1,GA-ABE,93,0.25892409682273865,940
Kitchenham,1,GA-ABE,94,0.25892409682273865,950
Kitchenham,1,GA-ABE,95,0.25892409682273865,960
Kitchenham,1,GA-ABE,96,0.25892409682273865,970
Kitchenham,1,GA-ABE,97,0.25892409682273865,980
Kitchenham,1,GA-ABE,98,0.25892409682273865,990
Kitchenham,1,GA-ABE,99,0.25892409682273865,1000
Kitchenham,1,PSO-ABE,0,0.39823034405708313,10
Kitchenham,1,PSO-ABE,1,0.386229932308197,20
Kitchenham,1,PSO-ABE,2,0.34879544377326965,30
Kitchenham,1,PSO-ABE,3,0.2970024347305298,40
Kitchenham,1,PSO-ABE,4,0.2911786139011383,50
Kitchenham,1,PSO-ABE,5,0.2911786139011383,60
Kitchenham,1,PSO-ABE,6,0.2911786139011383,70
Kitchenham,1,PSO-ABE,7,0.2911786139011383,80
Kitchenham,1,PSO-ABE,8,0.2911786139011383,90
Kitchenham,1,PSO-ABE,9,0.2867225706577301,100
Kitchenham,1,PSO-ABE,10,0.2867225706577301,110
Kitchenham,1,PSO-ABE,11,0.2867225706577301,120
Kitchenham,1,PSO-ABE,12,0.2852974832057953,130
Kitchenham,1,PSO-ABE,13,0.2852676808834076,140
Kitchenham,1,PSO-ABE,14,0.2852676808834076,150
Kitchenham,1,PSO-ABE,15,0.2852676808834076,160
Kitchenham,1,PSO-ABE,16,0.2852676808834076,170
Kitchenham,1,PSO-ABE,17,0.2845170199871063,180
Kitchenham,1,PSO-ABE,18,0.2845170199871063,190
Kitchenham,1,PSO-ABE,19,0.2845170199871063,200
Kitchenham,1,PSO-ABE,20,0.2845069468021393,210
Kitchenham,1,PSO-ABE,21,0.2845069468021393,220
Kitchenham,1,PSO-ABE,22,0.2845069468021393,230
Kitchenham,1,PSO-ABE,23,0.2845069468021393,240
Kitchenham,1,PSO-ABE,24,0.2845069468021393,250
Kitchenham,1,PSO-ABE,25,0.2845069468021393,260
Kitchenham,1,PSO-ABE,26,0.2845069468021393,270
Kitchenham,1,PSO-ABE,27,0.28430885076522827,280
Kitchenham,1,PSO-ABE,28,0.28430885076522827,290
Kitchenham,1,PSO-ABE,29,0.28430885076522827,300
Kitchenham,1,PSO-ABE,30,0.28430885076522827,310
Kitchenham,1,PSO-ABE,31,0.28430885076522827,320
Kitchenham,1,PSO-ABE,32,0.28430885076522827,330
Kitchenham,1,PSO-ABE,33,0.28430885076522827,340
Kitchenham,1,PSO-ABE,34,0.28430885076522827,350
Kitchenham,1,PSO-ABE,35,0.28430885076522827,360
Kitchenham,1,PSO-ABE,36,0.28430885076522827,370
Kitchenham,1,PSO-ABE,37,0.28430885076522827,380
Kitchenham,1,PSO-ABE,38,0.28430885076522827,390
Kitchenham,1,PSO-ABE,39,0.28430885076522827,400
Kitchenham,1,PSO-ABE,40,0.28430885076522827,410
Kitchenham,1,PSO-ABE,41,0.28430885076522827,420
Kitchenham,1,PSO-ABE,42,0.28430885076522827,430
Kitchenham,1,PSO-ABE,43,0.28430885076522827,440
Kitchenham,1,PSO-ABE,44,0.28430885076522827,450
Kitchenham,1,PSO-ABE,45,0.28430885076522827,460
Kitchenham,1,PSO-ABE,46,0.28430885076522827,470
Kitchenham,1,PSO-ABE,47,0.28430885076522827,480
Kitchenham,1,PSO-ABE,48,0.28430885076522827,490
Kitchenham,1,PSO-ABE,49,0.28430885076522827,500
Kitchenham,1,PSO-ABE,50,0.28430885076522827,510
Kitchenham,1,PSO-ABE,51,0.28430885076522827,520
Kitchenham,1,PSO-ABE,52,0.28430885076522827,530
Kitchenham,1,PSO-ABE,53,0.28430378437042236,540
Kitchenham,1,PSO-ABE,54,0.28430378437042236,550
Kitchenham,1,PSO-ABE,55,0.28430378437042236,560
Kitchenham,1,PSO-ABE,56,0.28430378437042236,570
Kitchenham,1,PSO-ABE,57,0.2843033969402313,580
Kitchenham,1,PSO-ABE,58,0.2843033969402313,590
Kitchenham,1,PSO-ABE,59,0.2843033969402313,600
