Dataset,Fold,Method,Runtime_Seconds,Fitness_Evaluations
Kitchenham,1,ABE,0.0027617551386356354,0
Kitchenham,1,GA-ABE,7.568966245278716,1000
Kitchenham,1,PSO-ABE,2.5450095552951097,1000
Kitchenham,1,DE-ABE,7.470997592434287,1000
Kitchenham,1,GWO-ABE,7.119929686188698,1000
Kitchenham,1,WOA-ABE,2.1504741199314594,1000
Kitchenham,1,FAABE,13.938573936000466,1000
Kitchenham,2,ABE,0.002642948180437088,0
Kitchenham,2,GA-ABE,3.872506208717823,1000
Kitchenham,2,PSO-ABE,4.243853781372309,1000
Kitchenham,2,DE-ABE,9.085727928206325,1000
Kitchenham,2,GWO-ABE,3.7406154051423073,1000
Kitchenham,2,WOA-ABE,3.7259515170007944,1000
Kitchenham,2,FAABE,13.483210414648056,1000
Kitchenham,3,ABE,0.0006226040422916412,0
Kitchenham,3,GA-ABE,4.612565532326698,1000
Kitchenham,3,PSO-ABE,7.280133541673422,1000
Kitchenham,3,DE-ABE,5.523194886744022,1000
Kitchenham,3,GWO-ABE,3.196958215907216,1000
Kitchenham,3,WOA-ABE,6.821869237348437,1000
Kitchenham,3,FAABE,9.95867020264268,1000
Kitchenham,4,ABE,0.0005862563848495483,0
Kitchenham,4,GA-ABE,6.438687963411212,1000
Kitchenham,4,PSO-ABE,7.19261784479022,1000
Kitchenham,4,DE-ABE,4.004967324435711,1000
Kitchenham,4,GWO-ABE,4.900452043861151,1000
Kitchenham,4,WOA-ABE,6.92978279478848,1000
Kitchenham,4,FAABE,7.369593741372228,1000
Kitchenham,5,ABE,0.0005786214023828506,0
Kitchenham,5,GA-ABE,8.450505211949348,1000
Kitchenham,5,PSO-ABE,5.9182484950870275,1000
Kitchenham,5,DE-ABE,3.359024005010724,1000
Kitchenham,5,GWO-ABE,6.014496143907309,1000
Kitchenham,5,WOA-ABE,7.142881121486425,1000
Kitchenham,5,FAABE,6.588401831686497,1000
Kitchenham,6,ABE,0.0027007274329662323,0
Kitchenham,6,GA-ABE,8.755663545802236,1000
Kitchenham,6,PSO-ABE,4.450697619467974,1000
Kitchenham,6,DE-ABE,3.324438923969865,1000
Kitchenham,6,GWO-ABE,6.5730115957558155,1000
Kitchenham,6,WOA-ABE,7.0957351587712765,1000
Kitchenham,6,FAABE,7.4383324813097715,1000
Kitchenham,7,ABE,0.00235847570002079,0
Kitchenham,7,GA-ABE,8.859098371118307,1000
Kitchenham,7,PSO-ABE,2.916158117353916,1000
Kitchenham,7,DE-ABE,4.60222989320755,1000
Kitchenham,7,GWO-ABE,6.9547278974205256,1000
Kitchenham,7,WOA-ABE,5.802507482469082,1000
Kitchenham,7,FAABE,8.5930892881006,1000
Kitchenham,8,ABE,0.0013800952583551407,0
Kitchenham,8,GA-ABE,8.811446592211723,1000
Kitchenham,8,PSO-ABE,1.8833810351788998,1000
Kitchenham,8,DE-ABE,5.315655034035444,1000
Kitchenham,8,GWO-ABE,6.99295044131577,1000
Kitchenham,8,WOA-ABE,4.466133112087846,1000
Kitchenham,8,FAABE,11.586063899099827,1000
Kitchenham,9,ABE,0.002661101520061493,0
Kitchenham,9,GA-ABE,5.898334257304668,1000
Kitchenham,9,PSO-ABE,3.089698277413845,1000
Kitchenham,9,DE-ABE,8.685838807374239,1000
Kitchenham,9,GWO-ABE,5.558446845039725,1000
Kitchenham,9,WOA-ABE,3.0391265749931335,1000
Kitchenham,9,FAABE,14.344268282875419,1000
Kitchenham,10,ABE,0.0006096400320529938,0
Kitchenham,10,GA-ABE,3.320039728656411,1000
Kitchenham,10,PSO-ABE,6.216943979263306,1000
Kitchenham,10,DE-ABE,7.827009532600641,1000
Kitchenham,10,GWO-ABE,3.2080605812370777,1000
Kitchenham,10,WOA-ABE,5.859003210440278,1000
Kitchenham,10,FAABE,10.285213591530919,1000
