Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,Nlan,T07,T11,T14,T15,Duration,Size,T09,T10,T01,T08
Maxwell,1,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,
Maxwell,1,GA-ABE,0.43781182169914246,1000,0.10777147114276886,0.054175347089767456,4.0045392779575195e-07,0.0,0.06363558024168015,0.4320276379585266,0.3423895835876465,,,,
Maxwell,1,PSO-ABE,0.42183586955070496,1000,0.0,0.00027252311701886356,0.010823646560311317,0.0,0.0,0.47508642077445984,0.5138174295425415,,,,
Maxwell,1,DE-ABE,0.4557841718196869,1000,0.2201630175113678,0.057276852428913116,0.000971623114310205,0.0017738391179591417,0.04551161825656891,0.3400067985057831,0.3342962861061096,,,,
Maxwell,1,GWO-ABE,0.397473007440567,1000,0.035128362476825714,0.00033897493267431855,5.644318662234582e-05,0.05439712479710579,0.07553979009389877,0.39178499579429626,0.442754328250885,,,,
Maxwell,1,WOA-ABE,0.4262988567352295,1000,0.0,0.023694319650530815,0.019479786977171898,0.0,0.010899968445301056,0.4410364329814911,0.5048894286155701,,,,
Maxwell,1,FAABE,0.4038827121257782,1000,0.05576351657509804,0.006125969346612692,0.03942771628499031,0.07209844887256622,0.0,0.44667762517929077,0.3799067437648773,,,,
Maxwell,2,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,
Maxwell,2,GA-ABE,0.38452789187431335,1000,0.07397954165935516,0.0,0.041737496852874756,,,0.2815214991569519,0.2807455062866211,0.2900916039943695,0.03192431479692459,,
Maxwell,2,PSO-ABE,0.36228933930397034,1000,0.0,0.0,0.009532333351671696,,,0.4210217297077179,0.5694459080696106,0.0,0.0,,
Maxwell,2,DE-ABE,0.3790279030799866,1000,0.0003256142372265458,0.0005189742660149932,0.05009528994560242,,,0.37051674723625183,0.31276974081993103,0.24955905973911285,0.01621454581618309,,
Maxwell,2,GWO-ABE,0.4841981828212738,1000,0.004212690982967615,0.1426958590745926,0.1400090903043747,,,0.5239761471748352,0.004706414416432381,0.09739428013563156,0.08700549602508545,,
Maxwell,2,WOA-ABE,0.36253973841667175,1000,0.007542068604379892,0.0,0.0,,,0.47762832045555115,0.5148295760154724,0.0,0.0,,
Maxwell,2,FAABE,0.4173325002193451,1000,0.0,0.0,0.2871459126472473,,,0.3446420431137085,0.2980560064315796,0.04543450474739075,0.024721594527363777,,
Maxwell,3,ABE,,0,,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,,
Maxwell,3,GA-ABE,0.4673879146575928,1000,,0.13374437391757965,0.04377580061554909,,0.16602501273155212,0.25670093297958374,0.29069533944129944,,0.10905852913856506,,
Maxwell,3,PSO-ABE,0.47701579332351685,1000,,0.0,0.0,,0.0,0.07038236409425735,0.4926234483718872,,0.4369942247867584,,
Maxwell,3,DE-ABE,0.45735085010528564,1000,,0.026092272251844406,0.027692783623933792,,0.0,0.29327237606048584,0.3886266350746155,,0.2643158733844757,,
Maxwell,3,GWO-ABE,0.4085254371166229,1000,,0.00024317321367561817,0.01374319288879633,,0.0015324816340580583,0.16606451570987701,0.7852082252502441,,0.03320843353867531,,
Maxwell,3,WOA-ABE,0.3827928304672241,1000,,0.0002546539471950382,0.021684201434254646,,0.0,0.09188719838857651,0.8408260941505432,,0.045347798615694046,,
Maxwell,3,FAABE,0.4315219819545746,1000,,0.0,0.017661727964878082,,0.0,0.31365692615509033,0.6332677006721497,,0.03541366010904312,,
Maxwell,4,ABE,,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,0.125,,
Maxwell,4,GA-ABE,0.45047253370285034,1000,0.09338054060935974,0.08589711040258408,0.029278898611664772,0.10770061612129211,0.0643429085612297,0.28838470578193665,0.2108820378780365,,0.1201331838965416,,
Maxwell,4,PSO-ABE,0.47507914900779724,1000,0.07874070852994919,0.07098495215177536,0.0,0.1970040649175644,0.0,0.3979457914829254,0.1986144483089447,,0.05671001225709915,,
Maxwell,4,DE-ABE,0.43681514263153076,1000,0.06123819947242737,0.09589380025863647,0.07859022170305252,0.15514928102493286,0.004171776585280895,0.24178558588027954,0.27304989099502563,,0.09012126922607422,,
Maxwell,4,GWO-ABE,0.39666691422462463,1000,0.03188706189393997,0.0029618400149047375,0.0008978163241408765,0.03624003380537033,0.0008289572433568537,0.2893514335155487,0.6228556632995605,,0.01497725397348404,,
Maxwell,4,WOA-ABE,0.37024298310279846,1000,0.01006308477371931,0.0,0.02280868962407112,0.07027813792228699,0.0,0.33001407980918884,0.5318326354026794,,0.035003405064344406,,
Maxwell,4,FAABE,0.405439168214798,1000,0.035002924501895905,0.0,0.051728639751672745,0.05219137668609619,0.0,0.40098199248313904,0.38303881883621216,,0.07705625146627426,,
Maxwell,5,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204,,,,
Maxwell,5,GA-ABE,0.3565167188644409,1000,0.03521927073597908,0.013008014298975468,0.012308035045862198,0.05368008464574814,,0.38150548934936523,0.5042791366577148,,,,
Maxwell,5,PSO-ABE,0.37017354369163513,1000,0.0472278892993927,0.0,0.0,0.0564194992184639,,0.4004583954811096,0.4958942234516144,,,,
Maxwell,5,DE-ABE,0.46125563979148865,1000,0.12376658618450165,0.1397411823272705,0.06181411072611809,0.10940929502248764,,0.2431582510471344,0.3221105933189392,,,,
Maxwell,5,GWO-ABE,0.373460978269577,1000,0.04638328030705452,0.000738089787773788,0.0012058401480317116,0.06279980391263962,,0.3906700015068054,0.49820300936698914,,,,
Maxwell,5,WOA-ABE,0.5511060357093811,1000,0.1182176023721695,0.1287490278482437,0.0,0.14679540693759918,,0.6062380075454712,0.0,,,,
Maxwell,5,FAABE,0.38513535261154175,1000,0.05239023268222809,0.0,0.04708243906497955,0.029850028455257416,,0.43911024928092957,0.43156713247299194,,,,
Maxwell,6,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204,,,,
Maxwell,6,GA-ABE,0.432372510433197,1000,0.056114617735147476,0.017496101558208466,0.018076209351420403,0.10486723482608795,,0.3757728934288025,0.42767298221588135,,,,
Maxwell,6,PSO-ABE,0.4471489489078522,1000,0.0956641212105751,0.01140557136386633,0.0,0.005680059548467398,,0.4616326689720154,0.42561760544776917,,,,
Maxwell,6,DE-ABE,0.416740745306015,1000,0.04605458304286003,0.0013919429620727897,0.002578286686912179,0.05389080569148064,,0.4224652051925659,0.4736191928386688,,,,
Maxwell,6,GWO-ABE,0.4088449776172638,1000,0.046747319400310516,0.0008860722882673144,0.007215915247797966,0.04968545585870743,,0.4098984897136688,0.48556679487228394,,,,
Maxwell,6,WOA-ABE,0.4302402436733246,1000,0.0,0.0011782278306782246,0.02596413902938366,0.052481140941381454,,0.36538267135620117,0.5549938678741455,,,,
Maxwell,6,FAABE,0.41835349798202515,1000,0.04132915660738945,0.0,0.03276236355304718,0.06285709142684937,,0.39110201597213745,0.47194939851760864,,,,
Maxwell,7,ABE,,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,0.125,,
Maxwell,7,GA-ABE,0.34884822368621826,1000,0.0,0.0063223689794540405,0.00015617602912243456,0.0,0.05549950152635574,0.5646749138832092,0.3324359953403473,,0.04091108217835426,,
Maxwell,7,PSO-ABE,0.3631149232387543,1000,0.0,0.08316048979759216,0.01828286051750183,0.0,0.12085812538862228,0.3605489730834961,0.3204953074455261,,0.09665420651435852,,
Maxwell,7,DE-ABE,0.4755164086818695,1000,0.04788953810930252,0.09202641248703003,0.05338338017463684,0.13364531099796295,0.006730358581990004,0.2539721727371216,0.3278837203979492,,0.08446909487247467,,
Maxwell,7,GWO-ABE,0.3469259440898895,1000,0.001391207450069487,0.00010328767530154437,0.0,0.00520713347941637,0.043173447251319885,0.4973759055137634,0.413711816072464,,0.03903723135590553,,
Maxwell,7,WOA-ABE,0.3425823748111725,1000,0.0006856921827420592,0.0,0.0,0.0031432549003511667,0.027791151776909828,0.5001795291900635,0.41948723793029785,,0.048713162541389465,,
Maxwell,7,FAABE,0.3605477213859558,1000,0.0,0.0,0.022853314876556396,0.0,0.14541411399841309,0.5300304293632507,0.2586813271045685,,0.043020837008953094,,
Maxwell,8,ABE,,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,0.125,,
Maxwell,8,GA-ABE,0.33680686354637146,1000,0.0006715242634527385,0.0,0.025320429354906082,0.05745504051446915,0.003385944524779916,0.39920592308044434,0.4797438681125641,,0.03421732783317566,,
Maxwell,8,PSO-ABE,0.37284785509109497,1000,0.02246382273733616,0.0,7.161301709857071e-06,0.0,0.0,0.3804953396320343,0.5741136074066162,,0.02292008325457573,,
Maxwell,8,DE-ABE,0.47680047154426575,1000,0.05476352572441101,0.08729001134634018,0.07080353051424026,0.18963973224163055,0.010671444237232208,0.23938575387001038,0.20079609751701355,,0.14664986729621887,,
Maxwell,8,GWO-ABE,0.32027968764305115,1000,0.00016800634330138564,0.0010941572254523635,0.025627940893173218,0.057892948389053345,0.0015172497369349003,0.34614551067352295,0.548856258392334,,0.018697917461395264,,
Maxwell,8,WOA-ABE,0.3568834662437439,1000,0.040377505123615265,0.003019009018316865,0.0,0.04378829896450043,0.0,0.34396764636039734,0.5688164234161377,,3.1098315957933664e-05,,
Maxwell,8,FAABE,0.3837530016899109,1000,0.0,0.0,0.008742010220885277,0.0779733955860138,0.0,0.43422070145606995,0.47906389832496643,,0.0,,
Maxwell,9,ABE,,0,,0.1428571492433548,0.1428571492433548,0.1428571492433548,,0.1428571492433548,0.1428571492433548,,,0.1428571492433548,0.1428571492433548
Maxwell,9,GA-ABE,0.47921717166900635,1000,,0.06008734554052353,0.03171524032950401,0.2631324529647827,,0.3233051598072052,0.2395942509174347,,,0.00441413838416338,0.07775143533945084
Maxwell,9,PSO-ABE,0.4890698790550232,1000,,0.0,0.0,0.0,,0.446891725063324,0.5347428321838379,,,0.018365414813160896,0.0
Maxwell,9,DE-ABE,0.46828991174697876,1000,,0.08793485164642334,0.006807589903473854,0.2672603130340576,,0.38098829984664917,0.15363164246082306,,,0.014575261622667313,0.0888020396232605
Maxwell,9,GWO-ABE,0.4570125639438629,1000,,0.001826312392950058,0.05160980299115181,0.11425792425870895,,0.48607534170150757,0.337986022233963,,,0.00823462475091219,9.953116204997059e-06
Maxwell,9,WOA-ABE,0.45892077684402466,1000,,0.0,0.05830161273479462,0.16775676608085632,,0.26898226141929626,0.36260277032852173,,,0.0,0.14235663414001465
Maxwell,9,FAABE,0.4762962758541107,1000,,0.019016657024621964,0.06414838880300522,0.12520697712898254,,0.25958243012428284,0.39556169509887695,,,0.012554625980556011,0.12392927706241608
Maxwell,10,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204,,,,
Maxwell,10,GA-ABE,0.4703616499900818,1000,0.11086930334568024,0.07708603143692017,0.0017156503163278103,0.2511070966720581,,0.26681801676750183,0.292403906583786,,,,
Maxwell,10,PSO-ABE,0.45870450139045715,1000,0.07990271598100662,0.0933779776096344,0.0,0.18834620714187622,,0.43504011631011963,0.2033330351114273,,,,
Maxwell,10,DE-ABE,0.5253456830978394,1000,0.09947049617767334,0.18839262425899506,0.0,0.2063516080379486,,0.34010234475135803,0.16568292677402496,,,,
Maxwell,10,GWO-ABE,0.4195893108844757,1000,0.03518068790435791,0.004472446162253618,0.005448361858725548,0.037247203290462494,,0.4229225218296051,0.49472877383232117,,,,
Maxwell,10,WOA-ABE,0.4064100980758667,1000,0.03505046293139458,0.0,0.0,0.041937798261642456,,0.4176844358444214,0.5053273439407349,,,,
Maxwell,10,FAABE,0.4205232262611389,1000,0.042487043887376785,0.0,0.0,0.038287390023469925,,0.46107083559036255,0.4581547677516937,,,,
