Dataset,Fold,Method,Iteration,Best_Training_MMRE,Fitness_Evaluations
Maxwell,1,GA-ABE,0,0.6671456098556519,10
Maxwell,1,GA-ABE,1,0.6671456098556519,20
Maxwell,1,GA-ABE,2,0.6367006897926331,30
Maxwell,1,GA-ABE,3,0.5909438133239746,40
Maxwell,1,GA-ABE,4,0.5759909152984619,50
Maxwell,1,GA-ABE,5,0.5759909152984619,60
Maxwell,1,GA-ABE,6,0.553145706653595,70
Maxwell,1,GA-ABE,7,0.5406263470649719,80
Maxwell,1,GA-ABE,8,0.5364123582839966,90
Maxwell,1,GA-ABE,9,0.5313273668289185,100
Maxwell,1,GA-ABE,10,0.521680474281311,110
Maxwell,1,GA-ABE,11,0.521680474281311,120
Maxwell,1,GA-ABE,12,0.521680474281311,130
Maxwell,1,GA-ABE,13,0.5189535021781921,140
Maxwell,1,GA-ABE,14,0.5189535021781921,150
Maxwell,1,GA-ABE,15,0.5159661769866943,160
Maxwell,1,GA-ABE,16,0.5159661769866943,170
Maxwell,1,GA-ABE,17,0.5159661769866943,180
Maxwell,1,GA-ABE,18,0.5159661769866943,190
Maxwell,1,GA-ABE,19,0.5159661769866943,200
Maxwell,1,GA-ABE,20,0.5159661769866943,210
Maxwell,1,GA-ABE,21,0.5099328756332397,220
Maxwell,1,GA-ABE,22,0.5099328756332397,230
Maxwell,1,GA-ABE,23,0.5092264413833618,240
Maxwell,1,GA-ABE,24,0.5077542662620544,250
Maxwell,1,GA-ABE,25,0.5077542662620544,260
Maxwell,1,GA-ABE,26,0.5077542662620544,270
Maxwell,1,GA-ABE,27,0.5077542662620544,280
Maxwell,1,GA-ABE,28,0.5077542662620544,290
Maxwell,1,GA-ABE,29,0.5077542662620544,300
Maxwell,1,GA-ABE,30,0.5077542662620544,310
Maxwell,1,GA-ABE,31,0.5075871348381042,320
Maxwell,1,GA-ABE,32,0.5070743560791016,330
Maxwell,1,GA-ABE,33,0.5070743560791016,340
Maxwell,1,GA-ABE,34,0.49367934465408325,350
Maxwell,1,GA-ABE,35,0.4749898612499237,360
Maxwell,1,GA-ABE,36,0.4749898612499237,370
Maxwell,1,GA-ABE,37,0.4749898612499237,380
Maxwell,1,GA-ABE,38,0.4749898612499237,390
Maxwell,1,GA-ABE,39,0.4749898612499237,400
Maxwell,1,GA-ABE,40,0.473372220993042,410
Maxwell,1,GA-ABE,41,0.46918702125549316,420
Maxwell,1,GA-ABE,42,0.46382322907447815,430
Maxwell,1,GA-ABE,43,0.46382322907447815,440
Maxwell,1,GA-ABE,44,0.44898951053619385,450
Maxwell,1,GA-ABE,45,0.44898951053619385,460
Maxwell,1,GA-ABE,46,0.44898951053619385,470
Maxwell,1,GA-ABE,47,0.4389519989490509,480
Maxwell,1,GA-ABE,48,0.4389519989490509,490
Maxwell,1,GA-ABE,49,0.4389519989490509,500
Maxwell,1,GA-ABE,50,0.4389519989490509,510
Maxwell,1,GA-ABE,51,0.4389519989490509,520
Maxwell,1,GA-ABE,52,0.43868517875671387,530
Maxwell,1,GA-ABE,53,0.43868517875671387,540
Maxwell,1,GA-ABE,54,0.43868517875671387,550
Maxwell,1,GA-ABE,55,0.43868517875671387,560
Maxwell,1,GA-ABE,56,0.43868517875671387,570
Maxwell,1,GA-ABE,57,0.43868517875671387,580
Maxwell,1,GA-ABE,58,0.4386775493621826,590
Maxwell,1,GA-ABE,59,0.4386775493621826,600
Maxwell,1,GA-ABE,60,0.43862417340278625,610
Maxwell,1,GA-ABE,61,0.43782928586006165,620
Maxwell,1,GA-ABE,62,0.43782928586006165,630
Maxwell,1,GA-ABE,63,0.43782928586006165,640
Maxwell,1,GA-ABE,64,0.43782928586006165,650
