Dataset,Fold,Method,Runtime_Seconds,Fitness_Evaluations
Maxwell,1,ABE,0.010069502517580986,0
Maxwell,1,GA-ABE,6.156132556498051,1000
Maxwell,1,PSO-ABE,7.324114505201578,1000
Maxwell,1,DE-ABE,3.8588328808546066,1000
Maxwell,1,GWO-ABE,4.371017569676042,1000
Maxwell,1,WOA-ABE,7.054682703688741,1000
Maxwell,1,FAABE,8.473170187324286,1000
Maxwell,2,ABE,0.0005727298557758331,0
Maxwell,2,GA-ABE,8.679723868146539,1000
Maxwell,2,PSO-ABE,5.590544752776623,1000
Maxwell,2,DE-ABE,3.3648695927113295,1000
Maxwell,2,GWO-ABE,6.197801303118467,1000
Maxwell,2,WOA-ABE,7.128778291866183,1000
Maxwell,2,FAABE,6.729145687073469,1000
Maxwell,3,ABE,0.002666112035512924,0
Maxwell,3,GA-ABE,8.899954894557595,1000
Maxwell,3,PSO-ABE,3.6794477440416813,1000
Maxwell,3,DE-ABE,3.7179057840257883,1000
Maxwell,3,GWO-ABE,7.054665703326464,1000
Maxwell,3,WOA-ABE,6.534102832898498,1000
Maxwell,3,FAABE,8.471676355227828,1000
Maxwell,4,ABE,0.0026836860924959183,0
Maxwell,4,GA-ABE,8.396923856809735,1000
Maxwell,4,PSO-ABE,2.974238248541951,1000
Maxwell,4,DE-ABE,4.416862430050969,1000
Maxwell,4,GWO-ABE,7.088296495378017,1000
Maxwell,4,WOA-ABE,5.058001037687063,1000
Maxwell,4,FAABE,9.741985185071826,1000
Maxwell,5,ABE,0.0023216847330331802,0
Maxwell,5,GA-ABE,8.131306620314717,1000
Maxwell,5,PSO-ABE,2.4549101758748293,1000
Maxwell,5,DE-ABE,6.521058227866888,1000
Maxwell,5,GWO-ABE,6.944468287751079,1000
Maxwell,5,WOA-ABE,3.025108700618148,1000
Maxwell,5,FAABE,12.870564196258783,1000
Maxwell,6,ABE,0.00223592109978199,0
Maxwell,6,GA-ABE,5.2364539466798306,1000
Maxwell,6,PSO-ABE,3.2903855368494987,1000
Maxwell,6,DE-ABE,9.25335843861103,1000
Maxwell,6,GWO-ABE,4.899037351831794,1000
Maxwell,6,WOA-ABE,3.1386967711150646,1000
Maxwell,6,FAABE,14.639403495937586,1000
Maxwell,7,ABE,0.0005995519459247589,0
Maxwell,7,GA-ABE,3.36221407353878,1000
Maxwell,7,PSO-ABE,6.125760851427913,1000
Maxwell,7,DE-ABE,8.482200406491756,1000
Maxwell,7,GWO-ABE,2.655831638723612,1000
Maxwell,7,WOA-ABE,4.912761798128486,1000
Maxwell,7,FAABE,11.598073840141296,1000
Maxwell,8,ABE,0.000773899257183075,0
Maxwell,8,GA-ABE,5.143334871158004,1000
Maxwell,8,PSO-ABE,7.021175915375352,1000
Maxwell,8,DE-ABE,5.542813302949071,1000
Maxwell,8,GWO-ABE,3.4183314666152,1000
Maxwell,8,WOA-ABE,6.572085937485099,1000
Maxwell,8,FAABE,10.217579115182161,1000
Maxwell,9,ABE,0.0005654357373714447,0
Maxwell,9,GA-ABE,6.412080131471157,1000
Maxwell,9,PSO-ABE,6.690963974222541,1000
Maxwell,9,DE-ABE,4.332946443930268,1000
Maxwell,9,GWO-ABE,4.826112715527415,1000
Maxwell,9,WOA-ABE,6.684302911162376,1000
Maxwell,9,FAABE,8.801651440560818,1000
Maxwell,10,ABE,0.0007205922156572342,0
Maxwell,10,GA-ABE,8.602198960259557,1000
Maxwell,10,PSO-ABE,5.754836956039071,1000
Maxwell,10,DE-ABE,3.341895278543234,1000
Maxwell,10,GWO-ABE,6.039928954094648,1000
Maxwell,10,WOA-ABE,6.751009004190564,1000
Maxwell,10,FAABE,6.98772812448442,1000
