Dataset,Fold,Method,Iteration,Best_Training_MMRE,Fitness_Evaluations
Miyazaki94,1,GA-ABE,0,0.4240185022354126,10
Miyazaki94,1,GA-ABE,1,0.4240185022354126,20
Miyazaki94,1,GA-ABE,2,0.4240185022354126,30
Miyazaki94,1,GA-ABE,3,0.4240185022354126,40
Miyazaki94,1,GA-ABE,4,0.42270949482917786,50
Miyazaki94,1,GA-ABE,5,0.4146832227706909,60
Miyazaki94,1,GA-ABE,6,0.4102635979652405,70
Miyazaki94,1,GA-ABE,7,0.4100528955459595,80
Miyazaki94,1,GA-ABE,8,0.3743748366832733,90
Miyazaki94,1,GA-ABE,9,0.36998414993286133,100
Miyazaki94,1,GA-ABE,10,0.36998414993286133,110
Miyazaki94,1,GA-ABE,11,0.36998414993286133,120
Miyazaki94,1,GA-ABE,12,0.36998414993286133,130
Miyazaki94,1,GA-ABE,13,0.36128655076026917,140
Miyazaki94,1,GA-ABE,14,0.36128655076026917,150
Miyazaki94,1,GA-ABE,15,0.3612865209579468,160
Miyazaki94,1,GA-ABE,16,0.3612865209579468,170
Miyazaki94,1,GA-ABE,17,0.3612865209579468,180
Miyazaki94,1,GA-ABE,18,0.3612825572490692,190
Miyazaki94,1,GA-ABE,19,0.3612825572490692,200
Miyazaki94,1,GA-ABE,20,0.3612825572490692,210
Miyazaki94,1,GA-ABE,21,0.3612825572490692,220
Miyazaki94,1,GA-ABE,22,0.3612825572490692,230
Miyazaki94,1,GA-ABE,23,0.3612825572490692,240
Miyazaki94,1,GA-ABE,24,0.3612825572490692,250
Miyazaki94,1,GA-ABE,25,0.3612825572490692,260
Miyazaki94,1,GA-ABE,26,0.3612825572490692,270
Miyazaki94,1,GA-ABE,27,0.3612825572490692,280
Miyazaki94,1,GA-ABE,28,0.3612825572490692,290
Miyazaki94,1,GA-ABE,29,0.3612825572490692,300
Miyazaki94,1,GA-ABE,30,0.3612825572490692,310
Miyazaki94,1,GA-ABE,31,0.3612825572490692,320
Miyazaki94,1,GA-ABE,32,0.3593445122241974,330
Miyazaki94,1,GA-ABE,33,0.3593445122241974,340
Miyazaki94,1,GA-ABE,34,0.35628366470336914,350
Miyazaki94,1,GA-ABE,35,0.35628366470336914,360
Miyazaki94,1,GA-ABE,36,0.35628366470336914,370
Miyazaki94,1,GA-ABE,37,0.35277241468429565,380
Miyazaki94,1,GA-ABE,38,0.35277241468429565,390
Miyazaki94,1,GA-ABE,39,0.35046398639678955,400
Miyazaki94,1,GA-ABE,40,0.35046398639678955,410
Miyazaki94,1,GA-ABE,41,0.35046395659446716,420
Miyazaki94,1,GA-ABE,42,0.35046395659446716,430
Miyazaki94,1,GA-ABE,43,0.35046395659446716,440
Miyazaki94,1,GA-ABE,44,0.35046395659446716,450
Miyazaki94,1,GA-ABE,45,0.35046395659446716,460
Miyazaki94,1,GA-ABE,46,0.35046395659446716,470
Miyazaki94,1,GA-ABE,47,0.35046395659446716,480
Miyazaki94,1,GA-ABE,48,0.35046395659446716,490
Miyazaki94,1,GA-ABE,49,0.35046395659446716,500
Miyazaki94,1,GA-ABE,50,0.35046395659446716,510
