Dataset,Fold,Method,Runtime_Seconds,Fitness_Evaluations
Miyazaki94,1,ABE,0.0026504117995500565,0
Miyazaki94,1,GA-ABE,8.829783648252487,1000
Miyazaki94,1,PSO-ABE,4.506398059427738,1000
Miyazaki94,1,DE-ABE,4.085195304825902,1000
Miyazaki94,1,GWO-ABE,6.873251400887966,1000
Miyazaki94,1,WOA-ABE,6.633211987093091,1000
Miyazaki94,1,FAABE,8.195485316216946,1000
Miyazaki94,2,ABE,0.0026262663304805756,0
Miyazaki94,2,GA-ABE,9.083747075870633,1000
Miyazaki94,2,PSO-ABE,1.9950121436268091,1000
Miyazaki94,2,DE-ABE,5.524031825363636,1000
Miyazaki94,2,GWO-ABE,7.114517837762833,1000
Miyazaki94,2,WOA-ABE,4.013794060796499,1000
Miyazaki94,2,FAABE,12.720065025612712,1000
Miyazaki94,3,ABE,0.0035078711807727814,0
Miyazaki94,3,GA-ABE,5.009394468739629,1000
Miyazaki94,3,PSO-ABE,3.3760592453181744,1000
Miyazaki94,3,DE-ABE,9.03386395610869,1000
Miyazaki94,3,GWO-ABE,5.135172225534916,1000
Miyazaki94,3,WOA-ABE,3.020026935264468,1000
Miyazaki94,3,FAABE,14.320550922304392,1000
Miyazaki94,4,ABE,0.0006090980023145676,0
Miyazaki94,4,GA-ABE,3.36559671908617,1000
Miyazaki94,4,PSO-ABE,5.6961863823235035,1000
Miyazaki94,4,DE-ABE,8.647189741954207,1000
Miyazaki94,4,GWO-ABE,2.717803582549095,1000
Miyazaki94,4,WOA-ABE,5.132483039051294,1000
Miyazaki94,4,FAABE,11.620788812637329,1000
Miyazaki94,5,ABE,0.000825490802526474,0
Miyazaki94,5,GA-ABE,4.954538580030203,1000
Miyazaki94,5,PSO-ABE,7.123673789203167,1000
Miyazaki94,5,DE-ABE,4.848193101584911,1000
Miyazaki94,5,GWO-ABE,4.522468248382211,1000
Miyazaki94,5,WOA-ABE,7.107129879295826,1000
Miyazaki94,5,FAABE,8.781921107321978,1000
Miyazaki94,6,ABE,0.0006256215274333954,0
Miyazaki94,6,GA-ABE,6.940351635217667,1000
Miyazaki94,6,PSO-ABE,6.888113649562001,1000
Miyazaki94,6,DE-ABE,3.346791611984372,1000
Miyazaki94,6,GWO-ABE,5.410824466496706,1000
Miyazaki94,6,WOA-ABE,7.11424514092505,1000
Miyazaki94,6,FAABE,7.227795820683241,1000
Miyazaki94,7,ABE,0.0023164357990026474,0
Miyazaki94,7,GA-ABE,8.953575383871794,1000
Miyazaki94,7,PSO-ABE,4.658201161772013,1000
Miyazaki94,7,DE-ABE,3.6575894691050053,1000
Miyazaki94,7,GWO-ABE,6.966269318014383,1000
Miyazaki94,7,WOA-ABE,6.870688984170556,1000
Miyazaki94,7,FAABE,7.70331765525043,1000
Miyazaki94,8,ABE,0.0022623632103204727,0
Miyazaki94,8,GA-ABE,8.992526216432452,1000
Miyazaki94,8,PSO-ABE,2.1805382538586855,1000
Miyazaki94,8,DE-ABE,5.206580935046077,1000
Miyazaki94,8,GWO-ABE,6.999065225943923,1000
Miyazaki94,8,WOA-ABE,5.078412471339107,1000
Miyazaki94,8,FAABE,9.285277049988508,1000
Miyazaki94,9,ABE,0.002248847857117653,0
Miyazaki94,9,GA-ABE,8.149935748428106,1000
Miyazaki94,9,PSO-ABE,2.4830469768494368,1000
Miyazaki94,9,DE-ABE,6.6361590921878815,1000
Miyazaki94,9,GWO-ABE,6.975314659997821,1000
Miyazaki94,9,WOA-ABE,2.869231963530183,1000
Miyazaki94,9,FAABE,13.172919232398272,1000
Miyazaki94,10,ABE,0.0031721945852041245,0
Miyazaki94,10,GA-ABE,4.671531286090612,1000
Miyazaki94,10,PSO-ABE,2.986324580386281,1000
Miyazaki94,10,DE-ABE,8.087241284549236,1000
Miyazaki94,10,GWO-ABE,6.269926408305764,1000
Miyazaki94,10,WOA-ABE,2.5238010473549366,1000
Miyazaki94,10,FAABE,14.70901733264327,1000
