Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,TotalUFP,ExternalInterface,ExternalQueries,ExternalInputs,InternalLogicalFiles,ExternalOutputs
Subbiah,1,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,1,GA-ABE,1.4498487710952759,1000,0.12240176647901535,0.208572655916214,0.0037820162251591682,0.18853145837783813,0.17316852509975433,0.3035436272621155
Subbiah,1,PSO-ABE,1.4101428985595703,1000,0.13161583244800568,0.154214546084404,0.006268575321882963,0.0971754640340805,0.12971702218055725,0.4810085892677307
Subbiah,1,DE-ABE,1.4565143585205078,1000,0.061139822006225586,0.16895532608032227,0.06189380958676338,0.13074009120464325,0.20464083552360535,0.37263011932373047
Subbiah,1,GWO-ABE,1.2047066688537598,1000,0.025585094466805458,0.1083563044667244,0.00017751551058609039,0.08552423864603043,0.00020033553300891072,0.7801565527915955
Subbiah,1,WOA-ABE,1.2906049489974976,1000,0.0,0.0,0.012927052564918995,0.14010491967201233,0.0,0.8469680547714233
Subbiah,1,FAABE,1.259530782699585,1000,0.0,0.17009611427783966,0.0,0.05885777249932289,0.0,0.7710461616516113
Subbiah,2,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,2,GA-ABE,1.7734004259109497,1000,0.11925826221704483,0.150750532746315,0.0,0.12287361919879913,0.2697865068912506,0.3373311460018158
Subbiah,2,PSO-ABE,1.6734695434570312,1000,0.0,0.3480200469493866,0.0,0.1881251335144043,0.3577418625354767,0.10611292719841003
Subbiah,2,DE-ABE,1.5273399353027344,1000,0.00660824216902256,0.03680017963051796,0.0,0.11445218324661255,0.02059280499815941,0.8215465545654297
Subbiah,2,GWO-ABE,1.2186803817749023,1000,0.0037230986636132,0.03820887207984924,0.00042803407995961607,0.048035938292741776,0.00017216199194081128,0.9094318747520447
Subbiah,2,WOA-ABE,1.7584352493286133,1000,0.0,0.498048335313797,0.0,0.2195337563753128,0.26887208223342896,0.013545893132686615
Subbiah,2,FAABE,1.8161520957946777,1000,0.053368303924798965,0.03660247102379799,0.0,0.14404349029064178,0.39043015241622925,0.3755556344985962
Subbiah,3,ABE,,0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,
Subbiah,3,GA-ABE,1.6892300844192505,1000,0.12428975105285645,0.4044561982154846,0.03960220888257027,0.24318847060203552,0.18846331536769867,
Subbiah,3,PSO-ABE,1.6875296831130981,1000,0.13084256649017334,0.40606889128685,0.03753553703427315,0.23955361545085907,0.18599942326545715,
Subbiah,3,DE-ABE,1.7252647876739502,1000,0.1975904405117035,0.4961632192134857,0.09133540093898773,0.10591219365596771,0.10899876058101654,
Subbiah,3,GWO-ABE,1.7186274528503418,1000,0.3436812162399292,0.34431493282318115,0.0018592317355796695,0.17497500777244568,0.13516965508460999,
