Dataset,Fold,Feature,Pearson_r,Abs_Pearson_r,Selected
Subbiah,1,TotalUFP,0.6505946674113092,0.6505946674113092,True
Subbiah,1,ExternalInterface,0.6896631622063284,0.6896631622063284,True
Subbiah,1,ExternalQueries,0.4476538476689797,0.4476538476689797,True
Subbiah,1,ExternalInputs,0.6446182391758621,0.6446182391758621,True
Subbiah,1,InternalLogicalFiles,0.3237380435430115,0.3237380435430115,True
Subbiah,1,ExternalOutputs,0.2776098653831837,0.2776098653831837,True
Subbiah,2,TotalUFP,0.5708289710126692,0.5708289710126692,True
Subbiah,2,ExternalInterface,0.6824343783209811,0.6824343783209811,True
Subbiah,2,ExternalQueries,0.27527106683368463,0.27527106683368463,True
Subbiah,2,ExternalInputs,0.5343707465176264,0.5343707465176264,True
Subbiah,2,InternalLogicalFiles,0.3148210054289394,0.3148210054289394,True
Subbiah,2,ExternalOutputs,0.3033452366565094,0.3033452366565094,True
Subbiah,3,TotalUFP,0.6367747996537786,0.6367747996537786,True
Subbiah,3,ExternalInterface,0.6004006034170767,0.6004006034170767,True
Subbiah,3,ExternalQueries,0.572977795549179,0.572977795549179,True
Subbiah,3,ExternalInputs,0.644352945289941,0.644352945289941,True
Subbiah,3,InternalLogicalFiles,0.27682755590836056,0.27682755590836056,True
Subbiah,3,ExternalOutputs,0.018805288610220076,0.018805288610220076,False
Subbiah,4,TotalUFP,0.61423861665921,0.61423861665921,True
Subbiah,4,ExternalInterface,0.6042281274522188,0.6042281274522188,True
Subbiah,4,ExternalQueries,0.44744774298599677,0.44744774298599677,True
Subbiah,4,ExternalInputs,0.5808777013376619,0.5808777013376619,True
Subbiah,4,InternalLogicalFiles,0.3248388101320013,0.3248388101320013,True
Subbiah,4,ExternalOutputs,0.30557905047957334,0.30557905047957334,True
Subbiah,5,TotalUFP,0.6031033022674722,0.6031033022674722,True
Subbiah,5,ExternalInterface,0.652643949271682,0.652643949271682,True
Subbiah,5,ExternalQueries,0.4106622585169621,0.4106622585169621,True
Subbiah,5,ExternalInputs,0.5855923573486678,0.5855923573486678,True
Subbiah,5,InternalLogicalFiles,0.27886605848470186,0.27886605848470186,True
Subbiah,5,ExternalOutputs,0.2744152313201925,0.2744152313201925,True
Subbiah,6,TotalUFP,0.5256200259169177,0.5256200259169177,True
Subbiah,6,ExternalInterface,0.5679613252234059,0.5679613252234059,True
Subbiah,6,ExternalQueries,0.35750851378421183,0.35750851378421183,True
Subbiah,6,ExternalInputs,0.47207431219328544,0.47207431219328544,True
Subbiah,6,InternalLogicalFiles,0.1398592119706574,0.1398592119706574,False
Subbiah,6,ExternalOutputs,0.3354764600810312,0.3354764600810312,True
Subbiah,7,TotalUFP,0.6516416011158662,0.6516416011158662,True
Subbiah,7,ExternalInterface,0.7035895699054584,0.7035895699054584,True
Subbiah,7,ExternalQueries,0.44979199187583924,0.44979199187583924,True
Subbiah,7,ExternalInputs,0.6083140524312923,0.6083140524312923,True
Subbiah,7,InternalLogicalFiles,0.30993609204512007,0.30993609204512007,True
Subbiah,7,ExternalOutputs,0.295676103583684,0.295676103583684,True
Subbiah,8,TotalUFP,0.6045278491671858,0.6045278491671858,True
Subbiah,8,ExternalInterface,0.6456536870378617,0.6456536870378617,True
Subbiah,8,ExternalQueries,0.41233866757095833,0.41233866757095833,True
Subbiah,8,ExternalInputs,0.5851501741949404,0.5851501741949404,True
Subbiah,8,InternalLogicalFiles,0.29423794844350526,0.29423794844350526,True
Subbiah,8,ExternalOutputs,0.27331362673474313,0.27331362673474313,True
Subbiah,9,TotalUFP,0.6193034071215257,0.6193034071215257,True
Subbiah,9,ExternalInterface,0.7023014865932311,0.7023014865932311,True
Subbiah,9,ExternalQueries,0.395162042504658,0.395162042504658,True
Subbiah,9,ExternalInputs,0.5985642976735093,0.5985642976735093,True
Subbiah,9,InternalLogicalFiles,0.2943240004584534,0.2943240004584534,True
Subbiah,9,ExternalOutputs,0.2964329853562193,0.2964329853562193,True
Subbiah,10,TotalUFP,0.6266601149303058,0.6266601149303058,True
Subbiah,10,ExternalInterface,0.6580299236349552,0.6580299236349552,True
Subbiah,10,ExternalQueries,0.46864978483154834,0.46864978483154834,True
Subbiah,10,ExternalInputs,0.5930612029200862,0.5930612029200862,True
Subbiah,10,InternalLogicalFiles,0.32721256630258516,0.32721256630258516,True
Subbiah,10,ExternalOutputs,0.26406782314071975,0.26406782314071975,True
