Dataset,Fold,Method,Iteration,Best_Training_MMRE,Fitness_Evaluations
Subbiah,1,GA-ABE,0,1.7193692922592163,10
Subbiah,1,GA-ABE,1,1.609053611755371,20
Subbiah,1,GA-ABE,2,1.609053611755371,30
Subbiah,1,GA-ABE,3,1.6084524393081665,40
Subbiah,1,GA-ABE,4,1.5555847883224487,50
Subbiah,1,GA-ABE,5,1.5555847883224487,60
Subbiah,1,GA-ABE,6,1.546323299407959,70
Subbiah,1,GA-ABE,7,1.524789810180664,80
Subbiah,1,GA-ABE,8,1.524789810180664,90
Subbiah,1,GA-ABE,9,1.524789810180664,100
Subbiah,1,GA-ABE,10,1.524789810180664,110
Subbiah,1,GA-ABE,11,1.4923491477966309,120
Subbiah,1,GA-ABE,12,1.4923491477966309,130
Subbiah,1,GA-ABE,13,1.4923491477966309,140
Subbiah,1,GA-ABE,14,1.4898221492767334,150
Subbiah,1,GA-ABE,15,1.4898221492767334,160
Subbiah,1,GA-ABE,16,1.4898221492767334,170
Subbiah,1,GA-ABE,17,1.4898221492767334,180
Subbiah,1,GA-ABE,18,1.4898221492767334,190
Subbiah,1,GA-ABE,19,1.4898221492767334,200
Subbiah,1,GA-ABE,20,1.4898220300674438,210
Subbiah,1,GA-ABE,21,1.4893906116485596,220
Subbiah,1,GA-ABE,22,1.4893906116485596,230
Subbiah,1,GA-ABE,23,1.4893906116485596,240
Subbiah,1,GA-ABE,24,1.4893529415130615,250
Subbiah,1,GA-ABE,25,1.4574830532073975,260
Subbiah,1,GA-ABE,26,1.4574830532073975,270
Subbiah,1,GA-ABE,27,1.45502769947052,280
Subbiah,1,GA-ABE,28,1.45502769947052,290
Subbiah,1,GA-ABE,29,1.45502769947052,300
Subbiah,1,GA-ABE,30,1.454468011856079,310
Subbiah,1,GA-ABE,31,1.454468011856079,320
Subbiah,1,GA-ABE,32,1.454468011856079,330
Subbiah,1,GA-ABE,33,1.454468011856079,340
Subbiah,1,GA-ABE,34,1.449873924255371,350
Subbiah,1,GA-ABE,35,1.449873924255371,360
Subbiah,1,GA-ABE,36,1.449873924255371,370
Subbiah,1,GA-ABE,37,1.449873924255371,380
Subbiah,1,GA-ABE,38,1.449873924255371,390
Subbiah,1,GA-ABE,39,1.449873924255371,400
Subbiah,1,GA-ABE,40,1.449873924255371,410
Subbiah,1,GA-ABE,41,1.449873924255371,420
Subbiah,1,GA-ABE,42,1.449873924255371,430
Subbiah,1,GA-ABE,43,1.449873924255371,440
Subbiah,1,GA-ABE,44,1.449873924255371,450
Subbiah,1,GA-ABE,45,1.449873924255371,460
Subbiah,1,GA-ABE,46,1.449873924255371,470
Subbiah,1,GA-ABE,47,1.449873924255371,480
Subbiah,1,GA-ABE,48,1.449873924255371,490
Subbiah,1,GA-ABE,49,1.449873924255371,500
Subbiah,1,GA-ABE,50,1.449873924255371,510
Subbiah,1,GA-ABE,51,1.449873924255371,520
Subbiah,1,GA-ABE,52,1.449873924255371,530
Subbiah,1,GA-ABE,53,1.449873924255371,540
Subbiah,1,GA-ABE,54,1.449873924255371,550
Subbiah,1,GA-ABE,55,1.4498642683029175,560
Subbiah,1,GA-ABE,56,1.4498491287231445,570
Subbiah,1,GA-ABE,57,1.4498491287231445,580
Subbiah,1,GA-ABE,58,1.4498491287231445,590
Subbiah,1,GA-ABE,59,1.4498491287231445,600
Subbiah,1,GA-ABE,60,1.4498491287231445,610
Subbiah,1,GA-ABE,61,1.4498491287231445,620
Subbiah,1,GA-ABE,62,1.4498488903045654,630
Subbiah,1,GA-ABE,63,1.4498488903045654,640
Subbiah,1,GA-ABE,64,1.4498488903045654,650
Subbiah,1,GA-ABE,65,1.4498488903045654,660
Subbiah,1,GA-ABE,66,1.4498488903045654,670
Subbiah,1,GA-ABE,67,1.4498488903045654,680
Subbiah,1,GA-ABE,68,1.4498488903045654,690
Subbiah,1,GA-ABE,69,1.4498488903045654,700
Subbiah,1,GA-ABE,70,1.4498488903045654,710
Subbiah,1,GA-ABE,71,1.4498488903045654,720
Subbiah,1,GA-ABE,72,1.4498488903045654,730
Subbiah,1,GA-ABE,73,1.4498488903045654,740
Subbiah,1,GA-ABE,74,1.4498488903045654,750
Subbiah,1,GA-ABE,75,1.4498488903045654,760
Subbiah,1,GA-ABE,76,1.4498487710952759,770
Subbiah,1,GA-ABE,77,1.4498487710952759,780
Subbiah,1,GA-ABE,78,1.4498487710952759,790
Subbiah,1,GA-ABE,79,1.4498487710952759,800
Subbiah,1,GA-ABE,80,1.4498487710952759,810
Subbiah,1,GA-ABE,81,1.4498487710952759,820
Subbiah,1,GA-ABE,82,1.4498487710952759,830
Subbiah,1,GA-ABE,83,1.4498487710952759,840
Subbiah,1,GA-ABE,84,1.4498487710952759,850
Subbiah,1,GA-ABE,85,1.4498487710952759,860
Subbiah,1,GA-ABE,86,1.4498487710952759,870
Subbiah,1,GA-ABE,87,1.4498487710952759,880
Subbiah,1,GA-ABE,88,1.4498487710952759,890
Subbiah,1,GA-ABE,89,1.4498487710952759,900
Subbiah,1,GA-ABE,90,1.4498487710952759,910
Subbiah,1,GA-ABE,91,1.4498487710952759,920
Subbiah,1,GA-ABE,92,1.4498487710952759,930
Subbiah,1,GA-ABE,93,1.4498487710952759,940
Subbiah,1,GA-ABE,94,1.4498487710952759,950
Subbiah,1,GA-ABE,95,1.4498487710952759,960
Subbiah,1,GA-ABE,96,1.4498487710952759,970
Subbiah,1,GA-ABE,97,1.4498487710952759,980
Subbiah,1,GA-ABE,98,1.4498487710952759,990
Subbiah,1,GA-ABE,99,1.4498487710952759,1000
Subbiah,1,PSO-ABE,0,1.628280758857727,10
Subbiah,1,PSO-ABE,1,1.6272956132888794,20
Subbiah,1,PSO-ABE,2,1.5913262367248535,30
Subbiah,1,PSO-ABE,3,1.5153570175170898,40
Subbiah,1,PSO-ABE,4,1.5153570175170898,50
Subbiah,1,PSO-ABE,5,1.5153570175170898,60
Subbiah,1,PSO-ABE,6,1.5153570175170898,70
Subbiah,1,PSO-ABE,7,1.4962602853775024,80
Subbiah,1,PSO-ABE,8,1.493056297302246,90
Subbiah,1,PSO-ABE,9,1.493056297302246,100
Subbiah,1,PSO-ABE,10,1.493056297302246,110
Subbiah,1,PSO-ABE,11,1.493056297302246,120
Subbiah,1,PSO-ABE,12,1.4893684387207031,130
Subbiah,1,PSO-ABE,13,1.4728983640670776,140
Subbiah,1,PSO-ABE,14,1.4717156887054443,150
Subbiah,1,PSO-ABE,15,1.4717156887054443,160
Subbiah,1,PSO-ABE,16,1.4717156887054443,170
Subbiah,1,PSO-ABE,17,1.4717156887054443,180
Subbiah,1,PSO-ABE,18,1.4653314352035522,190
Subbiah,1,PSO-ABE,19,1.4653314352035522,200
Subbiah,1,PSO-ABE,20,1.4653314352035522,210
Subbiah,1,PSO-ABE,21,1.4653314352035522,220
Subbiah,1,PSO-ABE,22,1.4653314352035522,230
Subbiah,1,PSO-ABE,23,1.4533566236495972,240
Subbiah,1,PSO-ABE,24,1.4523028135299683,250
Subbiah,1,PSO-ABE,25,1.4523028135299683,260
Subbiah,1,PSO-ABE,26,1.4523028135299683,270
Subbiah,1,PSO-ABE,27,1.4523028135299683,280
Subbiah,1,PSO-ABE,28,1.4435687065124512,290
Subbiah,1,PSO-ABE,29,1.4435687065124512,300
Subbiah,1,PSO-ABE,30,1.4435687065124512,310
Subbiah,1,PSO-ABE,31,1.4435687065124512,320
Subbiah,1,PSO-ABE,32,1.4435687065124512,330
Subbiah,1,PSO-ABE,33,1.4435687065124512,340
Subbiah,1,PSO-ABE,34,1.4435687065124512,350
Subbiah,1,PSO-ABE,35,1.4435687065124512,360
Subbiah,1,PSO-ABE,36,1.4435687065124512,370
Subbiah,1,PSO-ABE,37,1.4435687065124512,380
Subbiah,1,PSO-ABE,38,1.4435687065124512,390
Subbiah,1,PSO-ABE,39,1.4429625272750854,400
Subbiah,1,PSO-ABE,40,1.4429625272750854,410
Subbiah,1,PSO-ABE,41,1.4410159587860107,420
Subbiah,1,PSO-ABE,42,1.4410159587860107,430
Subbiah,1,PSO-ABE,43,1.4347245693206787,440
Subbiah,1,PSO-ABE,44,1.4347245693206787,450
Subbiah,1,PSO-ABE,45,1.4347245693206787,460
Subbiah,1,PSO-ABE,46,1.4347245693206787,470
Subbiah,1,PSO-ABE,47,1.4347245693206787,480
Subbiah,1,PSO-ABE,48,1.4300882816314697,490
Subbiah,1,PSO-ABE,49,1.4300882816314697,500
Subbiah,1,PSO-ABE,50,1.4300882816314697,510
Subbiah,1,PSO-ABE,51,1.4300882816314697,520
Subbiah,1,PSO-ABE,52,1.4247665405273438,530
Subbiah,1,PSO-ABE,53,1.4247665405273438,540
Subbiah,1,PSO-ABE,54,1.4236369132995605,550
