Dataset,Fold,Method,Runtime_Seconds,Fitness_Evaluations
Subbiah,1,ABE,0.0039005354046821594,0
Subbiah,1,GA-ABE,3.3407908864319324,1000
Subbiah,1,PSO-ABE,4.856138415634632,1000
Subbiah,1,DE-ABE,9.389477314427495,1000
Subbiah,1,GWO-ABE,2.6678413078188896,1000
Subbiah,1,WOA-ABE,3.7033359445631504,1000
Subbiah,1,FAABE,13.034257587045431,1000
Subbiah,2,ABE,0.0006886813789606094,0
Subbiah,2,GA-ABE,5.298662157729268,1000
Subbiah,2,PSO-ABE,7.087477523833513,1000
Subbiah,2,DE-ABE,5.481756189838052,1000
Subbiah,2,GWO-ABE,3.4250151831656694,1000
Subbiah,2,WOA-ABE,6.869955895468593,1000
Subbiah,2,FAABE,9.960110660642385,1000
Subbiah,3,ABE,0.0008621327579021454,0
Subbiah,3,GA-ABE,7.127758285030723,1000
Subbiah,3,PSO-ABE,7.476761711761355,1000
Subbiah,3,DE-ABE,2.8108364418148994,1000
Subbiah,3,GWO-ABE,5.187437392771244,1000
Subbiah,3,WOA-ABE,7.062133332714438,1000
Subbiah,3,FAABE,7.666819058358669,1000
Subbiah,4,ABE,0.002220969647169113,0
Subbiah,4,GA-ABE,8.762647831812501,1000
Subbiah,4,PSO-ABE,4.763474676758051,1000
Subbiah,4,DE-ABE,3.308583816513419,1000
Subbiah,4,GWO-ABE,6.511046716943383,1000
Subbiah,4,WOA-ABE,7.022731378674507,1000
Subbiah,4,FAABE,6.708027891814709,1000
Subbiah,5,ABE,0.00270097516477108,0
Subbiah,5,GA-ABE,8.915077013894916,1000
Subbiah,5,PSO-ABE,3.7703127041459084,1000
Subbiah,5,DE-ABE,4.2386763989925385,1000
Subbiah,5,GWO-ABE,6.97586514800787,1000
Subbiah,5,WOA-ABE,6.299569081515074,1000
Subbiah,5,FAABE,8.111941710114479,1000
Subbiah,6,ABE,0.0023232214152812958,0
Subbiah,6,GA-ABE,8.817612081766129,1000
Subbiah,6,PSO-ABE,2.5733117535710335,1000
Subbiah,6,DE-ABE,4.397021887823939,1000
Subbiah,6,GWO-ABE,6.829537868499756,1000
Subbiah,6,WOA-ABE,5.660228518769145,1000
Subbiah,6,FAABE,8.45100866816938,1000
Subbiah,7,ABE,0.002269083634018898,0
Subbiah,7,GA-ABE,8.947603289037943,1000
Subbiah,7,PSO-ABE,1.8747320380061865,1000
Subbiah,7,DE-ABE,6.5033691059798,1000
Subbiah,7,GWO-ABE,7.100712865591049,1000
Subbiah,7,WOA-ABE,3.245285725221038,1000
Subbiah,7,FAABE,11.59179773926735,1000
Subbiah,8,ABE,0.0022447146475315094,0
Subbiah,8,GA-ABE,6.300539966672659,1000
Subbiah,8,PSO-ABE,3.0152360014617443,1000
Subbiah,8,DE-ABE,7.708923112601042,1000
Subbiah,8,GWO-ABE,6.816901875659823,1000
Subbiah,8,WOA-ABE,2.445882873609662,1000
Subbiah,8,FAABE,14.742216339334846,1000
Subbiah,9,ABE,0.004063332453370094,0
Subbiah,9,GA-ABE,3.0894015692174435,1000
Subbiah,9,PSO-ABE,4.478937271982431,1000
Subbiah,9,DE-ABE,9.141704343259335,1000
Subbiah,9,GWO-ABE,3.318477524444461,1000
Subbiah,9,WOA-ABE,4.114119339734316,1000
Subbiah,9,FAABE,12.776734184473753,1000
Subbiah,10,ABE,0.0006892513483762741,0
Subbiah,10,GA-ABE,5.250733703374863,1000
Subbiah,10,PSO-ABE,7.120967503637075,1000
Subbiah,10,DE-ABE,5.562757467851043,1000
Subbiah,10,GWO-ABE,3.3322419188916683,1000
Subbiah,10,WOA-ABE,6.962831923738122,1000
Subbiah,10,FAABE,10.392976837232709,1000
