Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,COSMIC_FP,HH_CFP
Valdes-Souto,1,ABE,,0,1.0,
Valdes-Souto,1,GA-ABE,2.8331761360168457,1000,1.0,
Valdes-Souto,1,PSO-ABE,2.8331761360168457,1000,1.0,
Valdes-Souto,1,DE-ABE,2.8331761360168457,1000,1.0,
Valdes-Souto,1,GWO-ABE,2.8331761360168457,1000,1.0,
Valdes-Souto,1,WOA-ABE,2.8331761360168457,1000,1.0,
Valdes-Souto,1,FAABE,2.8331761360168457,1000,1.0,
Valdes-Souto,2,ABE,,0,1.0,
Valdes-Souto,2,GA-ABE,2.513115882873535,1000,1.0,
Valdes-Souto,2,PSO-ABE,2.513115882873535,1000,1.0,
Valdes-Souto,2,DE-ABE,2.513115882873535,1000,1.0,
Valdes-Souto,2,GWO-ABE,2.513115882873535,1000,1.0,
Valdes-Souto,2,WOA-ABE,2.513115882873535,1000,1.0,
Valdes-Souto,2,FAABE,2.513115882873535,1000,1.0,
Valdes-Souto,3,ABE,,0,1.0,
Valdes-Souto,3,GA-ABE,3.231212854385376,1000,1.0,
Valdes-Souto,3,PSO-ABE,3.231212854385376,1000,1.0,
Valdes-Souto,3,DE-ABE,3.231212854385376,1000,1.0,
Valdes-Souto,3,GWO-ABE,3.231212854385376,1000,1.0,
Valdes-Souto,3,WOA-ABE,3.231212854385376,1000,1.0,
Valdes-Souto,3,FAABE,3.231212854385376,1000,1.0,
Valdes-Souto,4,ABE,,0,1.0,
Valdes-Souto,4,GA-ABE,3.236502170562744,1000,1.0,
Valdes-Souto,4,PSO-ABE,3.236502170562744,1000,1.0,
Valdes-Souto,4,DE-ABE,3.236502170562744,1000,1.0,
Valdes-Souto,4,GWO-ABE,3.236502170562744,1000,1.0,
Valdes-Souto,4,WOA-ABE,3.236502170562744,1000,1.0,
Valdes-Souto,4,FAABE,3.236502170562744,1000,1.0,
Valdes-Souto,5,ABE,,0,1.0,
Valdes-Souto,5,GA-ABE,3.290559768676758,1000,1.0,
Valdes-Souto,5,PSO-ABE,3.290559768676758,1000,1.0,
Valdes-Souto,5,DE-ABE,3.290559768676758,1000,1.0,
Valdes-Souto,5,GWO-ABE,3.290559768676758,1000,1.0,
Valdes-Souto,5,WOA-ABE,3.290559768676758,1000,1.0,
Valdes-Souto,5,FAABE,3.290559768676758,1000,1.0,
Valdes-Souto,6,ABE,,0,1.0,
Valdes-Souto,6,GA-ABE,3.277672290802002,1000,1.0,
Valdes-Souto,6,PSO-ABE,3.277672290802002,1000,1.0,
Valdes-Souto,6,DE-ABE,3.277672290802002,1000,1.0,
Valdes-Souto,6,GWO-ABE,3.277672290802002,1000,1.0,
Valdes-Souto,6,WOA-ABE,3.277672290802002,1000,1.0,
Valdes-Souto,6,FAABE,3.277672290802002,1000,1.0,
Valdes-Souto,7,ABE,,0,0.5,0.5
Valdes-Souto,7,GA-ABE,0.48090028762817383,1000,0.6700815558433533,0.3299185037612915
Valdes-Souto,7,PSO-ABE,0.4808705449104309,1000,0.6702710390090942,0.32972899079322815
Valdes-Souto,7,DE-ABE,0.4808705449104309,1000,0.6702710390090942,0.32972899079322815
Valdes-Souto,7,GWO-ABE,0.48096418380737305,1000,0.6696732044219971,0.33032679557800293
Valdes-Souto,7,WOA-ABE,0.4808706045150757,1000,0.6702708601951599,0.3297291100025177
Valdes-Souto,7,FAABE,0.4808865785598755,1000,0.6701690554618835,0.32983100414276123
Valdes-Souto,8,ABE,,0,1.0,
Valdes-Souto,8,GA-ABE,3.3132174015045166,1000,1.0,
Valdes-Souto,8,PSO-ABE,3.3132174015045166,1000,1.0,
Valdes-Souto,8,DE-ABE,3.3132174015045166,1000,1.0,
Valdes-Souto,8,GWO-ABE,3.3132174015045166,1000,1.0,
Valdes-Souto,8,WOA-ABE,3.3132174015045166,1000,1.0,
Valdes-Souto,8,FAABE,3.3132174015045166,1000,1.0,
Valdes-Souto,9,ABE,,0,1.0,
Valdes-Souto,9,GA-ABE,2.138270854949951,1000,1.0,
Valdes-Souto,9,PSO-ABE,2.138270854949951,1000,1.0,
Valdes-Souto,9,DE-ABE,2.138270854949951,1000,1.0,
Valdes-Souto,9,GWO-ABE,2.138270854949951,1000,1.0,
Valdes-Souto,9,WOA-ABE,2.138270854949951,1000,1.0,
Valdes-Souto,9,FAABE,2.138270854949951,1000,1.0,
Valdes-Souto,10,ABE,,0,1.0,
Valdes-Souto,10,GA-ABE,3.068263292312622,1000,1.0,
Valdes-Souto,10,PSO-ABE,3.068263292312622,1000,1.0,
Valdes-Souto,10,DE-ABE,3.068263292312622,1000,1.0,
Valdes-Souto,10,GWO-ABE,3.068263292312622,1000,1.0,
Valdes-Souto,10,WOA-ABE,3.068263292312622,1000,1.0,
Valdes-Souto,10,FAABE,3.068263292312622,1000,1.0,
