Dataset,Fold,Method,Iteration,Best_Training_MMRE,Fitness_Evaluations
Valdes-Souto,1,GA-ABE,0,2.8331761360168457,10
Valdes-Souto,1,GA-ABE,1,2.8331761360168457,20
Valdes-Souto,1,GA-ABE,2,2.8331761360168457,30
Valdes-Souto,1,GA-ABE,3,2.8331761360168457,40
Valdes-Souto,1,GA-ABE,4,2.8331761360168457,50
Valdes-Souto,1,GA-ABE,5,2.8331761360168457,60
Valdes-Souto,1,GA-ABE,6,2.8331761360168457,70
Valdes-Souto,1,GA-ABE,7,2.8331761360168457,80
Valdes-Souto,1,GA-ABE,8,2.8331761360168457,90
Valdes-Souto,1,GA-ABE,9,2.8331761360168457,100
Valdes-Souto,1,GA-ABE,10,2.8331761360168457,110
Valdes-Souto,1,GA-ABE,11,2.8331761360168457,120
Valdes-Souto,1,GA-ABE,12,2.8331761360168457,130
Valdes-Souto,1,GA-ABE,13,2.8331761360168457,140
Valdes-Souto,1,GA-ABE,14,2.8331761360168457,150
Valdes-Souto,1,GA-ABE,15,2.8331761360168457,160
Valdes-Souto,1,GA-ABE,16,2.8331761360168457,170
Valdes-Souto,1,GA-ABE,17,2.8331761360168457,180
Valdes-Souto,1,GA-ABE,18,2.8331761360168457,190
Valdes-Souto,1,GA-ABE,19,2.8331761360168457,200
Valdes-Souto,1,GA-ABE,20,2.8331761360168457,210
Valdes-Souto,1,GA-ABE,21,2.8331761360168457,220
Valdes-Souto,1,GA-ABE,22,2.8331761360168457,230
Valdes-Souto,1,GA-ABE,23,2.8331761360168457,240
Valdes-Souto,1,GA-ABE,24,2.8331761360168457,250
Valdes-Souto,1,GA-ABE,25,2.8331761360168457,260
Valdes-Souto,1,GA-ABE,26,2.8331761360168457,270
Valdes-Souto,1,GA-ABE,27,2.8331761360168457,280
Valdes-Souto,1,GA-ABE,28,2.8331761360168457,290
Valdes-Souto,1,GA-ABE,29,2.8331761360168457,300
Valdes-Souto,1,GA-ABE,30,2.8331761360168457,310
Valdes-Souto,1,GA-ABE,31,2.8331761360168457,320
Valdes-Souto,1,GA-ABE,32,2.8331761360168457,330
