Dataset,Fold,Method,Runtime_Seconds,Fitness_Evaluations
Valdes-Souto,1,ABE,0.0006783511489629745,0
Valdes-Souto,1,GA-ABE,7.1758204232901335,1000
Valdes-Souto,1,PSO-ABE,6.739132901653647,1000
Valdes-Souto,1,DE-ABE,3.407514302060008,1000
Valdes-Souto,1,GWO-ABE,4.91661592386663,1000
Valdes-Souto,1,WOA-ABE,6.723007429391146,1000
Valdes-Souto,1,FAABE,4.939282974228263,1000
Valdes-Souto,2,ABE,0.0006849914789199829,0
Valdes-Souto,2,GA-ABE,4.820472465828061,1000
Valdes-Souto,2,PSO-ABE,6.8443761467933655,1000
Valdes-Souto,2,DE-ABE,6.001898879185319,1000
Valdes-Souto,2,GWO-ABE,3.3837113343179226,1000
Valdes-Souto,2,WOA-ABE,7.192151149734855,1000
Valdes-Souto,2,FAABE,6.960990209132433,1000
Valdes-Souto,3,ABE,0.0005771499127149582,0
Valdes-Souto,3,GA-ABE,4.57504846341908,1000
Valdes-Souto,3,PSO-ABE,6.839114122092724,1000
Valdes-Souto,3,DE-ABE,6.362430365756154,1000
Valdes-Souto,3,GWO-ABE,3.249343244358897,1000
Valdes-Souto,3,WOA-ABE,6.565340438857675,1000
Valdes-Souto,3,FAABE,8.326482761651278,1000
Valdes-Souto,4,ABE,0.0005592033267021179,0
Valdes-Souto,4,GA-ABE,3.3970277085900307,1000
Valdes-Souto,4,PSO-ABE,5.771355960518122,1000
Valdes-Souto,4,DE-ABE,8.742965616285801,1000
Valdes-Souto,4,GWO-ABE,2.6352848280221224,1000
Valdes-Souto,4,WOA-ABE,4.61676000058651,1000
Valdes-Souto,4,FAABE,10.699020098894835,1000
Valdes-Souto,5,ABE,0.0005619004368782043,0
Valdes-Souto,5,GA-ABE,3.3115683663636446,1000
Valdes-Souto,5,PSO-ABE,4.576878886669874,1000
Valdes-Souto,5,DE-ABE,9.145315885543823,1000
Valdes-Souto,5,GWO-ABE,2.76450152695179,1000
Valdes-Souto,5,WOA-ABE,4.120448876172304,1000
Valdes-Souto,5,FAABE,11.71298722177744,1000
Valdes-Souto,6,ABE,0.0006621796637773514,0
Valdes-Souto,6,GA-ABE,2.8526743315160275,1000
Valdes-Souto,6,PSO-ABE,5.03078094124794,1000
Valdes-Souto,6,DE-ABE,9.264877453446388,1000
Valdes-Souto,6,GWO-ABE,3.0768992323428392,1000
Valdes-Souto,6,WOA-ABE,4.353402212262154,1000
Valdes-Souto,6,FAABE,10.82425501011312,1000
Valdes-Souto,7,ABE,0.0006178338080644608,0
Valdes-Souto,7,GA-ABE,3.4161232952028513,1000
Valdes-Souto,7,PSO-ABE,5.852637831121683,1000
Valdes-Souto,7,DE-ABE,8.55027275905013,1000
Valdes-Souto,7,GWO-ABE,3.291363660246134,1000
Valdes-Souto,7,WOA-ABE,4.921993928030133,1000
Valdes-Souto,7,FAABE,11.276777047663927,1000
Valdes-Souto,8,ABE,0.0007027070969343185,0
Valdes-Souto,8,GA-ABE,6.021359181031585,1000
Valdes-Souto,8,PSO-ABE,6.996922008693218,1000
Valdes-Souto,8,DE-ABE,4.614690961316228,1000
Valdes-Souto,8,GWO-ABE,4.776270205155015,1000
Valdes-Souto,8,WOA-ABE,7.195872962474823,1000
Valdes-Souto,8,FAABE,4.7302735932171345,1000
Valdes-Souto,9,ABE,0.0006273649632930756,0
Valdes-Souto,9,GA-ABE,4.9201781172305346,1000
Valdes-Souto,9,PSO-ABE,6.657172027975321,1000
Valdes-Souto,9,DE-ABE,6.095342095941305,1000
Valdes-Souto,9,GWO-ABE,3.280561273917556,1000
Valdes-Souto,9,WOA-ABE,6.420824339613318,1000
Valdes-Souto,9,FAABE,8.42003246024251,1000
Valdes-Souto,10,ABE,0.0005593672394752502,0
Valdes-Souto,10,GA-ABE,3.2686434891074896,1000
Valdes-Souto,10,PSO-ABE,5.887339102104306,1000
Valdes-Souto,10,DE-ABE,8.358747959136963,1000
Valdes-Souto,10,GWO-ABE,2.8857220970094204,1000
Valdes-Souto,10,WOA-ABE,5.101206425577402,1000
Valdes-Souto,10,FAABE,10.035246605053544,1000
