Dataset,Variant,N_Projects,MMRE,MAE,MSE,RMSE
Albrecht,ABE_BASE,24,0.7956080220284832,7.9678890903790816,180.48880361173883,13.434612149658019
Albrecht,FAABE_NO_PEARSON,24,0.6857807403256597,8.676651004950207,221.39789090429906,14.879445248539982
Albrecht,FAABE_NO_FIREFLY,24,0.7810754777286365,8.277840344111127,190.88865514439703,13.816246058332814
Albrecht,FAABE_NO_IWM,24,0.7963922695342044,8.415277759234113,192.83234709157134,13.88640871829615
Albrecht,FAABE_FULL,24,0.8206727098213014,8.837568837404254,214.1926299528698,14.635321313618974
China,ABE_BASE,499,1.3814768705331972,2631.9003816960094,28419035.72033153,5330.950733249327
China,FAABE_NO_PEARSON,499,1.587928260765639,2779.00297950026,29503164.72514543,5431.681574351117
China,FAABE_NO_FIREFLY,499,1.3254451842196198,2667.6301701302996,27391741.850183975,5233.7120526624285
China,FAABE_NO_IWM,499,1.4100890128118864,2830.5624907958004,32712781.449961033,5719.50884691693
China,FAABE_FULL,499,1.3822465552345078,2731.3333150370563,30012598.771552175,5478.375559557064
COCOMO81,ABE_BASE,64,3.3019392195268757,582.8106139877573,2299390.357887581,1516.3740824373058
COCOMO81,FAABE_NO_PEARSON,64,1.5187873400360985,537.2218918928638,2186148.5335815707,1478.5629961491566
COCOMO81,FAABE_NO_FIREFLY,64,2.7508646175535842,697.6344315984979,3062621.8349595056,1750.034809642227
COCOMO81,FAABE_NO_IWM,64,1.4714070011269444,605.5608383825287,2417776.2064676415,1554.9200000217509
COCOMO81,FAABE_FULL,64,2.245027397292537,713.2375595977768,3247327.8501569186,1802.0343643107694
Desharnais,ABE_BASE,81,0.5852264736097023,2165.5743257499034,10128515.182503117,3182.532825047232
Desharnais,FAABE_NO_PEARSON,81,0.4073304373200348,1889.827958471981,9569867.710608233,3093.520278034109
Desharnais,FAABE_NO_FIREFLY,81,0.6558106603996695,2153.5172541112074,12178493.771464618,3489.7698737115343
Desharnais,FAABE_NO_IWM,81,0.6861743665126747,2138.9464962806233,10112209.281467233,3179.9700126679236
Desharnais,FAABE_FULL,81,0.6852989498534597,2077.017653477045,8672506.010449216,2944.9118850059363
Kemerer,ABE_BASE,15,0.7012345070066297,128.71383957926432,57916.42431391643,240.65831445000282
Kemerer,FAABE_NO_PEARSON,15,0.680394777593395,132.25090175374348,57874.549724872595,240.5712986307232
Kemerer,FAABE_NO_FIREFLY,15,0.613218082119333,121.57362097167969,56555.13949643262,237.81324499790296
Kemerer,FAABE_NO_IWM,15,0.6480913899367946,126.48288926188151,57069.538159015436,238.8923149852574
Kemerer,FAABE_FULL,15,0.6438290529674404,128.9525114542643,57263.65559168945,239.29825655798132
Kitchenham,ABE_BASE,145,0.5220561577348432,1541.6726122625944,71566377.53057553,8459.691337783875
Kitchenham,FAABE_NO_PEARSON,145,0.27060715977929467,1249.539596031452,72178485.87027475,8495.792245004273
Kitchenham,FAABE_NO_FIREFLY,145,0.5220561577348432,1541.6726122625944,71566377.53057553,8459.691337783875
Kitchenham,FAABE_NO_IWM,145,0.2737416112074667,1257.5264541099812,72296363.2066979,8502.726810070866
Kitchenham,FAABE_FULL,145,0.2770888666818741,1260.7910402495286,72234260.95490842,8499.07412339182
Maxwell,ABE_BASE,62,0.9083350610818415,5418.709226546749,100367262.42961915,10018.346292159158
Maxwell,FAABE_NO_PEARSON,62,0.6679390291499081,3863.2092521421373,49472486.70320771,7033.668083099153
Maxwell,FAABE_NO_FIREFLY,62,0.7976828195705051,4308.216974073841,65962163.351933174,8121.709386079581
Maxwell,FAABE_NO_IWM,62,0.4629991217300115,3130.3870957897557,34393177.98947805,5864.569719039757
Maxwell,FAABE_FULL,62,0.46466399855910445,2854.5099310105848,29627546.862780966,5443.119221804807
Miyazaki94,ABE_BASE,48,0.5191571930705651,52.02781643867493,43427.30250587807,208.39218436850763
Miyazaki94,FAABE_NO_PEARSON,48,0.4467203820643628,50.77705341974894,43135.05789159758,207.68981171833533
Miyazaki94,FAABE_NO_FIREFLY,48,0.5191571930705651,52.02781643867493,43427.30250587807,208.39218436850763
Miyazaki94,FAABE_NO_IWM,48,0.4971284100847109,60.679167757431664,48089.57484678255,219.29335340311286
Miyazaki94,FAABE_FULL,48,0.4962651024254061,53.443229293823244,43388.020794469005,208.29791356244786
Subbiah,ABE_BASE,72,2.1248666700742946,5688.365259806315,69775806.16243559,8353.191375901524
Subbiah,FAABE_NO_PEARSON,72,2.230240313746966,6534.747022840712,90184483.57427722,9496.55114103416
Subbiah,FAABE_NO_FIREFLY,72,2.4259586531325716,5662.634145100911,69018700.31473619,8307.749413333084
Subbiah,FAABE_NO_IWM,72,1.7045463115068236,5959.518602159288,78593864.96765153,8865.318097375386
Subbiah,FAABE_FULL,72,2.2739857717829963,6008.605853610568,73999303.85863203,8602.284804552337
Valdes-Souto,ABE_BASE,57,0.6949283675597855,1815.6717741313735,27371956.69695793,5231.82154674239
Valdes-Souto,FAABE_NO_PEARSON,57,0.6858001129223081,1880.6323615425508,28397606.188540444,5328.940437698703
Valdes-Souto,FAABE_NO_FIREFLY,57,2.9993530150384276,2426.602099448756,32172457.39347069,5672.076991144487
Valdes-Souto,FAABE_NO_IWM,57,2.8250571651706315,2458.7005871153715,32982274.65547873,5743.019646098969
Valdes-Souto,FAABE_FULL,57,3.000102634943868,2439.410867737887,32958129.989130203,5740.917173164075
