Dataset,Ablation,Proposed,Valid_Pairs,Ablation_MMRE,FAABE_FULL_MMRE,Full_Improvement_%,Wilcoxon_Statistic,Wilcoxon_p,Cliffs_Delta,Cliffs_Effect,Wilcoxon_p_Holm,Significant_Holm_0.05
Albrecht,ABE_BASE,FAABE_FULL,24,0.7956080220284832,0.8206727098213014,-3.150381481689081,119.0,0.3902466297149658,-0.15625,Small,1.0,False
Albrecht,FAABE_NO_PEARSON,FAABE_FULL,24,0.6857807403256597,0.8206727098213014,-19.669839288806052,100.0,0.15998530387878418,-0.13194444444444445,Negligible,0.6399412155151367,False
Albrecht,FAABE_NO_FIREFLY,FAABE_FULL,24,0.7810754777286365,0.8206727098213014,-5.069578193366588,122.0,0.4389305114746094,-0.09027777777777778,Negligible,1.0,False
Albrecht,FAABE_NO_IWM,FAABE_FULL,24,0.7963922695342044,0.8206727098213014,-3.0488041152506624,132.0,0.6230943202972412,-0.006944444444444444,Negligible,1.0,False
China,ABE_BASE,FAABE_FULL,499,1.3814768705331972,1.3822465552345078,-0.05571462814382763,61083.0,0.68848419433474,-0.04104802791956659,Negligible,1.0,False
China,FAABE_NO_PEARSON,FAABE_FULL,499,1.587928260765639,1.3822465552345078,12.952833614281753,59852.0,0.43368736284543874,-0.00391564692511275,Negligible,1.0,False
China,FAABE_NO_FIREFLY,FAABE_FULL,499,1.3254451842196198,1.3822465552345078,-4.285456063453192,60123.0,0.4846739192686773,-0.02040554053999783,Negligible,1.0,False
China,FAABE_NO_IWM,FAABE_FULL,499,1.4100890128118864,1.3822465552345078,1.9745177307535628,58750.0,0.2606515048822028,0.012823241673728218,Negligible,1.0,False
COCOMO81,ABE_BASE,FAABE_FULL,64,3.3019392195268757,2.245027397292537,32.00882124007662,905.0,0.36662507887188855,0.0703125,Negligible,0.4420452861238151,False
COCOMO81,FAABE_NO_PEARSON,FAABE_FULL,64,1.5187873400360985,2.245027397292537,-47.81709974216517,688.0,0.01857252838714351,-0.09521484375,Negligible,0.05571758516143053,False
COCOMO81,FAABE_NO_FIREFLY,FAABE_FULL,64,2.7508646175535842,2.245027397292537,18.388299338078713,857.0,0.22102264306190755,0.080078125,Negligible,0.4420452861238151,False
COCOMO81,FAABE_NO_IWM,FAABE_FULL,64,1.4714070011269444,2.245027397292537,-52.57691417623267,667.0,0.01261563181522418,-0.11279296875,Negligible,0.05046252726089672,False
Desharnais,ABE_BASE,FAABE_FULL,81,0.5852264736097023,0.6852989498534597,-17.099786280430227,1573.0,0.6803580437921022,0.055936595031245234,Negligible,1.0,False
Desharnais,FAABE_NO_PEARSON,FAABE_FULL,81,0.4073304373200348,0.6852989498534597,-68.24152753284878,1241.0,0.048254087159029076,-0.0827617741197988,Negligible,0.1930163486361163,False
Desharnais,FAABE_NO_FIREFLY,FAABE_FULL,81,0.6558106603996695,0.6852989498534597,-4.496463878128976,1622.0,0.8561565770120594,-0.006858710562414266,Negligible,1.0,False
Desharnais,FAABE_NO_IWM,FAABE_FULL,81,0.6861743665126747,0.6852989498534597,0.12757932996886556,1253.0,0.055031866986028445,0.016308489559518365,Negligible,0.1930163486361163,False
Kemerer,ABE_BASE,FAABE_FULL,15,0.7012345070066297,0.6438290529674404,8.18634186789193,51.0,0.638671875,0.0044444444444444444,Negligible,1.0,False
Kemerer,FAABE_NO_PEARSON,FAABE_FULL,15,0.680394777593395,0.6438290529674404,5.374192429179148,44.0,0.389404296875,0.022222222222222223,Negligible,1.0,False
Kemerer,FAABE_NO_FIREFLY,FAABE_FULL,15,0.613218082119333,0.6438290529674404,-4.99185717784337,43.0,0.359130859375,-0.057777777777777775,Negligible,1.0,False
Kemerer,FAABE_NO_IWM,FAABE_FULL,15,0.6480913899367946,0.6438290529674404,0.6576752963451454,44.0,0.389404296875,0.03111111111111111,Negligible,1.0,False
Kitchenham,ABE_BASE,FAABE_FULL,145,0.5220561577348432,0.2770888666818741,46.92355169525461,3077.0,1.2260176978879261e-05,0.23871581450653984,Small,4.9040707915517044e-05,True
Kitchenham,FAABE_NO_PEARSON,FAABE_FULL,145,0.27060715977929467,0.2770888666818741,-2.395245901056671,5108.0,0.7157367642811141,-0.01488703923900119,Negligible,0.7157367642811141,False
Kitchenham,FAABE_NO_FIREFLY,FAABE_FULL,145,0.5220561577348432,0.2770888666818741,46.92355169525461,3077.0,1.2260176978879261e-05,0.23871581450653984,Small,4.9040707915517044e-05,True
Kitchenham,FAABE_NO_IWM,FAABE_FULL,145,0.2737416112074667,0.2770888666818741,-1.2227791966456045,4708.0,0.2486337299111332,-4.756242568370987e-05,Negligible,0.4972674598222664,False
Maxwell,ABE_BASE,FAABE_FULL,62,0.9083350610818415,0.46466399855910445,48.84442773730629,479.0,0.00048663194532222524,0.3470343392299688,Medium,0.001946527781288901,True
Maxwell,FAABE_NO_PEARSON,FAABE_FULL,62,0.6679390291499081,0.46466399855910445,30.433171550031084,521.0,0.001405380187454882,0.24037460978147762,Small,0.004216140562364646,True
Maxwell,FAABE_NO_FIREFLY,FAABE_FULL,62,0.7976828195705051,0.46466399855910445,41.74827548507405,545.0,0.0024840465593421084,0.29656607700312176,Small,0.004968093118684217,True
Maxwell,FAABE_NO_IWM,FAABE_FULL,62,0.4629991217300115,0.46466399855910445,-0.3595853104152931,937.0,0.7818281840324065,0.002081165452653486,Negligible,0.7818281840324065,False
Miyazaki94,ABE_BASE,FAABE_FULL,48,0.5191571930705651,0.4962651024254061,4.409471919239576,533.0,0.5793745498477492,0.019965277777777776,Negligible,1.0,False
Miyazaki94,FAABE_NO_PEARSON,FAABE_FULL,48,0.4467203820643628,0.4962651024254061,-11.090767815896289,441.0,0.13386907505850587,-0.07552083333333333,Negligible,0.5354763002340235,False
