Dataset,Fold,Variant,Training_MMRE,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP
Albrecht,1,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,1,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,1,FAABE_NO_PEARSON,0.5623096227645874,0.0,0.13970589637756348,0.6531378030776978,0.08801939338445663,0.0970781221985817,0.022058764472603798,0.0
Albrecht,1,FAABE_NO_IWM,0.5744577050209045,0.0,0.08332556486129761,0.5950629711151123,0.11083408445119858,0.08349975198507309,0.127277672290802,0.0
Albrecht,1,FAABE_FULL,0.5651878118515015,0.047773346304893494,0.11829778552055359,0.5991394519805908,0.09365611523389816,0.08993972092866898,0.033852942287921906,0.0173406470566988
Albrecht,2,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,2,FAABE_NO_FIREFLY,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204
Albrecht,2,FAABE_NO_PEARSON,0.5738943219184875,0.0,0.2177567481994629,0.4103301763534546,0.06861447542905807,0.18852680921554565,0.07990431040525436,0.03486746922135353
Albrecht,2,FAABE_NO_IWM,0.6966583728790283,0.228196382522583,0.18761077523231506,0.5049511790275574,0.04570452868938446,,0.0,0.033537156879901886
Albrecht,2,FAABE_FULL,0.7110728621482849,0.18817731738090515,0.16210435330867767,0.5319585204124451,0.026301393285393715,,0.0344674251973629,0.056991033256053925
Albrecht,3,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,3,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,3,FAABE_NO_PEARSON,0.5755970478057861,0.0,0.2105945646762848,0.6077951192855835,0.099266916513443,0.06684219092130661,0.0,0.015501274727284908
Albrecht,3,FAABE_NO_IWM,0.5892320275306702,0.0,0.18163500726222992,0.5702587366104126,0.12354428321123123,0.0681263878941536,0.056435633450746536,0.0
Albrecht,3,FAABE_FULL,0.5759074687957764,0.0,0.21676088869571686,0.6003496646881104,0.11081316322088242,0.06622511893510818,0.005851225461810827,0.0
Albrecht,4,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,4,FAABE_NO_FIREFLY,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204
Albrecht,4,FAABE_NO_PEARSON,0.6008780598640442,0.0,0.22348372638225555,0.5533158779144287,0.08896254748106003,0.060335081070661545,0.0,0.07390280067920685
Albrecht,4,FAABE_NO_IWM,0.6638467907905579,0.3436529040336609,0.12200146168470383,0.25260141491889954,0.14848054945468903,,0.0,0.13326363265514374
Albrecht,4,FAABE_FULL,0.6825587749481201,0.0,0.2264987677335739,0.5321914553642273,0.1680881530046463,,0.02685610018670559,0.04636560007929802
Albrecht,5,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,5,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,5,FAABE_NO_PEARSON,0.5526176691055298,0.11385734379291534,0.12154707312583923,0.5445433855056763,0.10435961931943893,0.055707916617393494,0.013722785748541355,0.04626181349158287
Albrecht,5,FAABE_NO_IWM,0.5602774024009705,0.14471440017223358,0.13703370094299316,0.34618300199508667,0.14104120433330536,0.0719936415553093,0.0,0.15903402864933014
Albrecht,5,FAABE_FULL,0.5693627595901489,0.10741051286458969,0.1103045865893364,0.4027860164642334,0.1472323089838028,0.053301189094781876,0.060769446194171906,0.11819592863321304
Albrecht,6,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,6,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,6,FAABE_NO_PEARSON,0.3199164867401123,0.0713176354765892,0.13129335641860962,0.2874348759651184,0.16247856616973877,0.07187695056200027,0.0,0.2755986452102661
Albrecht,6,FAABE_NO_IWM,0.3154231011867523,0.23214490711688995,0.16907717287540436,0.3343508839607239,0.15511998534202576,0.0,0.0,0.10930702835321426
Albrecht,6,FAABE_FULL,0.30026453733444214,0.0,0.24641729891300201,0.24179020524024963,0.1642494648694992,0.07577800750732422,0.0,0.2717650532722473
Albrecht,7,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,7,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,7,FAABE_NO_PEARSON,0.5691378712654114,0.010432593524456024,0.20532971620559692,0.31719839572906494,0.26312291622161865,0.11884299665689468,0.006274787709116936,0.07879862189292908
Albrecht,7,FAABE_NO_IWM,0.5665559768676758,0.0647486224770546,0.1631440967321396,0.28791186213493347,0.18354174494743347,0.09229326993227005,0.0,0.20836041867733002
Albrecht,7,FAABE_FULL,0.573479175567627,0.02531200461089611,0.09074416756629944,0.5561419129371643,0.11508464813232422,0.08192235976457596,0.0,0.13079488277435303
Albrecht,8,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,8,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,8,FAABE_NO_PEARSON,0.5591558218002319,0.0,0.21854634582996368,0.4394560158252716,0.18302662670612335,0.11057135462760925,0.0,0.04839957505464554
Albrecht,8,FAABE_NO_IWM,0.5580287575721741,0.007546937558799982,0.20278458297252655,0.42224323749542236,0.15880709886550903,0.11590033769607544,0.010556945577263832,0.0821608453989029
