Dataset,Fold,Feature,Pearson_r,Abs_Pearson_r,Selected
COCOMO81,1,rely,0.22148770380711577,0.22148770380711577,False
COCOMO81,1,data,0.4410760500797898,0.4410760500797898,True
COCOMO81,1,cplx,0.02642162568600109,0.02642162568600109,False
COCOMO81,1,time,0.1595761410186927,0.1595761410186927,False
COCOMO81,1,stor,0.1295097413529272,0.1295097413529272,False
COCOMO81,1,virt,0.013248697898329337,0.013248697898329337,False
COCOMO81,1,turn,0.20205745415799492,0.20205745415799492,False
COCOMO81,1,acap,-0.1867612448110206,0.1867612448110206,False
COCOMO81,1,aexp,-0.05973189707160154,0.05973189707160154,False
COCOMO81,1,pcap,0.16841819784630896,0.16841819784630896,False
COCOMO81,1,vexp,0.0510313134514367,0.0510313134514367,False
COCOMO81,1,lexp,0.08792257723784135,0.08792257723784135,False
COCOMO81,1,modp,0.27382047031349954,0.27382047031349954,True
COCOMO81,1,tool,-0.005402597401322336,0.005402597401322336,False
COCOMO81,1,sced,0.009290671089693005,0.009290671089693005,False
COCOMO81,1,loc,0.6536897789346747,0.6536897789346747,True
COCOMO81,2,rely,0.2197433376179689,0.2197433376179689,False
COCOMO81,2,data,0.44093259432864956,0.44093259432864956,True
COCOMO81,2,cplx,0.04362328625988447,0.04362328625988447,False
COCOMO81,2,time,0.1566213662627423,0.1566213662627423,False
COCOMO81,2,stor,0.13707347773172252,0.13707347773172252,False
COCOMO81,2,virt,0.05323801697354923,0.05323801697354923,False
COCOMO81,2,turn,0.22417828964372996,0.22417828964372996,False
COCOMO81,2,acap,-0.16276829324395709,0.16276829324395709,False
COCOMO81,2,aexp,-0.047072660615022514,0.047072660615022514,False
COCOMO81,2,pcap,0.13101139615259444,0.13101139615259444,False
COCOMO81,2,vexp,0.1006977710293699,0.1006977710293699,False
COCOMO81,2,lexp,0.12472162425245754,0.12472162425245754,False
COCOMO81,2,modp,0.2693983555083843,0.2693983555083843,True
COCOMO81,2,tool,0.03749633650398452,0.03749633650398452,False
COCOMO81,2,sced,0.0381584719292118,0.0381584719292118,False
COCOMO81,2,loc,0.6524333713730021,0.6524333713730021,True
COCOMO81,3,rely,0.21727372544377052,0.21727372544377052,False
COCOMO81,3,data,0.4123604792019569,0.4123604792019569,True
COCOMO81,3,cplx,-0.03572983327412766,0.03572983327412766,False
COCOMO81,3,time,0.05924065463319211,0.05924065463319211,False
COCOMO81,3,stor,0.09749264868712772,0.09749264868712772,False
COCOMO81,3,virt,0.035462251645218386,0.035462251645218386,False
COCOMO81,3,turn,0.15076012960068988,0.15076012960068988,False
COCOMO81,3,acap,-0.1691214199148577,0.1691214199148577,False
COCOMO81,3,aexp,-0.11255706790466843,0.11255706790466843,False
COCOMO81,3,pcap,0.255403427895721,0.255403427895721,True
COCOMO81,3,vexp,0.12080241030496151,0.12080241030496151,False
COCOMO81,3,lexp,0.12760973065415357,0.12760973065415357,False
COCOMO81,3,modp,0.19474925975897467,0.19474925975897467,False
COCOMO81,3,tool,-0.14121025359075026,0.14121025359075026,False
COCOMO81,3,sced,-0.04410229908728831,0.04410229908728831,False
COCOMO81,3,loc,0.7987734780978534,0.7987734780978534,True
COCOMO81,4,rely,0.11937145114607642,0.11937145114607642,False
COCOMO81,4,data,0.4605892707786331,0.4605892707786331,True
COCOMO81,4,cplx,-0.06154581745619847,0.06154581745619847,False
COCOMO81,4,time,0.1602106773454749,0.1602106773454749,False
COCOMO81,4,stor,0.08498389941707098,0.08498389941707098,False
COCOMO81,4,virt,-0.06123710953176555,0.06123710953176555,False
COCOMO81,4,turn,0.15958215308990328,0.15958215308990328,False
COCOMO81,4,acap,-0.10386656666923211,0.10386656666923211,False
COCOMO81,4,aexp,0.025913321693568143,0.025913321693568143,False
COCOMO81,4,pcap,0.12563112444561994,0.12563112444561994,False
COCOMO81,4,vexp,0.0022234496288955565,0.0022234496288955565,False
COCOMO81,4,lexp,0.00751460730056892,0.00751460730056892,False
COCOMO81,4,modp,0.21329912821336935,0.21329912821336935,False
COCOMO81,4,tool,0.008328728298025764,0.008328728298025764,False
COCOMO81,4,sced,-0.00015405016650354183,0.00015405016650354183,False
COCOMO81,4,loc,0.6684466361603734,0.6684466361603734,True
COCOMO81,5,rely,0.23583162735479973,0.23583162735479973,False
COCOMO81,5,data,0.46145428229347124,0.46145428229347124,True
COCOMO81,5,cplx,0.03310566459320302,0.03310566459320302,False
COCOMO81,5,time,0.15837481711499826,0.15837481711499826,False
COCOMO81,5,stor,0.11903462534369164,0.11903462534369164,False
COCOMO81,5,virt,0.014341991657837085,0.014341991657837085,False
COCOMO81,5,turn,0.20733397927339148,0.20733397927339148,False
COCOMO81,5,acap,-0.15736401075687081,0.15736401075687081,False
COCOMO81,5,aexp,-0.016911585692098427,0.016911585692098427,False
COCOMO81,5,pcap,0.1499181250672423,0.1499181250672423,False
COCOMO81,5,vexp,0.07235363864827715,0.07235363864827715,False
COCOMO81,5,lexp,0.10336792793241412,0.10336792793241412,False
COCOMO81,5,modp,0.2791887693449443,0.2791887693449443,True
COCOMO81,5,tool,0.011715178362942436,0.011715178362942436,False
COCOMO81,5,sced,0.014684763350690843,0.014684763350690843,False
COCOMO81,5,loc,0.6736666412762884,0.6736666412762884,True
COCOMO81,6,rely,0.23878229720597088,0.23878229720597088,False
COCOMO81,6,data,0.47089359146693704,0.47089359146693704,True
COCOMO81,6,cplx,0.03372110201211609,0.03372110201211609,False
COCOMO81,6,time,0.2157154292623537,0.2157154292623537,False
COCOMO81,6,stor,0.10970417539023876,0.10970417539023876,False
COCOMO81,6,virt,0.011895218748046284,0.011895218748046284,False
COCOMO81,6,turn,0.20109315534473793,0.20109315534473793,False
COCOMO81,6,acap,-0.1671717739007097,0.1671717739007097,False
COCOMO81,6,aexp,-0.05341185856299688,0.05341185856299688,False
COCOMO81,6,pcap,0.14609594919660207,0.14609594919660207,False
