Dataset,Fold,Variant,Training_MMRE,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,loc
COCOMO81,1,ABE_BASE,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
COCOMO81,1,FAABE_NO_FIREFLY,,,0.3333333432674408,,,,,,,,,,,0.3333333432674408,,,0.3333333432674408
COCOMO81,1,FAABE_NO_PEARSON,0.950944721698761,0.0,0.07649664580821991,0.0,0.1261516958475113,0.06897904723882675,0.09440387785434723,0.015953445807099342,0.0,0.0344955176115036,0.0,0.06733808666467667,0.050916679203510284,0.0,0.0,0.06978440284729004,0.39548057317733765
COCOMO81,1,FAABE_NO_IWM,1.4324796199798584,,0.6617878675460815,,,,,,,,,,,0.02307908795773983,,,0.31513312458992004
COCOMO81,1,FAABE_FULL,1.6323328018188477,,0.0016876988811418414,,,,,,,,,,,0.9568702578544617,,,0.041442058980464935
COCOMO81,2,ABE_BASE,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
COCOMO81,2,FAABE_NO_FIREFLY,,,0.3333333432674408,,,,,,,,,,,0.3333333432674408,,,0.3333333432674408
COCOMO81,2,FAABE_NO_PEARSON,0.9578884243965149,0.021326685324311256,0.06328637897968292,0.077998086810112,0.23931081593036652,0.03601205348968506,0.0,0.08844029903411865,0.008673610165715218,0.0,0.10472673922777176,0.0,0.0,0.07226704806089401,0.03996971249580383,0.0,0.24798862636089325
COCOMO81,2,FAABE_NO_IWM,1.5728834867477417,,0.5727553367614746,,,,,,,,,,,0.013619204983115196,,,0.4136255085468292
COCOMO81,2,FAABE_FULL,1.9945597648620605,,0.0015722491079941392,,,,,,,,,,,0.846392035484314,,,0.15203575789928436
COCOMO81,3,ABE_BASE,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
COCOMO81,3,FAABE_NO_FIREFLY,,,0.3333333432674408,,,,,,,,0.3333333432674408,,,,,,0.3333333432674408
COCOMO81,3,FAABE_NO_PEARSON,1.0451273918151855,0.01690101996064186,0.11131780594587326,0.0,0.17315484583377838,0.17504076659679413,0.0027371812611818314,0.02903142385184765,0.0,0.0,0.0,0.0,0.060471970587968826,0.01907631941139698,0.01379366684705019,0.014299836941063404,0.3841751515865326
COCOMO81,3,FAABE_NO_IWM,1.457000732421875,,0.16166521608829498,,,,,,,,0.1691795438528061,,,,,,0.6691552400588989
COCOMO81,3,FAABE_FULL,1.3726187944412231,,0.1751014143228531,,,,,,,,0.18712885677814484,,,,,,0.6377697587013245
COCOMO81,4,ABE_BASE,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
COCOMO81,4,FAABE_NO_FIREFLY,,,0.5,,,,,,,,,,,,,,0.5
COCOMO81,4,FAABE_NO_PEARSON,1.0031249523162842,0.06598309427499771,0.06811293214559555,0.0,0.27594447135925293,0.08620492368936539,0.0607251301407814,0.0,0.0,0.0,0.0,0.04174269363284111,0.09431836754083633,0.0493636280298233,0.0,0.0,0.25760483741760254
COCOMO81,4,FAABE_NO_IWM,1.4881881475448608,,0.5692909955978394,,,,,,,,,,,,,,0.43070897459983826
COCOMO81,4,FAABE_FULL,1.4601988792419434,,0.4237716794013977,,,,,,,,,,,,,,0.5762283205986023
COCOMO81,5,ABE_BASE,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
COCOMO81,5,FAABE_NO_FIREFLY,,,0.3333333432674408,,,,,,,,,,,0.3333333432674408,,,0.3333333432674408
COCOMO81,5,FAABE_NO_PEARSON,1.1583725214004517,0.0,0.055864784866571426,0.0,0.24166631698608398,0.051282551139593124,0.0,0.14128084480762482,0.0,0.007243459578603506,0.08288968354463577,0.10209923982620239,0.0,0.0,0.0,0.0,0.3176731765270233
COCOMO81,5,FAABE_NO_IWM,1.1884634494781494,,0.2605281174182892,,,,,,,,,,,0.0042224302887916565,,,0.7352494597434998
COCOMO81,5,FAABE_FULL,1.2998909950256348,,0.2740737497806549,,,,,,,,,,,0.004160856828093529,,,0.7217653393745422
COCOMO81,6,ABE_BASE,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
COCOMO81,6,FAABE_NO_FIREFLY,,,0.3333333432674408,,,,,,,,,,,0.3333333432674408,,,0.3333333432674408
COCOMO81,6,FAABE_NO_PEARSON,1.0723681449890137,0.06347502022981644,0.04704703763127327,0.10606850683689117,0.2902192175388336,0.04005562141537666,0.0,0.03568463400006294,0.0,0.005262534134089947,0.0,0.06416648626327515,0.0,0.08297436684370041,0.041279908269643784,0.0,0.22376659512519836
COCOMO81,6,FAABE_NO_IWM,1.4078716039657593,,0.01131860539317131,,,,,,,,,,,0.5153079032897949,,,0.47337353229522705
COCOMO81,6,FAABE_FULL,1.318748116493225,,0.5688686370849609,,,,,,,,,,,0.015310353599488735,,,0.4158209264278412
COCOMO81,7,ABE_BASE,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
COCOMO81,7,FAABE_NO_FIREFLY,,,0.3333333432674408,,,,,,,,,,,0.3333333432674408,,,0.3333333432674408
COCOMO81,7,FAABE_NO_PEARSON,1.189692735671997,0.014337610453367233,0.1013292595744133,0.050315164029598236,0.23799362778663635,0.08828923106193542,0.0,0.01293839979916811,0.020566066727042198,0.050666168332099915,0.0,0.032642461359500885,0.0,0.12422242015600204,0.0,0.0,0.2666996121406555
COCOMO81,7,FAABE_NO_IWM,1.3890869617462158,,0.6069272756576538,,,,,,,,,,,0.004465253092348576,,,0.3886074423789978
COCOMO81,7,FAABE_FULL,1.5169026851654053,,0.5519750118255615,,,,,,,,,,,0.003672961378470063,,,0.44435203075408936
COCOMO81,8,ABE_BASE,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
COCOMO81,8,FAABE_NO_FIREFLY,,,0.3333333432674408,,,,,,,,,,,0.3333333432674408,,,0.3333333432674408
COCOMO81,8,FAABE_NO_PEARSON,1.055552363395691,0.05755610391497612,0.0968308076262474,0.007118612062186003,0.3157352805137634,0.0966278612613678,0.0,0.02053035795688629,0.01875479519367218,0.0,0.011496578343212605,0.0,1.9278935724287294e-05,0.09944846481084824,0.0,0.0,0.2758818566799164
COCOMO81,8,FAABE_NO_IWM,1.3900529146194458,,0.5476505160331726,,,,,,,,,,,0.003971985075622797,,,0.4483775496482849
COCOMO81,8,FAABE_FULL,1.4627853631973267,,0.13439583778381348,,,,,,,,,,,0.007283447775989771,,,0.8583207130432129
COCOMO81,9,ABE_BASE,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
COCOMO81,9,FAABE_NO_FIREFLY,,,0.25,,,,,0.25,,,,,,0.25,,,0.25
COCOMO81,9,FAABE_NO_PEARSON,0.9890024662017822,0.0,0.03689435124397278,0.07251634448766708,0.09385209530591965,0.0172598697245121,0.0,0.06830023229122162,0.0,0.20237314701080322,0.0,0.06615780293941498,0.07354321330785751,0.0,0.04387699067592621,0.11880284547805786,0.20642314851284027
