Dataset,Fold,Variant,Iteration,Best_Training_MMRE
China,1,FAABE_NO_PEARSON,0,1.2380191087722778
China,1,FAABE_NO_PEARSON,1,1.2380191087722778
China,1,FAABE_NO_PEARSON,2,1.1824522018432617
China,1,FAABE_NO_PEARSON,3,1.1824522018432617
China,1,FAABE_NO_PEARSON,4,1.1743614673614502
China,1,FAABE_NO_PEARSON,5,1.1743614673614502
China,1,FAABE_NO_PEARSON,6,1.1743614673614502
China,1,FAABE_NO_PEARSON,7,1.1618807315826416
China,1,FAABE_NO_PEARSON,8,1.1618807315826416
China,1,FAABE_NO_PEARSON,9,1.1618807315826416
China,1,FAABE_NO_PEARSON,10,1.1618807315826416
China,1,FAABE_NO_PEARSON,11,1.1618807315826416
China,1,FAABE_NO_PEARSON,12,1.1618807315826416
China,1,FAABE_NO_PEARSON,13,1.1618807315826416
China,1,FAABE_NO_PEARSON,14,1.139102578163147
China,1,FAABE_NO_PEARSON,15,1.139102578163147
China,1,FAABE_NO_PEARSON,16,1.139102578163147
China,1,FAABE_NO_PEARSON,17,1.139102578163147
China,1,FAABE_NO_PEARSON,18,1.139102578163147
China,1,FAABE_NO_PEARSON,19,1.139102578163147
China,1,FAABE_NO_PEARSON,20,1.139102578163147
China,1,FAABE_NO_PEARSON,21,1.139102578163147
China,1,FAABE_NO_PEARSON,22,1.139102578163147
China,1,FAABE_NO_PEARSON,23,1.139102578163147
China,1,FAABE_NO_PEARSON,24,1.139102578163147
China,1,FAABE_NO_PEARSON,25,1.139102578163147
China,1,FAABE_NO_PEARSON,26,1.139102578163147
China,1,FAABE_NO_PEARSON,27,1.139102578163147
China,1,FAABE_NO_PEARSON,28,1.139102578163147
China,1,FAABE_NO_PEARSON,29,1.139102578163147
China,1,FAABE_NO_PEARSON,30,1.139102578163147
China,1,FAABE_NO_PEARSON,31,1.139102578163147
China,1,FAABE_NO_PEARSON,32,1.139102578163147
China,1,FAABE_NO_PEARSON,33,1.139102578163147
China,1,FAABE_NO_PEARSON,34,1.139102578163147
China,1,FAABE_NO_PEARSON,35,1.139102578163147
China,1,FAABE_NO_PEARSON,36,1.139102578163147
China,1,FAABE_NO_PEARSON,37,1.139102578163147
China,1,FAABE_NO_PEARSON,38,1.139102578163147
China,1,FAABE_NO_PEARSON,39,1.139102578163147
