Dataset,Fold,Train_N,Test_N,Selected_Feature_Count,Selected_Features,ABE_BASE_MMRE,ABE_BASE_MAE,ABE_BASE_MSE,ABE_BASE_RMSE,ABE_BASE_Training_MMRE,FAABE_NO_PEARSON_MMRE,FAABE_NO_PEARSON_MAE,FAABE_NO_PEARSON_MSE,FAABE_NO_PEARSON_RMSE,FAABE_NO_PEARSON_Training_MMRE,FAABE_NO_FIREFLY_MMRE,FAABE_NO_FIREFLY_MAE,FAABE_NO_FIREFLY_MSE,FAABE_NO_FIREFLY_RMSE,FAABE_NO_FIREFLY_Training_MMRE,FAABE_NO_IWM_MMRE,FAABE_NO_IWM_MAE,FAABE_NO_IWM_MSE,FAABE_NO_IWM_RMSE,FAABE_NO_IWM_Training_MMRE,FAABE_FULL_MMRE,FAABE_FULL_MAE,FAABE_FULL_MSE,FAABE_FULL_RMSE,FAABE_FULL_Training_MMRE
China,1,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",1.9939926809232218,2430.8963403320313,33582533.8354016,5795.043902801911,,2.076705240234681,2244.387064208984,21592900.058492698,4646.816120581134,1.139102578163147,2.16069561956837,2695.568454589844,30660218.06824164,5537.166971316798,,2.0394655432833244,2652.9467303466795,32561765.058640305,5706.291708162167,1.143610954284668,1.9786817240762389,2372.047968139648,29648286.193659276,5445.023984672544,1.1578092575073242
China,2,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",1.0406522999525363,2108.364977416992,20891110.53389771,4570.67943897816,,1.461881058920037,2364.8640771484374,18666715.78661592,4320.499483464374,1.180120587348938,1.1013284278950508,2226.2948928833007,16010985.802488051,4001.372989673426,,1.0796365114419455,2489.446701660156,27782878.653868705,5270.946656329269,1.1944435834884644,1.0548545328284005,2119.042512817383,18944202.3753836,4352.493811067811,1.2157162427902222
China,3,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",1.3054112066588406,2308.1258801269532,19166246.088911332,4377.927145226532,,1.6448900235382067,3136.0596081542967,27652335.960575376,5258.548845506275,1.1897305250167847,1.1836537657561172,2489.563073120117,18782155.333836365,4333.838406520987,,1.3570061771013706,3132.553401489258,31462515.630128913,5609.145713041239,1.2097793817520142,1.193275542170864,2429.4129895019532,16596606.57475944,4073.893294473904,1.2115581035614014
China,4,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",1.3443158678871985,2619.9081256103514,25818165.945963785,5081.157933578112,,1.2466593678078934,2654.530541381836,18901970.988457426,4347.639703155889,1.1590038537979126,1.0759823916459261,2808.0902853393554,25392013.452553,5039.048863878282,,1.1272276976301026,2477.793411254883,18284331.84753359,4276.018223480062,1.1197012662887573,1.1173235104935086,2649.233264770508,17602958.130178396,4195.587936175143,1.1079490184783936
China,5,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",1.4113601042281414,2325.4700384521484,22043148.565044694,4695.013159198246,,2.0498193770609743,2565.8924908447266,24571947.147609014,4957.009899890156,1.143752098083496,1.4838580802965293,2186.0944964599607,24483612.146379482,4948.091768184931,,1.5542877206750156,2453.2266717529296,23981450.681891028,4897.085937768606,1.2799768447875977,1.3596108275779555,2956.6560076904298,33767873.06673674,5811.013084371497,1.2767682075500488
China,6,449,50,10,"AFP,Input,Output,Enquiry,File,Interface,Added,Resource,Duration,AdjFactor",2.3687105362623253,4099.464462890625,60406260.511611044,7772.146454590974,,2.423024310686509,4159.736074829101,56837608.39408497,7539.072117580848,1.0873430967330933,2.007812791718326,4133.86899230957,59705858.79341248,7726.956632039064,,2.2872205761689064,4161.0266784667965,60571021.69930584,7782.738701723568,1.1152809858322144,2.50964230821033,4168.389908447266,57264684.3949305,7567.343285125269,1.1061421632766724
China,7,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",1.5481768830511127,3432.5159466552736,54138640.68111042,7357.896484805316,,2.3051764094183285,3847.585762939453,78154243.72115344,8840.488884736716,1.115760087966919,1.528466307939448,3364.8344274902342,52257928.46369919,7228.9645498991895,,2.0277598123372282,3914.620030822754,77474832.47040597,8801.978895135228,1.11555016040802,1.8395306000438816,3734.100551147461,74481409.33447161,8630.261255284895,1.110065221786499
China,8,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",1.032809252794559,1847.0337072753907,8089788.574963862,2844.2553638806526,,1.112277626947727,1818.5704180908203,7380675.830162003,2716.7399268538757,1.2163376808166504,1.201874253969291,1941.9082037353517,9018524.990757704,3003.085911318173,,0.927312083637992,1721.7666906738282,6889635.129272209,2624.811446422811,1.212104082107544,1.0975216302569843,1687.09826171875,6225425.357205784,2495.0802306149963,1.233575701713562
China,9,449,50,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",0.925478293665018,1914.6425616455078,10236857.104152668,3199.5088848372757,,0.7590976630823814,2054.1251486206056,11560469.0895786,3400.0689830617557,1.2278555631637573,0.6963303400495151,1615.4472900390624,7785586.71465244,2790.266423596937,,0.7444555068180172,1820.8466534423828,11864918.527997108,3444.549103728543,1.2379083633422852,0.8269248721235803,1721.3809744262696,8113073.125478667,2848.3456822300673,1.2597558498382568
China,10,450,49,9,"AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor",0.8328898392840377,3244.840580531529,29846147.59984854,5463.162783575878,,0.783666290555448,2947.651580810547,29717058.14308357,5451.335445841099,1.2140538692474365,0.8040213874216652,3225.7948795240754,29870101.937567074,5465.354694579948,,0.9472619579272704,3494.680294114716,36326744.05261981,6027.1671664738,1.2300057411193848,0.8341378300598403,3491.16739327567,37633895.08906801,6134.6471038738655,1.2488048076629639
