Dataset,Fold,Train_N,Test_N,Selected_Feature_Count,Selected_Features,ABE_BASE_MMRE,ABE_BASE_MAE,ABE_BASE_MSE,ABE_BASE_RMSE,ABE_BASE_Training_MMRE,FAABE_NO_PEARSON_MMRE,FAABE_NO_PEARSON_MAE,FAABE_NO_PEARSON_MSE,FAABE_NO_PEARSON_RMSE,FAABE_NO_PEARSON_Training_MMRE,FAABE_NO_FIREFLY_MMRE,FAABE_NO_FIREFLY_MAE,FAABE_NO_FIREFLY_MSE,FAABE_NO_FIREFLY_RMSE,FAABE_NO_FIREFLY_Training_MMRE,FAABE_NO_IWM_MMRE,FAABE_NO_IWM_MAE,FAABE_NO_IWM_MSE,FAABE_NO_IWM_RMSE,FAABE_NO_IWM_Training_MMRE,FAABE_FULL_MMRE,FAABE_FULL_MAE,FAABE_FULL_MSE,FAABE_FULL_RMSE,FAABE_FULL_Training_MMRE
Desharnais,1,72,9,6,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust",0.7485758076051001,1858.4661729600693,4393792.112006843,2096.1374267940646,,0.35377204777563637,1192.5850626627605,2152480.120148285,1467.1333000611378,0.38632693886756897,0.7094952439655245,1082.8649495442708,1919446.7792791012,1385.4410053405743,,0.755207611000204,1032.5555826822917,1820159.7176709904,1349.132950331801,0.5512500405311584,0.7251312334393284,980.7064887152778,1527290.468998578,1235.8359393538358,0.5548564195632935
Desharnais,2,73,8,6,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust",0.4088999924539318,1631.0965881347656,7558306.820523165,2749.2374980207087,,0.3151121818472754,1925.0959396362305,9776081.35316794,3126.6725689089894,0.33352917432785034,0.6685175688320679,2666.157501220703,15102741.323864736,3886.224559114506,,1.0080191747067735,2573.25,11506799.746073425,3392.1674112687047,0.5332713723182678,0.8582151001319911,2449.510040283203,12833425.629831057,3582.377092076022,0.5512160062789917
Desharnais,3,73,8,6,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust",0.3352898433335848,1585.4020538330078,7999247.302037271,2828.2940621578355,,0.4665528071089866,2025.5463562011719,7490028.424844287,2736.7916297819033,0.35227468609809875,0.7729108284553137,2351.225296020508,14312560.165576214,3783.1944393034064,,0.8052519404409364,2550.2083435058594,11775019.943006746,3431.4748932502403,0.5504108667373657,1.2725233299733352,2769.9292907714844,12806461.859218337,3578.6117223328847,0.5405177474021912
Desharnais,4,73,8,7,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language",0.3596239329248067,2903.734359741211,24709354.697912924,4970.850500458943,,0.28384038165848413,2577.349151611328,22170786.88985633,4708.586506570346,0.32069796323776245,0.32432980637568737,3176.8663024902344,38039975.57357333,6167.655597840506,,0.3276338798428449,2766.3749389648438,22989814.931606784,4794.769538946245,0.32826897501945496,0.31158304406735754,2316.5291900634766,13128810.280463593,3623.3700170509214,0.3347528576850891
Desharnais,5,73,8,7,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language",0.780192393394745,1882.6211242675781,5241075.881216176,2289.3396168362997,,0.4072630144253946,920.0710144042969,1116134.5956584886,1056.4727141097817,0.31939461827278137,0.6242539686135236,1628.3323669433594,3958151.068695344,1989.5102585046764,,0.6253024463104748,1594.8333129882812,3691998.5706652105,1921.457407975834,0.34820154309272766,0.6781216128780638,1771.4096984863281,5270936.721965052,2295.8520688330623,0.32816585898399353
Desharnais,6,73,8,6,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust",0.7386330277787626,2310.627227783203,8131098.876779623,2851.508175821985,,0.3250650262054847,1657.1272735595703,4468265.324196259,2113.8271746281102,0.32585999369621277,0.842637648930904,2110.7378692626953,5839815.316566633,2416.570983142567,,0.8939673434337714,2352.5833740234375,8595855.369103346,2931.8689208597552,0.5285319685935974,0.8934243096917629,2413.082565307617,8245803.853444623,2871.5507750072297,0.5385410785675049
Desharnais,7,73,8,7,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language",0.7015209230658654,2105.5697631835938,7429086.8316358775,2725.635124450057,,0.418859132759415,1242.5200805664062,2242607.583081335,1497.533833701708,0.33608847856521606,0.590906995586859,1754.8045654296875,6448206.157326654,2539.3318328502587,,0.4059676386718472,1422.0000305175781,3384786.8263617977,1839.779015632529,0.326295405626297,0.35862067754032695,1309.0633087158203,3113245.221139172,1764.4390669952795,0.3315359950065613
Desharnais,8,73,8,6,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust",0.7629206907631816,2546.8115997314453,14503936.948925765,3808.4034645669785,,0.3515604037708878,1946.9446334838867,15342702.38849867,3916.9761792100126,0.36638906598091125,1.0849891495710402,2949.0846557617188,21294682.273842916,4614.616156718012,,1.0633340471336223,3122.000068664551,21027870.821585868,4585.615642592155,0.532917320728302,0.8696373478342045,3007.2100524902344,16184815.452405028,4023.035601682519,0.5457680821418762
Desharnais,9,73,8,7,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language",0.7024703457263273,2384.9974365234375,9730989.377498135,3119.453377997199,,0.7624172088159383,2449.7501220703125,14841009.78233689,3852.4031178391615,0.3166808784008026,0.6781519236735583,2097.4952392578125,10032440.881146714,3167.402860569952,,0.6846529173675135,2043.125,10092168.368652359,3176.8173332208385,0.3345605432987213,0.6253789310684168,1986.367416381836,7617295.529504748,2759.9448417504195,0.32326146960258484
Desharnais,10,73,8,7,"Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language",0.2937191123012921,2484.805450439453,12305103.360307433,3507.863076048926,,0.395556967525895,3048.4453125,17025754.093101323,4126.227586197994,0.35263144969940186,0.25520289704648463,1851.4353332519531,6119299.048797734,2473.721699948831,,0.2837775106578177,2070.8331756591797,7274124.71542033,2697.05853021775,0.3346092104911804,0.25537487646157603,1903.4073791503906,6890127.03020329,2624.905146896415,0.3418538570404053
