Dataset,Fold,Variant,Training_MMRE,Language,Hardware,Duration,KSLOC,AdjFP,RAWFP
Kemerer,1,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Kemerer,1,FAABE_NO_FIREFLY,,0.25,,,0.25,0.25,0.25
Kemerer,1,FAABE_NO_PEARSON,0.5488667488098145,0.1532171368598938,0.0,0.03306741267442703,0.3268139958381653,0.4771510064601898,0.009750507771968842
Kemerer,1,FAABE_NO_IWM,0.5697917938232422,0.17415127158164978,,,0.3832728862762451,0.21879161894321442,0.2237841635942459
Kemerer,1,FAABE_FULL,0.5525141954421997,0.14411230385303497,,,0.3911934792995453,0.46469423174858093,0.0
Kemerer,2,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Kemerer,2,FAABE_NO_FIREFLY,,,,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kemerer,2,FAABE_NO_PEARSON,0.48360154032707214,0.33692723512649536,0.0,0.27330753207206726,0.03305139020085335,0.0,0.3567138612270355
Kemerer,2,FAABE_NO_IWM,0.5525956749916077,,,,0.6859763860702515,0.0,0.3140236735343933
Kemerer,2,FAABE_FULL,0.5556175112724304,,,,0.6537091732025146,0.0,0.34629082679748535
Kemerer,3,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Kemerer,3,FAABE_NO_FIREFLY,,0.25,,,0.25,0.25,0.25
Kemerer,3,FAABE_NO_PEARSON,0.4467163383960724,0.210342675447464,0.0,0.09993021935224533,0.22620278596878052,0.4635242819786072,0.0
Kemerer,3,FAABE_NO_IWM,0.5579258799552917,0.0,,,0.7256109714508057,0.2743890583515167,0.0
Kemerer,3,FAABE_FULL,0.5433269739151001,0.06644967943429947,,,0.4905853271484375,0.442965030670166,0.0
Kemerer,4,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Kemerer,4,FAABE_NO_FIREFLY,,0.20000000298023224,,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224
Kemerer,4,FAABE_NO_PEARSON,0.5055456161499023,0.1594107300043106,0.0,0.10259244590997696,0.4688766598701477,0.2691202163696289,0.0
Kemerer,4,FAABE_NO_IWM,0.5080963969230652,0.26824748516082764,,0.09358341246843338,0.37990400195121765,0.2582651376724243,0.0
Kemerer,4,FAABE_FULL,0.5052310824394226,0.189653679728508,,0.096373051404953,0.45747941732406616,0.25649386644363403,0.0
Kemerer,5,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Kemerer,5,FAABE_NO_FIREFLY,,,,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kemerer,5,FAABE_NO_PEARSON,0.5430964231491089,0.15134522318840027,0.0,0.13339990377426147,0.19821862876415253,0.5035685300827026,0.013467740267515182
Kemerer,5,FAABE_NO_IWM,0.5817349553108215,,,,0.39037930965423584,0.5437601804733276,0.0658605545759201
Kemerer,5,FAABE_FULL,0.5657105445861816,,,,0.4491890072822571,0.4688120484352112,0.08199898898601532
Kemerer,6,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Kemerer,6,FAABE_NO_FIREFLY,,0.25,,,0.25,0.25,0.25
