Dataset,Fold,Feature,Pearson_r,Abs_Pearson_r,Selected
Kitchenham,1,Actual.duration,0.5677600820995972,0.5677600820995972,True
Kitchenham,1,Adjusted.function.points,0.9808203375723002,0.9808203375723002,True
Kitchenham,1,First.estimate,0.9935191917890995,0.9935191917890995,True
Kitchenham,2,Actual.duration,0.5202001454298838,0.5202001454298838,True
Kitchenham,2,Adjusted.function.points,0.7338197252067682,0.7338197252067682,True
Kitchenham,2,First.estimate,0.9418123240426456,0.9418123240426456,True
Kitchenham,3,Actual.duration,0.5649257858551668,0.5649257858551668,True
Kitchenham,3,Adjusted.function.points,0.9807808277167092,0.9807808277167092,True
Kitchenham,3,First.estimate,0.9942412703495009,0.9942412703495009,True
Kitchenham,4,Actual.duration,0.5714209825648688,0.5714209825648688,True
Kitchenham,4,Adjusted.function.points,0.9809360677865614,0.9809360677865614,True
Kitchenham,4,First.estimate,0.9939259684093605,0.9939259684093605,True
Kitchenham,5,Actual.duration,0.5682944866680203,0.5682944866680203,True
Kitchenham,5,Adjusted.function.points,0.9809224795949497,0.9809224795949497,True
Kitchenham,5,First.estimate,0.9935498901943274,0.9935498901943274,True
Kitchenham,6,Actual.duration,0.5836372212606433,0.5836372212606433,True
Kitchenham,6,Adjusted.function.points,0.9813361667806813,0.9813361667806813,True
Kitchenham,6,First.estimate,0.9940620315889409,0.9940620315889409,True
Kitchenham,7,Actual.duration,0.5754252015265833,0.5754252015265833,True
Kitchenham,7,Adjusted.function.points,0.9863779941812532,0.9863779941812532,True
Kitchenham,7,First.estimate,0.994090655155131,0.994090655155131,True
Kitchenham,8,Actual.duration,0.5756587121663439,0.5756587121663439,True
Kitchenham,8,Adjusted.function.points,0.9836164089099916,0.9836164089099916,True
Kitchenham,8,First.estimate,0.9945170336093684,0.9945170336093684,True
Kitchenham,9,Actual.duration,0.5965754811916143,0.5965754811916143,True
Kitchenham,9,Adjusted.function.points,0.9814843029810899,0.9814843029810899,True
Kitchenham,9,First.estimate,0.9936247548421953,0.9936247548421953,True
Kitchenham,10,Actual.duration,0.569458676315603,0.569458676315603,True
Kitchenham,10,Adjusted.function.points,0.9814495849263608,0.9814495849263608,True
Kitchenham,10,First.estimate,0.99426968600219,0.99426968600219,True
