Dataset,Fold,Variant,Training_MMRE,Actual.duration,Adjusted.function.points,First.estimate
Kitchenham,1,ABE_BASE,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,1,FAABE_NO_FIREFLY,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,1,FAABE_NO_PEARSON,0.25944003462791443,0.0052752322517335415,0.23421725630760193,0.7605074644088745
Kitchenham,1,FAABE_NO_IWM,0.25834670662879944,0.005633607506752014,0.2384260594844818,0.755940318107605
Kitchenham,1,FAABE_FULL,0.26120811700820923,0.005699632689356804,0.0618787482380867,0.9324215650558472
Kitchenham,2,ABE_BASE,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,2,FAABE_NO_FIREFLY,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,2,FAABE_NO_PEARSON,0.24824941158294678,0.004929100628942251,0.058993980288505554,0.9360768795013428
Kitchenham,2,FAABE_NO_IWM,0.24768008291721344,0.006957828998565674,0.04022103548049927,0.9528211355209351
Kitchenham,2,FAABE_FULL,0.24809101223945618,0.006682473234832287,0.059188712388277054,0.9341288208961487
Kitchenham,3,ABE_BASE,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,3,FAABE_NO_FIREFLY,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,3,FAABE_NO_PEARSON,0.2688494026660919,0.00948144681751728,0.10871054232120514,0.8818080425262451
Kitchenham,3,FAABE_NO_IWM,0.26725614070892334,0.009287917986512184,0.04967791214585304,0.941034197807312
Kitchenham,3,FAABE_FULL,0.2698260545730591,0.008278724737465382,0.04081014171242714,0.9509111642837524
Kitchenham,4,ABE_BASE,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,4,FAABE_NO_FIREFLY,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,4,FAABE_NO_PEARSON,0.2570459246635437,0.011487145908176899,0.08646705001592636,0.9020458459854126
Kitchenham,4,FAABE_NO_IWM,0.25399768352508545,0.010384375229477882,0.061552632600069046,0.9280630350112915
Kitchenham,4,FAABE_FULL,0.25491443276405334,0.008240174502134323,0.03605528548359871,0.9557045698165894
Kitchenham,5,ABE_BASE,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,5,FAABE_NO_FIREFLY,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,5,FAABE_NO_PEARSON,0.26974156498908997,0.0019343498861417174,0.06299076229333878,0.9350748658180237
Kitchenham,5,FAABE_NO_IWM,0.2693888545036316,0.011402221396565437,0.0659298375248909,0.922667920589447
Kitchenham,5,FAABE_FULL,0.2692943811416626,0.002420287812128663,0.06061702221632004,0.9369626641273499
Kitchenham,6,ABE_BASE,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,6,FAABE_NO_FIREFLY,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,6,FAABE_NO_PEARSON,0.2756832242012024,0.009176967665553093,0.05713406205177307,0.9336889982223511
Kitchenham,6,FAABE_NO_IWM,0.27211499214172363,0.004495717119425535,0.20601435005664825,0.7894899249076843
Kitchenham,6,FAABE_FULL,0.27350401878356934,0.005019686184823513,0.20579586923122406,0.7891845107078552
Kitchenham,7,ABE_BASE,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,7,FAABE_NO_FIREFLY,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,7,FAABE_NO_PEARSON,0.2585907578468323,0.008342416025698185,0.11165362596511841,0.8800039887428284
Kitchenham,7,FAABE_NO_IWM,0.2595974802970886,0.005401309579610825,0.10164698958396912,0.8929516673088074
Kitchenham,7,FAABE_FULL,0.25882256031036377,0.006987810134887695,0.1040266677737236,0.8889855146408081
Kitchenham,8,ABE_BASE,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,8,FAABE_NO_FIREFLY,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,8,FAABE_NO_PEARSON,0.2638798952102661,0.01058113668113947,0.04096358269453049,0.948455274105072
Kitchenham,8,FAABE_NO_IWM,0.2609638273715973,0.002156172413378954,0.0658872053027153,0.9319566488265991
Kitchenham,8,FAABE_FULL,0.26399290561676025,0.008886133320629597,0.04108188673853874,0.9500319957733154
Kitchenham,9,ABE_BASE,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,9,FAABE_NO_FIREFLY,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,9,FAABE_NO_PEARSON,0.27384379506111145,0.008900812827050686,0.10810145735740662,0.8829976916313171
Kitchenham,9,FAABE_NO_IWM,0.2728550136089325,0.010973515920341015,0.1216420903801918,0.8673844337463379
Kitchenham,9,FAABE_FULL,0.2737062871456146,0.0059258053079247475,0.09426835924386978,0.8998058438301086
Kitchenham,10,ABE_BASE,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,10,FAABE_NO_FIREFLY,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,10,FAABE_NO_PEARSON,0.2560843527317047,0.00854002870619297,0.06352873891592026,0.9279312491416931
Kitchenham,10,FAABE_NO_IWM,0.25305694341659546,0.005868511740118265,0.0746782198548317,0.9194533228874207
Kitchenham,10,FAABE_FULL,0.2564692497253418,0.010601356625556946,0.06451784074306488,0.924880862236023
