Dataset,Fold,Train_N,Test_N,Selected_Feature_Count,Selected_Features,ABE_BASE_MMRE,ABE_BASE_MAE,ABE_BASE_MSE,ABE_BASE_RMSE,ABE_BASE_Training_MMRE,FAABE_NO_PEARSON_MMRE,FAABE_NO_PEARSON_MAE,FAABE_NO_PEARSON_MSE,FAABE_NO_PEARSON_RMSE,FAABE_NO_PEARSON_Training_MMRE,FAABE_NO_FIREFLY_MMRE,FAABE_NO_FIREFLY_MAE,FAABE_NO_FIREFLY_MSE,FAABE_NO_FIREFLY_RMSE,FAABE_NO_FIREFLY_Training_MMRE,FAABE_NO_IWM_MMRE,FAABE_NO_IWM_MAE,FAABE_NO_IWM_MSE,FAABE_NO_IWM_RMSE,FAABE_NO_IWM_Training_MMRE,FAABE_FULL_MMRE,FAABE_FULL_MAE,FAABE_FULL_MSE,FAABE_FULL_RMSE,FAABE_FULL_Training_MMRE
Maxwell,1,55,7,7,"Nlan,T07,T11,T14,T15,Duration,Size",0.34859521701074814,3325.595040457589,18966660.79055855,4355.072994859966,,0.32898315032825964,3921.8096051897323,42880829.10779569,6548.345524466137,0.48990219831466675,0.29394865324115044,3628.534005301339,43823248.998259075,6619.913065762954,,0.35577339730071017,2766.9522879464284,15122960.004603863,3888.8250159404015,0.3911799490451813,0.4607705640457964,3076.6487862723216,18124239.13198924,4257.257231127717,0.3947884440422058
Maxwell,2,55,7,7,"Nlan,T07,T09,T10,T11,Duration,Size",1.405558204978492,10547.542759486607,407533054.4710433,20187.447943488132,,1.0584087030658695,8538.180977957589,254629134.79315186,15957.102957402758,0.42521682381629944,1.1307979720251433,8876.360334123883,299808733.5328068,17314.985808045203,,0.8828735228411496,7183.190569196428,157694082.93018362,12557.630466381133,0.35723286867141724,0.8977118003314716,7127.906651088169,155488518.9140816,12469.503555237538,0.34734851121902466
Maxwell,3,56,6,6,"T07,T10,T11,T15,Duration,Size",0.5751570571737424,7983.107747395833,116303563.63684519,10784.412994541946,,0.5339746159437213,5366.675537109375,47240011.06029197,6873.136915578793,0.4554782509803772,0.3579646275796505,4854.767740885417,49155197.99901637,7011.07680738247,,0.6045157058632709,7575.8333740234375,93470024.4379251,9667.989679241755,0.37351325154304504,0.39613463122255693,4795.8421630859375,45281233.46526795,6729.133188254484,0.4064244031906128
Maxwell,4,56,6,8,"Nlan,T07,T10,T11,T14,T15,Duration,Size",1.2146055435054783,5972.2259521484375,77841869.825128,8822.803966150897,,0.5767499232164578,2233.924601236979,7381336.844951103,2716.861580013068,0.4562472701072693,0.9170579714764132,3397.337605794271,13291288.712925961,3645.7219741672516,,0.1867975164691019,990.2222290039062,1683517.9429164554,1297.5045059330066,0.40002110600471497,0.22232707531794393,613.921630859375,628387.5911113819,792.7090204554139,0.39461737871170044
Maxwell,5,56,6,6,"Nlan,T07,T11,T14,Duration,Size",0.5849159783678036,2116.4035034179688,7673466.452291769,2770.1022458190546,,1.1196603846047049,3167.4857177734375,15732920.497694978,3966.4745678870777,0.4662609398365021,1.3009995104209768,3275.087443033854,12636638.458503177,3554.804981782148,,0.8150810165249025,2405.3333740234375,7107013.032100012,2665.89816611588,0.37504827976226807,0.7829162709296217,2334.8772786458335,6863672.423273802,2619.8611458002506,0.37428346276283264
Maxwell,6,56,6,6,"Nlan,T07,T11,T14,Duration,Size",1.3434095394494054,2460.6434326171875,8161348.566388537,2856.80740799735,,0.48466620911759356,1325.5789794921875,3779480.37575683,1944.088571993784,0.5068172812461853,0.9382150608222012,1972.6932169596355,6209208.979950957,2491.82844111527,,0.16619584354997072,410.0000508626302,280414.31242316525,529.5416059415589,0.41224461793899536,0.20112750755023423,573.39208984375,586219.6043731222,765.6497922504271,0.413413405418396
Maxwell,7,56,6,8,"Nlan,T07,T10,T11,T14,T15,Duration,Size",1.941224570554521,3970.72900390625,22692133.863498766,4763.626125495028,,1.095758851863138,3650.405314127604,27271770.571531277,5222.238080701729,0.41301804780960083,1.4731840095839877,3608.8314615885415,19023309.018662494,4361.5718518284775,,0.631117053521777,2615.4445597330728,16906942.720129017,4111.805287234431,0.3478859066963196,0.6424080376956446,2728.1205240885415,19031557.110859748,4362.5172906086855,0.3551250994205475
Maxwell,8,56,6,8,"Nlan,T07,T10,T11,T14,T15,Duration,Size",0.5653500951337397,3517.9158935546875,17118408.553740513,4137.4398549997695,,0.6362491825204256,4339.223388671875,28774501.733181834,5364.186959193521,0.4456152319908142,0.519468932501591,3315.720703125,15411686.538516125,3925.7720945714773,,0.46348990335107304,2966.9447631835938,22075773.00814293,4698.486246456717,0.34121814370155334,0.4862979674837513,3261.164306640625,20913323.366305392,4573.108720149281,0.3636634051799774
Maxwell,9,56,6,7,"T01,T07,T08,T11,T14,Duration,Size",0.7507523227953253,12654.351969401041,287264850.7042652,16948.889364919025,,0.28355022405826075,3603.6187744140625,29685506.38387689,5448.440729591989,0.5115455389022827,0.3774655843897429,8077.755208333333,162448284.95382142,12745.520191574034,,0.32951956011495215,3175.6660970052085,11628082.824942788,3409.9974816622357,0.43314027786254883,0.22988290668867548,2227.8138834635415,8612084.546115914,2934.6353344352538,0.44943761825561523
Maxwell,10,56,6,6,"Nlan,T07,T11,T14,Duration,Size",0.3642015318782336,1132.6237386067708,2489735.6987043717,1577.8896345132544,,0.5528034142649306,1696.2609456380208,4255210.581422676,2062.816177322322,0.5249608755111694,0.6961623759766492,1427.0052897135417,2529427.022336026,1590.4172478742885,,0.14251958498290174,599.3888753255209,624520.8554416597,790.2663193137233,0.44035249948501587,0.25553749644883794,1056.1560668945312,1686621.754346691,1298.7000247735007,0.4073096811771393
