Dataset,Fold,Variant,Training_MMRE,Syear,App,Har,Dba,Ifc,Source,Telonuse,Nlan,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,Duration,Size,Time
Maxwell,1,ABE_BASE,,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242
Maxwell,1,FAABE_NO_FIREFLY,,,,,,,,,0.1428571492433548,,,,,,,0.1428571492433548,,,,0.1428571492433548,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,
Maxwell,1,FAABE_NO_PEARSON,0.48990219831466675,0.0,0.0,0.1129286140203476,0.06414471566677094,0.0,0.052175454795360565,0.005702793598175049,0.0,0.0,0.05931659787893295,0.06627381592988968,0.0,0.0,0.022952016443014145,0.0,0.003901295829564333,0.08087734878063202,0.00988510437309742,0.0052713798359036446,0.03331373259425163,0.061616431921720505,0.04672814905643463,0.0,0.18053677678108215,0.19437579810619354,0.0
Maxwell,1,FAABE_NO_IWM,0.3911799490451813,,,,,,,,0.027380986139178276,,,,,,,0.0,,,,0.03778098151087761,,,0.028334451839327812,0.0,0.4337174594402313,0.47278618812561035,
Maxwell,1,FAABE_FULL,0.3947884440422058,,,,,,,,0.041341472417116165,,,,,,,0.0,,,,0.026893597096204758,,,0.06423144787549973,0.0,0.4560176432132721,0.41151586174964905,
Maxwell,2,ABE_BASE,,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242
Maxwell,2,FAABE_NO_FIREFLY,,,,,,,,,0.1428571492433548,,,,,,,0.1428571492433548,,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,0.1428571492433548,0.1428571492433548,
Maxwell,2,FAABE_NO_PEARSON,0.42521682381629944,0.0,0.0,0.0,0.048914600163698196,0.0,0.06974933296442032,0.041355498135089874,0.0,0.0,0.09390483051538467,0.057520996779203415,0.06384503841400146,0.0,0.059904612600803375,0.04675430804491043,0.037953201681375504,0.08871268481016159,0.040588706731796265,0.034518465399742126,0.07297608256340027,0.02474156953394413,0.0,0.0,0.16641075909137726,0.05214935913681984,0.0
Maxwell,2,FAABE_NO_IWM,0.35723286867141724,,,,,,,,0.0,,,,,,,0.02686506137251854,,0.0,0.06299612671136856,0.049828216433525085,,,,,0.3457667827606201,0.514543890953064,
Maxwell,2,FAABE_FULL,0.34734851121902466,,,,,,,,0.015138120390474796,,,,,,,0.0,,0.0,0.018339399248361588,0.0,,,,,0.4073251783847809,0.5591973066329956,
Maxwell,3,ABE_BASE,,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242
Maxwell,3,FAABE_NO_FIREFLY,,,,,,,,,,,,,,,,0.1666666716337204,,,0.1666666716337204,0.1666666716337204,,,,0.1666666716337204,0.1666666716337204,0.1666666716337204,
Maxwell,3,FAABE_NO_PEARSON,0.4554782509803772,0.0,0.058937590569257736,0.06562184542417526,0.0,0.0,0.07151051610708237,0.024407457560300827,0.0,0.0,0.06608861684799194,0.013804600574076176,0.004314441233873367,0.0,0.04285897687077522,0.06976280361413956,0.02192321978509426,0.08882999420166016,0.0,0.0,0.028386039659380913,0.07096604257822037,0.04793328791856766,0.02644219994544983,0.12621505558490753,0.17199738323688507,0.0
Maxwell,3,FAABE_NO_IWM,0.37351325154304504,,,,,,,,,,,,,,,0.03475930541753769,,,0.08794219046831131,0.024098118767142296,,,,0.008528008125722408,0.08501297980546951,0.7596594095230103,
Maxwell,3,FAABE_FULL,0.4064244031906128,,,,,,,,,,,,,,,0.0,,,0.037877313792705536,0.020777147263288498,,,,0.16486309468746185,0.31768131256103516,0.45880115032196045,
Maxwell,4,ABE_BASE,,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242
Maxwell,4,FAABE_NO_FIREFLY,,,,,,,,,0.125,,,,,,,0.125,,,0.125,0.125,,,0.125,0.125,0.125,0.125,
Maxwell,4,FAABE_NO_PEARSON,0.4562472701072693,0.0,0.0,0.024426650255918503,0.030612122267484665,0.0,0.054642584174871445,0.0,0.029581034556031227,0.0,0.0992933064699173,0.044329721480607986,0.0,0.0,0.06435604393482208,0.01576186716556549,0.0,0.13991278409957886,0.0,0.005161450244486332,0.03297128900885582,0.0,0.0,0.04254612326622009,0.1980053335428238,0.21839967370033264,0.0
Maxwell,4,FAABE_NO_IWM,0.40002110600471497,,,,,,,,0.0,,,,,,,0.0,,,0.02304728515446186,0.02877155877649784,,,0.03466644510626793,0.0,0.4413734972476959,0.47214120626449585,
Maxwell,4,FAABE_FULL,0.39461737871170044,,,,,,,,0.01752999611198902,,,,,,,0.0,,,0.05217112973332405,0.006647005211561918,,,0.05718453973531723,0.0,0.3982890546321869,0.46817830204963684,
Maxwell,5,ABE_BASE,,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242
Maxwell,5,FAABE_NO_FIREFLY,,,,,,,,,0.1666666716337204,,,,,,,0.1666666716337204,,,,0.1666666716337204,,,0.1666666716337204,,0.1666666716337204,0.1666666716337204,
Maxwell,5,FAABE_NO_PEARSON,0.4662609398365021,0.01625584438443184,0.08765292912721634,0.0,0.032276224344968796,0.0,0.0,0.0,0.0,0.0,0.043541185557842255,0.04062769189476967,0.04529576748609543,0.044013697654008865,0.06291249394416809,0.14440667629241943,0.033091068267822266,0.02518715336918831,0.011262908577919006,0.0,0.0,0.04986109584569931,0.05772573873400688,0.0008757520117796957,0.183134064078331,0.1218797117471695,0.0
Maxwell,5,FAABE_NO_IWM,0.37504827976226807,,,,,,,,0.05281703546643257,,,,,,,0.02865048684179783,,,,0.0,,,0.07960096746683121,,0.5012109279632568,0.3377205729484558,
Maxwell,5,FAABE_FULL,0.37428346276283264,,,,,,,,0.042885035276412964,,,,,,,0.02792724408209324,,,,0.008514788933098316,,,0.07258082926273346,,0.4132121503353119,0.43487998843193054,
Maxwell,6,ABE_BASE,,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242
Maxwell,6,FAABE_NO_FIREFLY,,,,,,,,,0.1666666716337204,,,,,,,0.1666666716337204,,,,0.1666666716337204,,,0.1666666716337204,,0.1666666716337204,0.1666666716337204,
Maxwell,6,FAABE_NO_PEARSON,0.5068172812461853,0.0,0.0351593978703022,0.06633895635604858,0.0,0.0,0.04317936673760414,0.02450144663453102,0.0,0.0,0.0437481515109539,0.054509442299604416,0.048477403819561005,0.023443475365638733,0.14438177645206451,0.0038104127161204815,0.0,0.09343582391738892,0.0025239947717636824,0.0,0.0757908746600151,0.0002411472232779488,0.0,0.0,0.1879260241985321,0.15253235399723053,0.0
Maxwell,6,FAABE_NO_IWM,0.41224461793899536,,,,,,,,0.04526262357831001,,,,,,,0.0,,,,0.035681311041116714,,,0.055729907006025314,,0.3554385006427765,0.507887601852417,
Maxwell,6,FAABE_FULL,0.413413405418396,,,,,,,,0.03213273361325264,,,,,,,0.0,,,,0.0,,,0.04919784516096115,,0.39927607774734497,0.5193933248519897,
Maxwell,7,ABE_BASE,,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242
Maxwell,7,FAABE_NO_FIREFLY,,,,,,,,,0.125,,,,,,,0.125,,,0.125,0.125,,,0.125,0.125,0.125,0.125,
Maxwell,7,FAABE_NO_PEARSON,0.41301804780960083,0.0,0.03678163141012192,0.08435028046369553,0.026856541633605957,0.046177659183740616,0.11129403859376907,0.012387280352413654,0.0,0.0,0.07164303213357925,0.09482124447822571,0.0,0.05420561507344246,0.005167235154658556,0.02225889451801777,0.0,0.09661784023046494,0.024729780852794647,0.0,0.0,0.02693702094256878,0.0,0.03255203738808632,0.10576300323009491,0.14745689928531647,0.0
Maxwell,7,FAABE_NO_IWM,0.3478859066963196,,,,,,,,0.0,,,,,,,0.0,,,0.047593582421541214,0.0,,,0.0,0.03407513350248337,0.5437090992927551,0.3746222257614136,
Maxwell,7,FAABE_FULL,0.3551250994205475,,,,,,,,0.0,,,,,,,0.0,,,0.04037022963166237,0.0,,,0.0,0.04978847876191139,0.4439302384853363,0.46591106057167053,
Maxwell,8,ABE_BASE,,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242
Maxwell,8,FAABE_NO_FIREFLY,,,,,,,,,0.125,,,,,,,0.125,,,0.125,0.125,,,0.125,0.125,0.125,0.125,
Maxwell,8,FAABE_NO_PEARSON,0.4456152319908142,0.0,0.019469453021883965,0.0,0.12253151834011078,0.049486540257930756,0.0,0.07660360634326935,0.0,0.0,0.0,0.11111381649971008,0.0,0.0013725581811740994,0.0,0.05479166656732559,0.0,0.0,0.07563405483961105,0.0,0.01027309987694025,0.02979598566889763,0.007859128527343273,0.0,0.21613775193691254,0.20510540902614594,0.019825398921966553
Maxwell,8,FAABE_NO_IWM,0.34121814370155334,,,,,,,,0.0,,,,,,,0.0,,,0.03875105828046799,0.039866119623184204,,,0.04691951721906662,0.0,0.35893186926841736,0.5155314803123474,
Maxwell,8,FAABE_FULL,0.3636634051799774,,,,,,,,0.03457363322377205,,,,,,,0.0,,,0.02133498527109623,0.012441594153642654,,,0.05985282361507416,0.004269964527338743,0.4690437614917755,0.3984832763671875,
Maxwell,9,ABE_BASE,,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242
Maxwell,9,FAABE_NO_FIREFLY,,,,,,,,,,0.1428571492433548,,,,,,0.1428571492433548,0.1428571492433548,,,0.1428571492433548,,,0.1428571492433548,,0.1428571492433548,0.1428571492433548,
Maxwell,9,FAABE_NO_PEARSON,0.5115455389022827,0.0,0.01296686939895153,0.03221169486641884,0.0,0.0,0.0,0.02663625404238701,0.0,0.0,0.05613001063466072,0.036368053406476974,0.0,0.011663533747196198,0.0,0.10007193684577942,0.009712429717183113,0.1626024842262268,0.04872937500476837,0.0012218214105814695,0.0,0.040453940629959106,0.026155974715948105,0.06934835016727448,0.17814652621746063,0.10804829001426697,0.07953250408172607
Maxwell,9,FAABE_NO_IWM,0.43314027786254883,,,,,,,,,0.053696732968091965,,,,,,0.0,0.0,,,0.0,,,0.180734783411026,,0.3582989275455475,0.40726950764656067,
Maxwell,9,FAABE_FULL,0.44943761825561523,,,,,,,,,0.0,,,,,,0.0,0.0,,,0.009571914561092854,,,0.03423982858657837,,0.5310162305831909,0.42517203092575073,
Maxwell,10,ABE_BASE,,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242,0.03846153989434242
Maxwell,10,FAABE_NO_FIREFLY,,,,,,,,,0.1666666716337204,,,,,,,0.1666666716337204,,,,0.1666666716337204,,,0.1666666716337204,,0.1666666716337204,0.1666666716337204,
Maxwell,10,FAABE_NO_PEARSON,0.5249608755111694,0.0,0.0,0.03411157429218292,0.02920437976717949,0.0,0.20116940140724182,0.0,0.044467244297266006,0.03829766437411308,0.0426967553794384,0.0,0.02897007204592228,0.1333913505077362,0.0,0.0,0.06005887687206268,0.0831139013171196,0.017332587391138077,0.0,0.0,0.0,0.0,0.0,0.143673837184906,0.14351242780685425,0.0
Maxwell,10,FAABE_NO_IWM,0.44035249948501587,,,,,,,,0.061836645007133484,,,,,,,0.0,,,,0.027633167803287506,,,0.06273052096366882,,0.39980241656303406,0.4479973018169403,
Maxwell,10,FAABE_FULL,0.4073096811771393,,,,,,,,0.03426089882850647,,,,,,,0.0,,,,0.0,,,0.03672058880329132,,0.3985760509967804,0.5304424166679382,
