Dataset,ABE_BASE,FAABE_FULL,FAABE_NO_FIREFLY,FAABE_NO_IWM,FAABE_NO_PEARSON
Albrecht,0.7956080220284832,0.8206727098213014,0.7810754777286365,0.7963922695342044,0.6857807403256597
COCOMO81,3.3019392195268757,2.245027397292537,2.7508646175535842,1.4714070011269444,1.5187873400360985
China,1.3814768705331972,1.3822465552345078,1.3254451842196198,1.4100890128118864,1.587928260765639
Desharnais,0.5852264736097023,0.6852989498534597,0.6558106603996695,0.6861743665126747,0.4073304373200348
Kemerer,0.7012345070066297,0.6438290529674404,0.613218082119333,0.6480913899367946,0.680394777593395
Kitchenham,0.5220561577348432,0.2770888666818741,0.5220561577348432,0.2737416112074667,0.27060715977929467
Maxwell,0.9083350610818415,0.46466399855910445,0.7976828195705051,0.4629991217300115,0.6679390291499081
Miyazaki94,0.5191571930705651,0.4962651024254061,0.5191571930705651,0.4971284100847109,0.4467203820643628
Subbiah,2.1248666700742946,2.2739857717829963,2.4259586531325716,1.7045463115068236,2.230240313746966
Valdes-Souto,0.6949283675597855,3.000102634943868,2.9993530150384276,2.8250571651706315,0.6858001129223081
