Dataset,Fold,Variant,Iteration,Best_Training_MMRE
Subbiah,1,FAABE_NO_PEARSON,0,1.7193692922592163
Subbiah,1,FAABE_NO_PEARSON,1,1.5705394744873047
Subbiah,1,FAABE_NO_PEARSON,2,1.5705394744873047
Subbiah,1,FAABE_NO_PEARSON,3,1.529872179031372
Subbiah,1,FAABE_NO_PEARSON,4,1.529872179031372
Subbiah,1,FAABE_NO_PEARSON,5,1.529872179031372
Subbiah,1,FAABE_NO_PEARSON,6,1.529872179031372
Subbiah,1,FAABE_NO_PEARSON,7,1.529872179031372
Subbiah,1,FAABE_NO_PEARSON,8,1.529872179031372
Subbiah,1,FAABE_NO_PEARSON,9,1.529872179031372
Subbiah,1,FAABE_NO_PEARSON,10,1.520057201385498
Subbiah,1,FAABE_NO_PEARSON,11,1.520057201385498
Subbiah,1,FAABE_NO_PEARSON,12,1.520057201385498
Subbiah,1,FAABE_NO_PEARSON,13,1.520057201385498
Subbiah,1,FAABE_NO_PEARSON,14,1.520057201385498
Subbiah,1,FAABE_NO_PEARSON,15,1.520057201385498
Subbiah,1,FAABE_NO_PEARSON,16,1.520057201385498
Subbiah,1,FAABE_NO_PEARSON,17,1.520057201385498
Subbiah,1,FAABE_NO_PEARSON,18,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,19,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,20,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,21,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,22,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,23,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,24,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,25,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,26,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,27,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,28,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,29,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,30,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,31,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,32,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,33,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,34,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,35,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,36,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,37,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,38,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,39,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,40,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,41,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,42,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,43,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,44,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,45,1.508007526397705
Subbiah,1,FAABE_NO_PEARSON,46,1.495558738708496
Subbiah,1,FAABE_NO_PEARSON,47,1.495558738708496
Subbiah,1,FAABE_NO_PEARSON,48,1.495558738708496
Subbiah,1,FAABE_NO_PEARSON,49,1.495558738708496
Subbiah,1,FAABE_NO_PEARSON,50,1.495558738708496
Subbiah,1,FAABE_NO_PEARSON,51,1.4936163425445557
Subbiah,1,FAABE_NO_PEARSON,52,1.4936163425445557
Subbiah,1,FAABE_NO_PEARSON,53,1.4936163425445557
Subbiah,1,FAABE_NO_PEARSON,54,1.4936163425445557
Subbiah,1,FAABE_NO_PEARSON,55,1.4868152141571045
