Dataset,Fold,Feature,Pearson_r,Abs_Pearson_r,Selected
Valdes-Souto,1,COSMIC_FP,0.7841179076436716,0.7841179076436716,True
Valdes-Souto,1,HH_CFP,0.1019235680786141,0.1019235680786141,False
Valdes-Souto,2,COSMIC_FP,0.7852758164240257,0.7852758164240257,True
Valdes-Souto,2,HH_CFP,0.12033229825698351,0.12033229825698351,False
Valdes-Souto,3,COSMIC_FP,0.786025724672311,0.786025724672311,True
Valdes-Souto,3,HH_CFP,0.08690284688976294,0.08690284688976294,False
Valdes-Souto,4,COSMIC_FP,0.7554233879606493,0.7554233879606493,True
Valdes-Souto,4,HH_CFP,0.08368723913906513,0.08368723913906513,False
Valdes-Souto,5,COSMIC_FP,0.7915844628660966,0.7915844628660966,True
Valdes-Souto,5,HH_CFP,0.0758541857598852,0.0758541857598852,False
Valdes-Souto,6,COSMIC_FP,0.7703152481324348,0.7703152481324348,True
Valdes-Souto,6,HH_CFP,0.11025639104424449,0.11025639104424449,False
Valdes-Souto,7,COSMIC_FP,0.8765193034025536,0.8765193034025536,True
Valdes-Souto,7,HH_CFP,0.3082216524210584,0.3082216524210584,True
Valdes-Souto,8,COSMIC_FP,0.7862332590552286,0.7862332590552286,True
Valdes-Souto,8,HH_CFP,0.0947183354079528,0.0947183354079528,False
Valdes-Souto,9,COSMIC_FP,0.7813023741217425,0.7813023741217425,True
Valdes-Souto,9,HH_CFP,0.08554251671686955,0.08554251671686955,False
Valdes-Souto,10,COSMIC_FP,0.7849448426430159,0.7849448426430159,True
Valdes-Souto,10,HH_CFP,0.0856648799211154,0.0856648799211154,False
