Dataset,Fold,Train_N,Test_N,Selected_Feature_Count,Selected_Features,ABE_BASE_MMRE,ABE_BASE_MAE,ABE_BASE_MSE,ABE_BASE_RMSE,ABE_BASE_Training_MMRE,FAABE_NO_PEARSON_MMRE,FAABE_NO_PEARSON_MAE,FAABE_NO_PEARSON_MSE,FAABE_NO_PEARSON_RMSE,FAABE_NO_PEARSON_Training_MMRE,FAABE_NO_FIREFLY_MMRE,FAABE_NO_FIREFLY_MAE,FAABE_NO_FIREFLY_MSE,FAABE_NO_FIREFLY_RMSE,FAABE_NO_FIREFLY_Training_MMRE,FAABE_NO_IWM_MMRE,FAABE_NO_IWM_MAE,FAABE_NO_IWM_MSE,FAABE_NO_IWM_RMSE,FAABE_NO_IWM_Training_MMRE,FAABE_FULL_MMRE,FAABE_FULL_MAE,FAABE_FULL_MSE,FAABE_FULL_RMSE,FAABE_FULL_Training_MMRE
Valdes-Souto,1,51,6,1,COSMIC_FP,0.5006507533703183,595.0990961710612,619655.0362771171,787.1817047398378,,0.489875359918712,571.3518379211426,577464.3993542268,759.9107838123017,0.5169616341590881,1.9268495713148157,1352.6893102010092,2865056.480047081,1692.6477719971988,,1.99316484024985,1170.0500267028808,2257743.5523344357,1502.578967087732,2.606854200363159,1.9268495713148157,1352.6893102010092,2865056.480047081,1692.6477719971988,2.8331761360168457
Valdes-Souto,2,51,6,1,COSMIC_FP,1.188143490250696,1255.4784304300945,2346410.4356873874,1531.7997374615873,,1.3219427063573688,1345.957524617513,2545065.4930093396,1595.326140013176,0.4824484586715698,0.5003815524364674,613.0424652099609,707764.4920348997,841.2874015667295,,0.5197751376400962,726.2777506510416,831606.7426192892,911.9247461382377,2.2121448516845703,0.5003815524364674,613.0424652099609,707764.4920348997,841.2874015667295,2.513115882873535
Valdes-Souto,3,51,6,1,COSMIC_FP,0.3766451676568601,1620.7282638549805,7533706.430040668,2744.7598128143504,,0.37600061840438354,1607.5944112141926,7463863.525912978,2732.0072338690793,0.49893346428871155,0.43742626279310853,2420.726687113444,16282046.004460854,4035.101734090586,,0.49516366323954025,2356.1110204060874,15938650.477021417,3992.3239443989783,2.823359966278076,0.43742626279310853,2420.726687113444,16282046.004460854,4035.101734090586,3.231212854385376
Valdes-Souto,4,51,6,1,COSMIC_FP,0.206096058922391,5677.684946695964,175682339.6544763,13254.521479648985,,0.20671139953457895,5692.7417399088545,176424477.78070962,13282.48763525529,0.5382665395736694,1.2008685100181913,6698.436604817708,186536393.43188322,13657.832676961716,,1.3733963855605698,7068.27783203125,186656090.71572995,13662.213975623788,2.8763043880462646,1.2008685100181913,6698.436604817708,186536393.43188322,13657.832676961716,3.236502170562744
Valdes-Souto,5,51,6,1,COSMIC_FP,0.31831089756760494,727.562528928121,1347894.0484310088,1160.9883928924564,,0.29005261315828385,735.638840675354,1385456.2113679713,1177.0540392726118,0.7553337812423706,7.3004615246232625,1677.067159016927,5155978.053710811,2270.6778841814644,,6.247506249535806,1661.5721995035808,5758105.537831556,2399.605287923736,3.2753751277923584,7.3004615246232625,1677.067159016927,5155978.053710811,2270.6778841814644,3.290559768676758
Valdes-Souto,6,51,6,1,COSMIC_FP,0.5537226019450939,1218.6806701660155,2333242.1144588497,1527.495372974612,,0.5874153487438142,1578.8556528727213,3636240.8890694077,1906.8929936075092,0.5262539386749268,0.5719505622618934,3573.218084716797,23105799.022089835,4806.849178213296,,0.5611473258220394,3305.81666285197,24510954.38051157,4950.853904177699,2.9224460124969482,0.5719505622618934,3573.218084716797,23105799.022089835,4806.849178213296,3.277672290802002
Valdes-Souto,7,51,6,2,"COSMIC_FP,HH_CFP",1.4653146479407273,5106.1928304036455,69111107.60009755,8313.30906439172,,1.4724363130439093,5227.887227376302,76575562.97693239,8750.746423987635,0.4808708131313324,1.4653146479407273,5106.1928304036455,69111107.60009755,8313.30906439172,,1.5138196421087684,5289.266815185547,74198679.09222837,8613.865513939045,0.48817163705825806,1.4724360370424117,5227.876129150391,76574997.25886294,8750.714099938526,0.48087236285209656
Valdes-Souto,8,52,5,1,COSMIC_FP,0.19145488336200978,348.9161700439454,306745.64951535495,553.8462327355445,,0.20385865400214986,401.92855712890633,350235.6109507567,591.8070724068416,0.5474299788475037,0.6023868469732137,377.1450579833985,242736.2397538832,492.68269682817476,,0.6035101568608526,329.6731976318359,188050.16527474488,433.647512704437,3.059199571609497,0.6023868469732137,377.1450579833985,242736.2397538832,492.68269682817476,3.3132174015045166
Valdes-Souto,9,52,5,1,COSMIC_FP,1.960386028541712,489.9515899658203,512937.4609990899,716.1965240065675,,1.6767153879253993,503.7844955444336,600003.6778590505,774.599043285654,0.45715564489364624,12.004468341003015,729.1310424804688,834304.8990825571,913.4029226374071,,11.647367790949806,1220.533364868164,3023624.3442199733,1738.8571948897854,1.8216575384140015,12.004468341003015,729.1310424804688,834304.8990825571,913.4029226374071,2.138270854949951
Valdes-Souto,10,52,5,1,COSMIC_FP,0.23968213709340297,418.07834510803224,451396.8514433413,671.8607381320487,,0.24422601439350328,421.46318740844725,452713.72892410244,672.8400470573243,0.6556029915809631,5.501866025795691,827.3400634765625,1171999.045540388,1082.5890473953577,,4.710005842146535,586.1333618164062,604059.9650309302,777.212947029918,2.873488426208496,5.501866025795691,827.3400634765625,1171999.045540388,1082.5890473953577,3.068263292312622
