Dataset,Fold,Variant,Training_MMRE,COSMIC_FP,HH_CFP
Valdes-Souto,1,ABE_BASE,,0.5,0.5
Valdes-Souto,1,FAABE_NO_FIREFLY,,1.0,
Valdes-Souto,1,FAABE_NO_PEARSON,0.5169616341590881,0.6351420879364014,0.36485788226127625
Valdes-Souto,1,FAABE_NO_IWM,2.606854200363159,1.0,
Valdes-Souto,1,FAABE_FULL,2.8331761360168457,1.0,
Valdes-Souto,2,ABE_BASE,,0.5,0.5
Valdes-Souto,2,FAABE_NO_FIREFLY,,1.0,
Valdes-Souto,2,FAABE_NO_PEARSON,0.4824484586715698,0.397599995136261,0.602400004863739
Valdes-Souto,2,FAABE_NO_IWM,2.2121448516845703,1.0,
Valdes-Souto,2,FAABE_FULL,2.513115882873535,1.0,
Valdes-Souto,3,ABE_BASE,,0.5,0.5
Valdes-Souto,3,FAABE_NO_FIREFLY,,1.0,
Valdes-Souto,3,FAABE_NO_PEARSON,0.49893346428871155,0.4689444899559021,0.5310555100440979
Valdes-Souto,3,FAABE_NO_IWM,2.823359966278076,1.0,
Valdes-Souto,3,FAABE_FULL,3.231212854385376,1.0,
Valdes-Souto,4,ABE_BASE,,0.5,0.5
Valdes-Souto,4,FAABE_NO_FIREFLY,,1.0,
Valdes-Souto,4,FAABE_NO_PEARSON,0.5382665395736694,0.5864996910095215,0.4135003685951233
Valdes-Souto,4,FAABE_NO_IWM,2.8763043880462646,1.0,
Valdes-Souto,4,FAABE_FULL,3.236502170562744,1.0,
Valdes-Souto,5,ABE_BASE,,0.5,0.5
Valdes-Souto,5,FAABE_NO_FIREFLY,,1.0,
Valdes-Souto,5,FAABE_NO_PEARSON,0.7553337812423706,0.5865226984024048,0.4134772717952728
Valdes-Souto,5,FAABE_NO_IWM,3.2753751277923584,1.0,
Valdes-Souto,5,FAABE_FULL,3.290559768676758,1.0,
Valdes-Souto,6,ABE_BASE,,0.5,0.5
Valdes-Souto,6,FAABE_NO_FIREFLY,,1.0,
Valdes-Souto,6,FAABE_NO_PEARSON,0.5262539386749268,0.6351258158683777,0.3648742139339447
Valdes-Souto,6,FAABE_NO_IWM,2.9224460124969482,1.0,
Valdes-Souto,6,FAABE_FULL,3.277672290802002,1.0,
Valdes-Souto,7,ABE_BASE,,0.5,0.5
Valdes-Souto,7,FAABE_NO_FIREFLY,,0.5,0.5
Valdes-Souto,7,FAABE_NO_PEARSON,0.4808708131313324,0.6702697277069092,0.32973024249076843
Valdes-Souto,7,FAABE_NO_IWM,0.48817163705825806,0.6629865765571594,0.33701348304748535
Valdes-Souto,7,FAABE_FULL,0.48087236285209656,0.6702596545219421,0.32974037528038025
Valdes-Souto,8,ABE_BASE,,0.5,0.5
Valdes-Souto,8,FAABE_NO_FIREFLY,,1.0,
Valdes-Souto,8,FAABE_NO_PEARSON,0.5474299788475037,0.6226809024810791,0.3773190677165985
Valdes-Souto,8,FAABE_NO_IWM,3.059199571609497,1.0,
Valdes-Souto,8,FAABE_FULL,3.3132174015045166,1.0,
Valdes-Souto,9,ABE_BASE,,0.5,0.5
Valdes-Souto,9,FAABE_NO_FIREFLY,,1.0,
Valdes-Souto,9,FAABE_NO_PEARSON,0.45715564489364624,0.6451842188835144,0.3548157513141632
Valdes-Souto,9,FAABE_NO_IWM,1.8216575384140015,1.0,
Valdes-Souto,9,FAABE_FULL,2.138270854949951,1.0,
Valdes-Souto,10,ABE_BASE,,0.5,0.5
Valdes-Souto,10,FAABE_NO_FIREFLY,,1.0,
Valdes-Souto,10,FAABE_NO_PEARSON,0.6556029915809631,0.6461377739906311,0.35386228561401367
Valdes-Souto,10,FAABE_NO_IWM,2.873488426208496,1.0,
Valdes-Souto,10,FAABE_FULL,3.068263292312622,1.0,
